,date,value,name_B081QNYL2H
0,2019-11-20,3024.0,Container Sets
1,2019-11-21,2482.0,Container Sets
2,2019-11-22,2754.0,Container Sets
3,2019-11-23,2971.0,Container Sets
4,2019-11-24,3563.0,Container Sets
5,2019-11-25,2861.0,Container Sets
6,2019-11-26,2544.0,Container Sets
7,2019-11-27,3327.0,Container Sets
8,2019-11-28,2935.0,Container Sets
9,2019-11-29,2832.0,Container Sets
10,2019-11-30,2298.0,Container Sets
11,2019-12-01,2572.0,Container Sets
12,2019-12-02,2309.0,Container Sets
13,2019-12-03,2760.0,Container Sets
14,2019-12-04,2949.0,Container Sets
15,2019-12-05,3134.0,Container Sets
16,2019-12-06,3098.0,Container Sets
17,2019-12-07,3155.0,Container Sets
18,2019-12-08,2951.0,Container Sets
19,2019-12-09,2787.0,Container Sets
20,2019-12-10,2926.0,Container Sets
21,2019-12-11,2811.0,Container Sets
22,2019-12-12,2675.0,Container Sets
23,2019-12-13,2592.0,Container Sets
24,2019-12-14,2437.0,Container Sets
25,2019-12-15,2437.0,Container Sets
26,2019-12-16,2555.0,Container Sets
27,2019-12-17,2308.0,Container Sets
28,2019-12-18,2308.0,Container Sets
29,2019-12-19,2304.0,Container Sets
30,2019-12-20,2304.0,Container Sets
31,2019-12-21,2304.0,Container Sets
32,2019-12-22,2466.0,Container Sets
33,2019-12-23,2247.0,Container Sets
34,2019-12-24,2247.0,Container Sets
35,2019-12-25,2574.0,Container Sets
36,2019-12-26,2574.0,Container Sets
37,2019-12-27,2574.0,Container Sets
38,2019-12-28,1315.0,Container Sets
39,2019-12-29,1556.0,Container Sets
40,2019-12-30,1307.0,Container Sets
41,2019-12-31,1128.0,Container Sets
42,2020-01-01,1129.0,Container Sets
43,2020-01-02,926.0,Container Sets
44,2020-01-03,926.0,Container Sets
45,2020-01-04,926.0,Container Sets
46,2020-01-05,851.0,Container Sets
47,2020-01-06,851.0,Container Sets
48,2020-01-07,851.0,Container Sets
49,2020-01-08,862.0,Container Sets
50,2020-01-09,809.0,Container Sets
51,2020-01-10,829.0,Container Sets
52,2020-01-11,829.0,Container Sets
53,2020-01-12,829.0,Container Sets
54,2020-01-13,829.0,Container Sets
55,2020-01-14,1233.0,Container Sets
56,2020-01-15,1233.0,Container Sets
57,2020-01-16,1233.0,Container Sets
58,2020-01-17,966.0,Container Sets
59,2020-01-18,966.0,Container Sets
60,2020-01-19,966.0,Container Sets
61,2020-01-20,901.0,Container Sets
62,2020-01-21,936.0,Container Sets
63,2020-01-22,936.0,Container Sets
64,2020-01-23,784.0,Container Sets
65,2020-01-24,784.0,Container Sets
66,2020-01-25,784.0,Container Sets
67,2020-01-26,606.0,Container Sets
68,2020-01-27,606.0,Container Sets
69,2020-01-28,606.0,Container Sets
70,2020-01-29,632.0,Container Sets
71,2020-01-30,632.0,Container Sets
72,2020-01-31,632.0,Container Sets
73,2020-02-01,632.0,Container Sets
74,2020-02-02,632.0,Container Sets
75,2020-02-03,524.0,Container Sets
76,2020-02-04,605.0,Container Sets
77,2020-02-05,605.0,Container Sets
78,2020-02-06,605.0,Container Sets
79,2020-02-07,618.0,Container Sets
80,2020-02-08,615.0,Container Sets
81,2020-02-09,615.0,Container Sets
82,2020-02-10,624.0,Container Sets
83,2020-02-11,704.0,Container Sets
84,2020-02-12,704.0,Container Sets
85,2020-02-13,704.0,Container Sets
86,2020-02-14,797.0,Container Sets
87,2020-02-15,797.0,Container Sets
88,2020-02-16,699.0,Container Sets
89,2020-02-17,593.0,Container Sets
90,2020-02-18,593.0,Container Sets
91,2020-02-19,639.0,Container Sets
92,2020-02-20,639.0,Container Sets
93,2020-02-21,603.0,Container Sets
94,2020-02-22,562.0,Container Sets
95,2020-02-23,596.0,Container Sets
96,2020-02-24,581.0,Container Sets
97,2020-02-25,827.0,Container Sets
98,2020-02-26,841.0,Container Sets
99,2020-02-27,697.0,Container Sets
100,2020-02-28,748.0,Container Sets
101,2020-02-29,748.0,Container Sets
102,2020-03-01,748.0,Container Sets
103,2020-03-02,795.0,Container Sets
104,2020-03-03,863.0,Container Sets
105,2020-03-04,881.0,Container Sets
106,2020-03-05,881.0,Container Sets
107,2020-03-06,881.0,Container Sets
108,2020-03-07,-1.0,Container Sets
