,date,value,name_B07RJW4J1G
159,2020-10-29,4376.0,Address Labels
160,2020-10-30,3451.0,Address Labels
161,2020-10-31,3451.0,Address Labels
162,2020-11-01,3451.0,Address Labels
163,2020-11-02,3451.0,Address Labels
164,2020-11-03,3451.0,Address Labels
165,2020-11-04,5452.0,Address Labels
166,2020-11-05,5452.0,Address Labels
167,2020-11-06,4176.0,Address Labels
168,2020-11-07,4814.0,Address Labels
169,2020-11-08,4814.0,Address Labels
170,2020-11-09,4814.0,Address Labels
171,2020-11-10,5323.0,Address Labels
172,2020-11-11,5323.0,Address Labels
173,2020-11-12,5323.0,Address Labels
174,2020-11-13,5746.0,Address Labels
175,2020-11-14,5746.0,Address Labels
176,2020-11-15,5746.0,Address Labels
177,2020-11-16,5746.0,Address Labels
178,2020-11-17,4860.0,Address Labels
179,2020-11-18,4860.0,Address Labels
180,2020-11-19,4860.0,Address Labels
181,2020-11-20,5028.0,Address Labels
182,2020-11-21,5028.0,Address Labels
183,2020-11-22,5028.0,Address Labels
184,2020-11-23,5028.0,Address Labels
185,2020-11-24,7287.0,Address Labels
186,2020-11-25,6114.0,Address Labels
187,2020-11-26,6114.0,Address Labels
188,2020-11-27,6114.0,Address Labels
189,2020-11-28,6114.0,Address Labels
190,2020-11-29,10560.0,Address Labels
191,2020-11-30,10560.0,Address Labels
192,2020-12-01,7695.0,Address Labels
193,2020-12-02,5960.0,Address Labels
194,2020-12-03,5960.0,Address Labels
195,2020-12-04,5960.0,Address Labels
196,2020-12-05,5799.0,Address Labels
197,2020-12-06,5799.0,Address Labels
198,2020-12-07,9732.0,Address Labels
199,2020-12-08,9732.0,Address Labels
200,2020-12-09,9732.0,Address Labels
201,2020-12-10,5812.0,Address Labels
202,2020-12-11,5812.0,Address Labels
203,2020-12-12,5812.0,Address Labels
204,2020-12-13,8954.0,Address Labels
205,2020-12-14,8954.0,Address Labels
206,2020-12-15,8954.0,Address Labels
207,2020-12-16,5975.0,Address Labels
208,2020-12-17,5975.0,Address Labels
209,2020-12-18,5975.0,Address Labels
210,2020-12-19,6381.0,Address Labels
211,2020-12-20,6381.0,Address Labels
212,2020-12-21,5882.0,Address Labels
213,2020-12-22,5882.0,Address Labels
214,2020-12-23,5882.0,Address Labels
215,2020-12-24,4772.0,Address Labels
216,2020-12-25,4772.0,Address Labels
217,2020-12-26,4772.0,Address Labels
218,2020-12-27,4772.0,Address Labels
219,2020-12-28,4772.0,Address Labels
220,2020-12-29,4849.0,Address Labels
221,2020-12-30,4849.0,Address Labels
222,2020-12-31,4740.0,Address Labels
223,2021-01-01,4740.0,Address Labels
224,2021-01-02,4740.0,Address Labels
225,2021-01-03,12511.0,Address Labels
226,2021-01-04,13444.0,Address Labels
227,2021-01-05,12573.0,Address Labels
228,2021-01-06,12954.0,Address Labels
229,2021-01-07,12954.0,Address Labels
230,2021-01-08,8330.0,Address Labels
231,2021-01-09,8330.0,Address Labels
232,2021-01-10,11490.0,Address Labels
233,2021-01-11,11490.0,Address Labels
234,2021-01-12,9862.0,Address Labels
235,2021-01-13,9862.0,Address Labels
236,2021-01-14,9862.0,Address Labels
237,2021-01-15,7993.0,Address Labels
238,2021-01-16,7993.0,Address Labels
239,2021-01-17,10922.0,Address Labels
240,2021-01-18,10922.0,Address Labels
241,2021-01-19,13322.0,Address Labels
242,2021-01-20,15069.0,Address Labels
243,2021-01-21,15069.0,Address Labels
244,2021-01-22,18698.0,Address Labels
245,2021-01-23,18698.0,Address Labels
246,2021-01-24,18698.0,Address Labels
247,2021-01-25,11157.0,Address Labels
248,2021-01-26,14732.0,Address Labels
249,2021-01-27,15187.0,Address Labels
250,2021-01-28,15187.0,Address Labels
251,2021-01-29,15187.0,Address Labels
252,2021-01-30,14560.0,Address Labels
253,2021-01-31,14560.0,Address Labels
254,2021-02-01,8748.0,Address Labels
255,2021-02-02,8748.0,Address Labels
256,2021-02-03,8748.0,Address Labels
257,2021-02-04,3995.0,Address Labels
258,2021-02-05,3995.0,Address Labels
259,2021-02-06,3995.0,Address Labels
260,2021-02-07,4645.0,Address Labels
261,2021-02-08,4645.0,Address Labels
262,2021-02-09,3947.0,Address Labels
263,2021-02-10,3947.0,Address Labels
264,2021-02-11,3947.0,Address Labels
265,2021-02-12,3947.0,Address Labels
266,2021-02-13,2516.0,Address Labels
267,2021-02-14,2516.0,Address Labels
268,2021-02-15,4994.0,Address Labels
269,2021-02-16,4994.0,Address Labels
270,2021-02-17,4994.0,Address Labels
271,2021-02-18,3960.0,Address Labels
272,2021-02-19,3960.0,Address Labels
273,2021-02-20,3960.0,Address Labels
274,2021-02-21,3960.0,Address Labels
275,2021-02-22,11168.0,Address Labels
276,2021-02-23,11168.0,Address Labels
277,2021-02-24,6284.0,Address Labels
278,2021-02-25,5643.0,Address Labels
279,2021-02-26,4898.0,Address Labels
280,2021-02-27,4898.0,Address Labels
281,2021-02-28,4898.0,Address Labels
282,2021-03-01,8739.0,Address Labels
283,2021-03-02,8739.0,Address Labels
284,2021-03-03,3411.0,Address Labels
285,2021-03-04,3586.0,Address Labels
286,2021-03-05,3586.0,Address Labels
287,2021-03-06,3561.0,Address Labels
288,2021-03-07,3561.0,Address Labels
289,2021-03-08,3561.0,Address Labels
290,2021-03-09,5455.0,Address Labels
291,2021-03-10,5455.0,Address Labels
292,2021-03-11,5455.0,Address Labels
293,2021-03-12,4905.0,Address Labels
294,2021-03-13,4905.0,Address Labels
295,2021-03-14,4905.0,Address Labels
296,2021-03-15,9823.0,Address Labels
297,2021-03-16,9483.0,Address Labels
298,2021-03-17,9483.0,Address Labels
299,2021-03-18,9483.0,Address Labels
300,2021-03-19,12134.0,Address Labels
301,2021-03-20,12134.0,Address Labels
302,2021-03-21,12134.0,Address Labels
303,2021-03-22,16663.0,Address Labels
304,2021-03-23,16663.0,Address Labels
305,2021-03-24,11496.0,Address Labels
306,2021-03-25,11496.0,Address Labels
307,2021-03-26,11496.0,Address Labels
308,2021-03-27,11496.0,Address Labels
309,2021-03-28,8025.0,Address Labels
310,2021-03-29,8025.0,Address Labels
311,2021-03-30,8025.0,Address Labels
312,2021-03-31,4901.0,Address Labels
313,2021-04-01,4901.0,Address Labels
314,2021-04-02,4901.0,Address Labels
315,2021-04-03,4901.0,Address Labels
316,2021-04-04,4901.0,Address Labels
317,2021-04-05,7194.0,Address Labels
318,2021-04-06,7194.0,Address Labels
319,2021-04-07,7194.0,Address Labels
320,2021-04-08,6522.0,Address Labels
321,2021-04-09,6522.0,Address Labels
322,2021-04-10,6069.0,Address Labels
323,2021-04-11,6069.0,Address Labels
324,2021-04-12,8723.0,Address Labels
325,2021-04-13,8723.0,Address Labels
326,2021-04-14,8723.0,Address Labels
327,2021-04-15,6197.0,Address Labels
328,2021-04-16,4645.0,Address Labels
329,2021-04-17,4645.0,Address Labels
330,2021-04-18,6326.0,Address Labels
331,2021-04-19,6326.0,Address Labels
332,2021-04-20,6662.0,Address Labels
333,2021-04-21,6832.0,Address Labels
334,2021-04-22,6832.0,Address Labels
335,2021-04-23,6832.0,Address Labels
336,2021-04-24,11468.0,Address Labels
337,2021-04-25,11468.0,Address Labels
338,2021-04-26,11468.0,Address Labels
339,2021-04-27,11468.0,Address Labels
340,2021-04-28,8384.0,Address Labels
341,2021-04-29,8384.0,Address Labels
342,2021-04-30,5258.0,Address Labels
343,2021-05-01,5258.0,Address Labels
344,2021-05-02,5258.0,Address Labels
345,2021-05-03,6466.0,Address Labels
346,2021-05-04,6466.0,Address Labels
347,2021-05-05,4185.0,Address Labels
348,2021-05-06,4584.0,Address Labels
349,2021-05-07,4423.0,Address Labels
350,2021-05-08,5449.0,Address Labels
351,2021-05-09,5449.0,Address Labels
352,2021-05-10,6921.0,Address Labels
353,2021-05-11,6921.0,Address Labels
354,2021-05-12,6818.0,Address Labels
355,2021-05-13,6818.0,Address Labels
356,2021-05-14,6818.0,Address Labels
357,2021-05-15,6818.0,Address Labels
358,2021-05-16,9192.0,Address Labels
359,2021-05-17,9192.0,Address Labels
360,2021-05-18,9192.0,Address Labels
361,2021-05-19,6210.0,Address Labels
362,2021-05-20,4369.0,Address Labels
363,2021-05-21,4369.0,Address Labels
364,2021-05-22,3660.0,Address Labels
365,2021-05-23,3660.0,Address Labels
366,2021-05-24,6227.0,Address Labels
367,2021-05-25,5041.0,Address Labels
368,2021-05-26,5041.0,Address Labels
369,2021-05-27,5041.0,Address Labels
370,2021-05-28,3753.0,Address Labels
371,2021-05-29,3753.0,Address Labels
372,2021-05-30,3753.0,Address Labels
373,2021-05-31,7711.0,Address Labels
374,2021-06-01,7711.0,Address Labels
375,2021-06-02,5314.0,Address Labels
376,2021-06-03,5314.0,Address Labels
377,2021-06-04,5314.0,Address Labels
378,2021-06-05,3751.0,Address Labels
379,2021-06-06,4520.0,Address Labels
380,2021-06-07,4520.0,Address Labels
381,2021-06-08,4170.0,Address Labels
382,2021-06-09,4170.0,Address Labels
383,2021-06-10,4170.0,Address Labels
384,2021-06-11,3419.0,Address Labels
385,2021-06-12,3419.0,Address Labels
386,2021-06-13,4631.0,Address Labels
387,2021-06-14,4631.0,Address Labels
388,2021-06-15,4631.0,Address Labels
389,2021-06-16,4340.0,Address Labels
390,2021-06-17,4340.0,Address Labels
391,2021-06-18,3822.0,Address Labels
392,2021-06-19,3822.0,Address Labels
393,2021-06-20,3822.0,Address Labels
394,2021-06-21,5779.0,Address Labels
395,2021-06-22,7866.0,Address Labels
396,2021-06-23,7866.0,Address Labels
397,2021-06-24,4386.0,Address Labels
398,2021-06-25,4386.0,Address Labels
399,2021-06-26,4386.0,Address Labels
400,2021-06-27,4386.0,Address Labels
401,2021-06-28,4294.0,Address Labels
402,2021-06-29,4702.0,Address Labels
403,2021-06-30,4702.0,Address Labels
404,2021-07-01,4503.0,Address Labels
405,2021-07-02,4503.0,Address Labels
406,2021-07-03,4503.0,Address Labels
407,2021-07-04,5079.0,Address Labels
408,2021-07-05,5079.0,Address Labels
409,2021-07-06,5079.0,Address Labels
410,2021-07-07,3215.0,Address Labels
411,2021-07-08,3215.0,Address Labels
412,2021-07-09,4039.0,Address Labels
413,2021-07-10,4039.0,Address Labels
414,2021-07-11,4774.0,Address Labels
