,date,value,name_B082FW613Y
0,2019-12-07,5501.0,Flags
1,2019-12-08,6031.0,Flags
2,2019-12-09,5071.0,Flags
3,2019-12-10,4922.0,Flags
4,2019-12-11,5920.0,Flags
5,2019-12-12,6732.0,Flags
6,2019-12-13,6732.0,Flags
7,2019-12-14,6732.0,Flags
8,2019-12-15,10556.0,Flags
9,2019-12-16,8728.0,Flags
10,2019-12-17,8728.0,Flags
11,2019-12-18,8728.0,Flags
12,2019-12-19,8728.0,Flags
13,2019-12-20,8056.0,Flags
14,2019-12-21,7434.0,Flags
15,2019-12-22,7434.0,Flags
16,2019-12-23,7520.0,Flags
17,2019-12-24,6300.0,Flags
18,2019-12-25,6300.0,Flags
19,2019-12-26,6300.0,Flags
20,2019-12-27,5906.0,Flags
21,2019-12-28,5906.0,Flags
22,2019-12-29,5722.0,Flags
23,2019-12-30,5722.0,Flags
24,2019-12-31,5722.0,Flags
25,2020-01-01,7344.0,Flags
26,2020-01-02,7344.0,Flags
27,2020-01-03,7344.0,Flags
28,2020-01-04,3997.0,Flags
29,2020-01-05,3997.0,Flags
30,2020-01-06,3997.0,Flags
31,2020-01-07,4249.0,Flags
32,2020-01-08,3380.0,Flags
33,2020-01-09,3380.0,Flags
34,2020-01-10,3380.0,Flags
35,2020-01-11,3199.0,Flags
36,2020-01-12,3199.0,Flags
37,2020-01-13,3199.0,Flags
38,2020-01-14,3199.0,Flags
39,2020-01-15,3546.0,Flags
40,2020-01-16,3546.0,Flags
41,2020-01-17,3546.0,Flags
42,2020-01-18,4448.0,Flags
43,2020-01-19,4448.0,Flags
44,2020-01-20,5858.0,Flags
45,2020-01-21,5071.0,Flags
46,2020-01-22,4224.0,Flags
47,2020-01-23,4224.0,Flags
48,2020-01-24,2402.0,Flags
49,2020-01-25,3660.0,Flags
50,2020-01-26,3660.0,Flags
51,2020-01-27,3660.0,Flags
52,2020-01-28,3660.0,Flags
53,2020-01-29,3660.0,Flags
54,2020-01-30,3660.0,Flags
55,2020-01-31,3660.0,Flags
56,2020-02-01,4101.0,Flags
57,2020-02-02,4101.0,Flags
58,2020-02-03,4812.0,Flags
59,2020-02-04,4270.0,Flags
60,2020-02-05,4270.0,Flags
61,2020-02-06,4270.0,Flags
62,2020-02-07,4270.0,Flags
63,2020-02-08,4270.0,Flags
64,2020-02-09,4270.0,Flags
65,2020-02-10,4270.0,Flags
66,2020-02-11,4270.0,Flags
67,2020-02-12,4270.0,Flags
68,2020-02-13,3191.0,Flags
69,2020-02-14,3191.0,Flags
70,2020-02-15,3191.0,Flags
71,2020-02-16,3191.0,Flags
72,2020-02-17,7643.0,Flags
73,2020-02-18,7643.0,Flags
74,2020-02-19,7643.0,Flags
75,2020-02-20,7643.0,Flags
76,2020-02-21,7643.0,Flags
77,2020-02-22,7643.0,Flags
78,2020-02-23,5767.0,Flags
79,2020-02-24,5767.0,Flags
80,2020-02-25,5767.0,Flags
81,2020-02-26,5767.0,Flags
82,2020-02-27,5767.0,Flags
83,2020-02-28,5767.0,Flags
84,2020-02-29,5767.0,Flags
85,2020-03-01,4729.0,Flags
86,2020-03-02,4729.0,Flags
87,2020-03-03,4501.0,Flags
88,2020-03-04,4501.0,Flags
89,2020-03-05,4164.0,Flags
90,2020-03-06,4164.0,Flags
91,2020-03-07,4164.0,Flags
92,2020-03-08,4164.0,Flags
93,2020-03-09,4770.0,Flags
94,2020-03-10,4358.0,Flags
95,2020-03-11,4358.0,Flags
96,2020-03-12,4358.0,Flags
97,2020-03-13,4358.0,Flags
98,2020-03-14,4358.0,Flags
99,2020-03-15,7719.0,Flags
100,2020-03-16,7719.0,Flags
101,2020-03-17,7719.0,Flags
102,2020-03-18,7719.0,Flags
103,2020-03-19,5928.0,Flags
104,2020-03-20,5928.0,Flags
105,2020-03-21,5928.0,Flags
106,2020-03-22,5928.0,Flags
107,2020-03-23,5928.0,Flags
108,2020-03-24,6006.0,Flags
109,2020-03-25,6006.0,Flags
110,2020-03-26,6006.0,Flags
111,2020-03-27,6006.0,Flags
112,2020-03-28,6657.0,Flags
113,2020-03-29,6657.0,Flags
114,2020-03-30,6657.0,Flags
115,2020-03-31,6688.0,Flags
116,2020-04-01,6688.0,Flags
117,2020-04-02,6688.0,Flags
118,2020-04-03,6688.0,Flags
119,2020-04-04,6688.0,Flags
120,2020-04-05,6688.0,Flags
121,2020-04-06,7320.0,Flags
122,2020-04-07,7320.0,Flags
123,2020-04-08,7320.0,Flags
124,2020-04-09,7320.0,Flags
125,2020-04-10,7320.0,Flags
126,2020-04-11,5335.0,Flags
127,2020-04-12,5335.0,Flags
128,2020-04-13,8371.0,Flags
129,2020-04-14,8371.0,Flags
130,2020-04-15,6860.0,Flags
131,2020-04-16,6860.0,Flags
132,2020-04-17,6860.0,Flags
133,2020-04-18,6860.0,Flags
134,2020-04-19,6860.0,Flags
135,2020-04-20,6860.0,Flags
136,2020-04-21,6860.0,Flags
137,2020-04-22,4270.0,Flags
138,2020-04-23,4739.0,Flags
139,2020-04-24,4739.0,Flags
