,date,value,name_B01D7NVO2E
167,2020-11-08,11218.0,Ointments
168,2020-11-09,12761.0,Ointments
169,2020-11-10,12588.0,Ointments
170,2020-11-11,12588.0,Ointments
171,2020-11-12,10708.0,Ointments
172,2020-11-13,10708.0,Ointments
173,2020-11-14,10708.0,Ointments
174,2020-11-15,13167.0,Ointments
175,2020-11-16,13167.0,Ointments
176,2020-11-17,14071.0,Ointments
177,2020-11-18,14071.0,Ointments
178,2020-11-19,12480.0,Ointments
179,2020-11-20,12480.0,Ointments
180,2020-11-21,12480.0,Ointments
181,2020-11-22,11659.0,Ointments
182,2020-11-23,11846.0,Ointments
183,2020-11-24,10882.0,Ointments
184,2020-11-25,10882.0,Ointments
185,2020-11-26,10882.0,Ointments
186,2020-11-27,10576.0,Ointments
187,2020-11-28,10576.0,Ointments
188,2020-11-29,10576.0,Ointments
189,2020-11-30,12111.0,Ointments
190,2020-12-01,12111.0,Ointments
191,2020-12-02,11265.0,Ointments
192,2020-12-03,11265.0,Ointments
193,2020-12-04,11796.0,Ointments
194,2020-12-05,12516.0,Ointments
195,2020-12-06,12516.0,Ointments
196,2020-12-07,14004.0,Ointments
197,2020-12-08,14004.0,Ointments
198,2020-12-09,14004.0,Ointments
199,2020-12-10,13560.0,Ointments
200,2020-12-11,13560.0,Ointments
201,2020-12-12,13560.0,Ointments
202,2020-12-13,15981.0,Ointments
203,2020-12-14,16121.0,Ointments
204,2020-12-15,13682.0,Ointments
205,2020-12-16,16372.0,Ointments
206,2020-12-17,16031.0,Ointments
207,2020-12-18,14572.0,Ointments
208,2020-12-19,14572.0,Ointments
209,2020-12-20,13793.0,Ointments
210,2020-12-21,18773.0,Ointments
211,2020-12-22,18544.0,Ointments
212,2020-12-23,15667.0,Ointments
213,2020-12-24,15068.0,Ointments
214,2020-12-25,15068.0,Ointments
215,2020-12-26,15068.0,Ointments
216,2020-12-27,13529.0,Ointments
217,2020-12-28,13529.0,Ointments
218,2020-12-29,14432.0,Ointments
219,2020-12-30,14432.0,Ointments
220,2020-12-31,14432.0,Ointments
221,2021-01-01,14432.0,Ointments
222,2021-01-02,13286.0,Ointments
223,2021-01-03,13286.0,Ointments
224,2021-01-04,16485.0,Ointments
225,2021-01-05,16485.0,Ointments
226,2021-01-06,16485.0,Ointments
227,2021-01-07,15789.0,Ointments
228,2021-01-08,15789.0,Ointments
229,2021-01-09,13651.0,Ointments
230,2021-01-10,13651.0,Ointments
231,2021-01-11,14585.0,Ointments
232,2021-01-12,14585.0,Ointments
233,2021-01-13,13635.0,Ointments
234,2021-01-14,13635.0,Ointments
235,2021-01-15,15524.0,Ointments
236,2021-01-16,15524.0,Ointments
237,2021-01-17,15524.0,Ointments
238,2021-01-18,15524.0,Ointments
239,2021-01-19,19071.0,Ointments
240,2021-01-20,15906.0,Ointments
241,2021-01-21,15906.0,Ointments
242,2021-01-22,15906.0,Ointments
243,2021-01-23,18007.0,Ointments
244,2021-01-24,18007.0,Ointments
245,2021-01-25,18007.0,Ointments
246,2021-01-26,14372.0,Ointments
247,2021-01-27,13212.0,Ointments
248,2021-01-28,13212.0,Ointments
249,2021-01-29,13212.0,Ointments
250,2021-01-30,13684.0,Ointments
251,2021-01-31,13684.0,Ointments
252,2021-02-01,13684.0,Ointments
253,2021-02-02,16824.0,Ointments
254,2021-02-03,16824.0,Ointments
255,2021-02-04,16824.0,Ointments
256,2021-02-05,16824.0,Ointments
257,2021-02-06,16824.0,Ointments
258,2021-02-07,16824.0,Ointments
259,2021-02-08,15616.0,Ointments
260,2021-02-09,19542.0,Ointments
261,2021-02-10,19542.0,Ointments
262,2021-02-11,19542.0,Ointments
263,2021-02-12,19638.0,Ointments
264,2021-02-13,19638.0,Ointments
265,2021-02-14,16335.0,Ointments
266,2021-02-15,18940.0,Ointments
267,2021-02-16,18940.0,Ointments
268,2021-02-17,18940.0,Ointments
269,2021-02-18,18940.0,Ointments
270,2021-02-19,21211.0,Ointments
271,2021-02-20,18177.0,Ointments
272,2021-02-21,18177.0,Ointments
273,2021-02-22,18177.0,Ointments
274,2021-02-23,18732.0,Ointments
275,2021-02-24,18732.0,Ointments
276,2021-02-25,18732.0,Ointments
277,2021-02-26,17436.0,Ointments
278,2021-02-27,18725.0,Ointments
279,2021-02-28,18725.0,Ointments
280,2021-03-01,22694.0,Ointments
281,2021-03-02,22694.0,Ointments
282,2021-03-03,22694.0,Ointments
283,2021-03-04,23441.0,Ointments
284,2021-03-05,23441.0,Ointments
285,2021-03-06,19807.0,Ointments
286,2021-03-07,19807.0,Ointments
287,2021-03-08,23474.0,Ointments
288,2021-03-09,22540.0,Ointments
289,2021-03-10,22540.0,Ointments
290,2021-03-11,22540.0,Ointments
291,2021-03-12,22540.0,Ointments
292,2021-03-13,19797.0,Ointments
293,2021-03-14,19797.0,Ointments
294,2021-03-15,29462.0,Ointments
295,2021-03-16,20167.0,Ointments
296,2021-03-17,21097.0,Ointments
297,2021-03-18,21097.0,Ointments
298,2021-03-19,21097.0,Ointments
299,2021-03-20,21097.0,Ointments
300,2021-03-21,26364.0,Ointments
301,2021-03-22,26364.0,Ointments
302,2021-03-23,23653.0,Ointments
303,2021-03-24,23653.0,Ointments
304,2021-03-25,23653.0,Ointments
305,2021-03-26,19771.0,Ointments
306,2021-03-27,22662.0,Ointments
307,2021-03-28,22662.0,Ointments
308,2021-03-29,17301.0,Ointments
309,2021-03-30,17301.0,Ointments
310,2021-03-31,17301.0,Ointments
311,2021-04-01,17730.0,Ointments
312,2021-04-02,17730.0,Ointments
313,2021-04-03,17730.0,Ointments
314,2021-04-04,17552.0,Ointments
315,2021-04-05,17552.0,Ointments
316,2021-04-06,19666.0,Ointments
317,2021-04-07,19666.0,Ointments
318,2021-04-08,23809.0,Ointments
319,2021-04-09,23809.0,Ointments
320,2021-04-10,23809.0,Ointments
321,2021-04-11,26738.0,Ointments
322,2021-04-12,26881.0,Ointments
323,2021-04-13,26881.0,Ointments
324,2021-04-14,26881.0,Ointments
325,2021-04-15,19274.0,Ointments
326,2021-04-16,19274.0,Ointments
327,2021-04-17,19274.0,Ointments
328,2021-04-18,17429.0,Ointments
329,2021-04-19,17429.0,Ointments
330,2021-04-20,18225.0,Ointments
331,2021-04-21,18225.0,Ointments
332,2021-04-22,18225.0,Ointments
333,2021-04-23,17694.0,Ointments
334,2021-04-24,17694.0,Ointments
335,2021-04-25,17694.0,Ointments
336,2021-04-26,24201.0,Ointments
337,2021-04-27,25771.0,Ointments
338,2021-04-28,25771.0,Ointments
339,2021-04-29,25853.0,Ointments
340,2021-04-30,25853.0,Ointments
341,2021-05-01,20107.0,Ointments
342,2021-05-02,20107.0,Ointments
343,2021-05-03,20107.0,Ointments
344,2021-05-04,23042.0,Ointments
345,2021-05-05,23042.0,Ointments
346,2021-05-06,18012.0,Ointments
347,2021-05-07,18255.0,Ointments
348,2021-05-08,20286.0,Ointments
349,2021-05-09,20286.0,Ointments
350,2021-05-10,23232.0,Ointments
351,2021-05-11,23232.0,Ointments
352,2021-05-12,20319.0,Ointments
353,2021-05-13,20319.0,Ointments
354,2021-05-14,20319.0,Ointments
355,2021-05-15,30728.0,Ointments
356,2021-05-16,30728.0,Ointments
357,2021-05-17,25653.0,Ointments
358,2021-05-18,25653.0,Ointments
359,2021-05-19,25653.0,Ointments
360,2021-05-20,19158.0,Ointments
361,2021-05-21,20693.0,Ointments
362,2021-05-22,20693.0,Ointments
363,2021-05-23,18885.0,Ointments
364,2021-05-24,18885.0,Ointments
365,2021-05-25,18885.0,Ointments
366,2021-05-26,19382.0,Ointments
367,2021-05-27,19382.0,Ointments
368,2021-05-28,14956.0,Ointments
369,2021-05-29,14956.0,Ointments
370,2021-05-30,14956.0,Ointments
371,2021-05-31,20029.0,Ointments
372,2021-06-01,20029.0,Ointments
373,2021-06-02,18807.0,Ointments
374,2021-06-03,18807.0,Ointments
375,2021-06-04,17831.0,Ointments
376,2021-06-05,17831.0,Ointments
377,2021-06-06,17306.0,Ointments
378,2021-06-07,17306.0,Ointments
379,2021-06-08,19084.0,Ointments
380,2021-06-09,19084.0,Ointments
381,2021-06-10,19084.0,Ointments
382,2021-06-11,26735.0,Ointments
383,2021-06-12,26735.0,Ointments
384,2021-06-13,25446.0,Ointments
385,2021-06-14,25446.0,Ointments
386,2021-06-15,25446.0,Ointments
387,2021-06-16,26854.0,Ointments
388,2021-06-17,32201.0,Ointments
389,2021-06-18,32201.0,Ointments
390,2021-06-19,32201.0,Ointments
391,2021-06-20,21463.0,Ointments
392,2021-06-21,16473.0,Ointments
393,2021-06-22,21667.0,Ointments
394,2021-06-23,21667.0,Ointments
395,2021-06-24,17441.0,Ointments
396,2021-06-25,18146.0,Ointments
397,2021-06-26,18146.0,Ointments
398,2021-06-27,18146.0,Ointments
399,2021-06-28,19210.0,Ointments
400,2021-06-29,19210.0,Ointments
401,2021-06-30,20867.0,Ointments
402,2021-07-01,20867.0,Ointments
403,2021-07-02,21453.0,Ointments
404,2021-07-03,21453.0,Ointments
405,2021-07-04,17338.0,Ointments
406,2021-07-05,17338.0,Ointments
407,2021-07-06,17043.0,Ointments
408,2021-07-07,17728.0,Ointments
409,2021-07-08,19600.0,Ointments
410,2021-07-09,19600.0,Ointments
411,2021-07-10,19600.0,Ointments
412,2021-07-11,20716.0,Ointments
