,date,value,name_B07GV5M2RZ
0,2018-08-27,983.0,Spice Racks
1,2018-08-28,815.0,Spice Racks
2,2018-08-29,1038.0,Spice Racks
3,2018-08-30,1003.0,Spice Racks
4,2018-08-31,1003.0,Spice Racks
5,2018-09-01,818.0,Spice Racks
6,2018-09-02,770.0,Spice Racks
7,2018-09-03,642.0,Spice Racks
8,2018-09-04,562.0,Spice Racks
9,2018-09-05,775.0,Spice Racks
10,2018-09-06,816.0,Spice Racks
11,2018-09-07,767.0,Spice Racks
12,2018-09-08,972.0,Spice Racks
13,2018-09-09,660.0,Spice Racks
14,2018-09-10,803.0,Spice Racks
15,2018-09-11,781.0,Spice Racks
16,2018-09-12,884.0,Spice Racks
17,2018-09-13,873.0,Spice Racks
18,2018-09-14,1094.0,Spice Racks
19,2018-09-15,859.0,Spice Racks
20,2018-09-16,816.0,Spice Racks
21,2018-09-17,754.0,Spice Racks
22,2018-09-18,657.0,Spice Racks
23,2018-09-19,831.0,Spice Racks
24,2018-09-20,743.0,Spice Racks
25,2018-09-21,850.0,Spice Racks
26,2018-09-22,845.0,Spice Racks
27,2018-09-23,594.0,Spice Racks
28,2018-09-24,715.0,Spice Racks
29,2018-09-25,647.0,Spice Racks
30,2018-09-26,793.0,Spice Racks
31,2018-09-27,927.0,Spice Racks
32,2018-09-28,909.0,Spice Racks
33,2018-09-29,613.0,Spice Racks
34,2018-09-30,764.0,Spice Racks
35,2018-10-01,870.0,Spice Racks
36,2018-10-02,760.0,Spice Racks
37,2018-10-03,721.0,Spice Racks
38,2018-10-04,832.0,Spice Racks
39,2018-10-05,832.0,Spice Racks
40,2018-10-06,702.0,Spice Racks
41,2018-10-07,702.0,Spice Racks
42,2018-10-08,702.0,Spice Racks
43,2018-10-09,654.0,Spice Racks
44,2018-10-10,789.0,Spice Racks
45,2018-10-11,789.0,Spice Racks
46,2018-10-12,927.0,Spice Racks
47,2018-10-13,924.0,Spice Racks
48,2018-10-14,924.0,Spice Racks
49,2018-10-15,885.0,Spice Racks
50,2018-10-16,856.0,Spice Racks
51,2018-10-17,856.0,Spice Racks
52,2018-10-18,853.0,Spice Racks
53,2018-10-19,853.0,Spice Racks
54,2018-10-20,794.0,Spice Racks
55,2018-10-21,691.0,Spice Racks
56,2018-10-22,691.0,Spice Racks
57,2018-10-23,691.0,Spice Racks
58,2018-10-24,691.0,Spice Racks
59,2018-10-25,691.0,Spice Racks
60,2018-10-26,838.0,Spice Racks
61,2018-10-27,538.0,Spice Racks
62,2018-10-28,562.0,Spice Racks
63,2018-10-29,649.0,Spice Racks
64,2018-10-30,649.0,Spice Racks
65,2018-10-31,649.0,Spice Racks
66,2018-11-01,678.0,Spice Racks
67,2018-11-02,583.0,Spice Racks
68,2018-11-03,635.0,Spice Racks
69,2018-11-04,505.0,Spice Racks
70,2018-11-05,601.0,Spice Racks
71,2018-11-06,601.0,Spice Racks
72,2018-11-07,601.0,Spice Racks
73,2018-11-08,919.0,Spice Racks
74,2018-11-09,919.0,Spice Racks
75,2018-11-10,894.0,Spice Racks
76,2018-11-11,894.0,Spice Racks
77,2018-11-12,628.0,Spice Racks
78,2018-11-13,746.0,Spice Racks
79,2018-11-14,942.0,Spice Racks
80,2018-11-15,1115.0,Spice Racks
81,2018-11-16,1115.0,Spice Racks
82,2018-11-17,895.0,Spice Racks
83,2018-11-18,895.0,Spice Racks
84,2018-11-19,1052.0,Spice Racks
85,2018-11-20,1082.0,Spice Racks
86,2018-11-21,935.0,Spice Racks
87,2018-11-22,922.0,Spice Racks
88,2018-11-23,922.0,Spice Racks
89,2018-11-24,922.0,Spice Racks
90,2018-11-25,994.0,Spice Racks
91,2018-11-26,1046.0,Spice Racks
92,2018-11-27,1046.0,Spice Racks
93,2018-11-28,1356.0,Spice Racks
94,2018-11-29,1161.0,Spice Racks
95,2018-11-30,1225.0,Spice Racks
96,2018-12-01,1225.0,Spice Racks
97,2018-12-02,947.0,Spice Racks
98,2018-12-03,877.0,Spice Racks
99,2018-12-04,955.0,Spice Racks
100,2018-12-05,1095.0,Spice Racks
101,2018-12-06,1095.0,Spice Racks
102,2018-12-07,1037.0,Spice Racks
103,2018-12-08,1046.0,Spice Racks
104,2018-12-09,1046.0,Spice Racks
105,2018-12-10,1116.0,Spice Racks
106,2018-12-11,1263.0,Spice Racks
107,2018-12-12,1263.0,Spice Racks
108,2018-12-13,1292.0,Spice Racks
109,2018-12-14,1243.0,Spice Racks
110,2018-12-15,1184.0,Spice Racks
111,2018-12-16,978.0,Spice Racks
112,2018-12-17,1071.0,Spice Racks
113,2018-12-18,1071.0,Spice Racks
114,2018-12-19,1089.0,Spice Racks
115,2018-12-20,906.0,Spice Racks
116,2018-12-21,1012.0,Spice Racks
117,2018-12-22,914.0,Spice Racks
118,2018-12-23,914.0,Spice Racks
119,2018-12-24,860.0,Spice Racks
120,2018-12-25,930.0,Spice Racks
121,2018-12-26,760.0,Spice Racks
122,2018-12-27,649.0,Spice Racks
123,2018-12-28,649.0,Spice Racks
124,2018-12-29,649.0,Spice Racks
125,2018-12-30,528.0,Spice Racks
126,2018-12-31,512.0,Spice Racks
127,2019-01-01,477.0,Spice Racks
128,2019-01-02,510.0,Spice Racks
129,2019-01-03,591.0,Spice Racks
130,2019-01-04,532.0,Spice Racks
131,2019-01-05,552.0,Spice Racks
132,2019-01-06,476.0,Spice Racks
133,2019-01-07,497.0,Spice Racks
134,2019-01-08,578.0,Spice Racks
135,2019-01-09,565.0,Spice Racks
136,2019-01-10,654.0,Spice Racks
137,2019-01-11,574.0,Spice Racks
138,2019-01-12,619.0,Spice Racks
139,2019-01-13,580.0,Spice Racks
140,2019-01-14,582.0,Spice Racks
141,2019-01-15,636.0,Spice Racks
142,2019-01-16,636.0,Spice Racks
143,2019-01-17,764.0,Spice Racks
144,2019-01-18,591.0,Spice Racks
145,2019-01-19,802.0,Spice Racks
146,2019-01-20,650.0,Spice Racks
147,2019-01-21,571.0,Spice Racks
148,2019-01-22,650.0,Spice Racks
149,2019-01-23,655.0,Spice Racks
150,2019-01-24,655.0,Spice Racks
151,2019-01-25,584.0,Spice Racks
152,2019-01-26,621.0,Spice Racks
153,2019-01-27,560.0,Spice Racks
154,2019-01-28,749.0,Spice Racks
155,2019-01-29,767.0,Spice Racks
156,2019-01-30,804.0,Spice Racks
157,2019-01-31,890.0,Spice Racks
158,2019-02-01,908.0,Spice Racks
159,2019-02-02,816.0,Spice Racks
160,2019-02-03,898.0,Spice Racks
161,2019-02-04,793.0,Spice Racks
162,2019-02-05,765.0,Spice Racks
163,2019-02-06,944.0,Spice Racks
164,2019-02-07,944.0,Spice Racks
165,2019-02-08,948.0,Spice Racks
166,2019-02-09,845.0,Spice Racks
167,2019-02-10,845.0,Spice Racks
168,2019-02-11,680.0,Spice Racks
169,2019-02-12,680.0,Spice Racks
170,2019-02-13,958.0,Spice Racks
171,2019-02-14,997.0,Spice Racks
172,2019-02-15,997.0,Spice Racks
173,2019-02-16,915.0,Spice Racks
174,2019-02-17,666.0,Spice Racks
175,2019-02-18,666.0,Spice Racks
176,2019-02-19,666.0,Spice Racks
177,2019-02-20,835.0,Spice Racks
178,2019-02-21,981.0,Spice Racks
179,2019-02-22,948.0,Spice Racks
180,2019-02-23,985.0,Spice Racks
181,2019-02-24,985.0,Spice Racks
182,2019-02-25,985.0,Spice Racks
183,2019-02-26,864.0,Spice Racks
184,2019-02-27,996.0,Spice Racks
185,2019-02-28,996.0,Spice Racks
186,2019-03-01,996.0,Spice Racks
187,2019-03-02,1057.0,Spice Racks
188,2019-03-03,924.0,Spice Racks
189,2019-03-04,924.0,Spice Racks
190,2019-03-05,929.0,Spice Racks
191,2019-03-06,1072.0,Spice Racks
192,2019-03-07,1054.0,Spice Racks
193,2019-03-08,1054.0,Spice Racks
194,2019-03-09,1127.0,Spice Racks
195,2019-03-10,672.0,Spice Racks
196,2019-03-11,672.0,Spice Racks
197,2019-03-12,1010.0,Spice Racks
198,2019-03-13,1250.0,Spice Racks
199,2019-03-14,1036.0,Spice Racks
200,2019-03-15,881.0,Spice Racks
201,2019-03-16,894.0,Spice Racks
202,2019-03-17,927.0,Spice Racks
203,2019-03-18,1010.0,Spice Racks
204,2019-03-19,1071.0,Spice Racks
205,2019-03-20,1217.0,Spice Racks
206,2019-03-21,1287.0,Spice Racks
207,2019-03-22,1449.0,Spice Racks
208,2019-03-23,1198.0,Spice Racks
209,2019-03-24,1140.0,Spice Racks
210,2019-03-25,1130.0,Spice Racks
211,2019-03-26,1044.0,Spice Racks
212,2019-03-27,1042.0,Spice Racks
213,2019-03-28,1359.0,Spice Racks
214,2019-03-29,1149.0,Spice Racks
215,2019-03-30,1054.0,Spice Racks
216,2019-03-31,1017.0,Spice Racks
217,2019-04-01,1076.0,Spice Racks
218,2019-04-02,1188.0,Spice Racks
219,2019-04-03,1308.0,Spice Racks
220,2019-04-04,1192.0,Spice Racks
221,2019-04-05,1351.0,Spice Racks
222,2019-04-06,1368.0,Spice Racks
223,2019-04-07,1368.0,Spice Racks
224,2019-04-08,1088.0,Spice Racks
225,2019-04-09,1088.0,Spice Racks
226,2019-04-10,1418.0,Spice Racks
227,2019-04-11,1213.0,Spice Racks
228,2019-04-12,1266.0,Spice Racks
229,2019-04-13,1149.0,Spice Racks
230,2019-04-14,1149.0,Spice Racks
231,2019-04-15,1362.0,Spice Racks
232,2019-04-16,1362.0,Spice Racks
233,2019-04-17,1472.0,Spice Racks
234,2019-04-18,1048.0,Spice Racks
235,2019-04-19,1312.0,Spice Racks
236,2019-04-20,1313.0,Spice Racks
237,2019-04-21,1043.0,Spice Racks
238,2019-04-22,962.0,Spice Racks
239,2019-04-23,962.0,Spice Racks
240,2019-04-24,1349.0,Spice Racks
241,2019-04-25,1312.0,Spice Racks
242,2019-04-26,1281.0,Spice Racks
243,2019-04-27,1281.0,Spice Racks
244,2019-04-28,924.0,Spice Racks
245,2019-04-29,924.0,Spice Racks
246,2019-04-30,924.0,Spice Racks
247,2019-05-01,924.0,Spice Racks
248,2019-05-02,924.0,Spice Racks
249,2019-05-03,924.0,Spice Racks
250,2019-05-04,1022.0,Spice Racks
251,2019-05-05,881.0,Spice Racks
252,2019-05-06,952.0,Spice Racks
253,2019-05-07,1103.0,Spice Racks
254,2019-05-08,1265.0,Spice Racks
255,2019-05-09,1233.0,Spice Racks
256,2019-05-10,1220.0,Spice Racks
257,2019-05-11,996.0,Spice Racks
258,2019-05-12,841.0,Spice Racks
259,2019-05-13,975.0,Spice Racks
260,2019-05-14,990.0,Spice Racks
261,2019-05-15,990.0,Spice Racks
262,2019-05-16,1118.0,Spice Racks
263,2019-05-17,1089.0,Spice Racks
264,2019-05-18,1175.0,Spice Racks
265,2019-05-19,1016.0,Spice Racks
