,date,value,name_B07VLCSYQR
0,2020-05-25,2810.0,Canned
1,2020-05-26,2810.0,Canned
2,2020-05-27,2719.0,Canned
3,2020-05-28,3203.0,Canned
4,2020-05-29,3203.0,Canned
5,2020-05-30,3473.0,Canned
6,2020-05-31,2931.0,Canned
7,2020-06-01,3118.0,Canned
8,2020-06-02,3118.0,Canned
9,2020-06-03,3118.0,Canned
10,2020-06-04,3258.0,Canned
11,2020-06-05,3012.0,Canned
12,2020-06-06,2756.0,Canned
13,2020-06-07,2756.0,Canned
14,2020-06-08,2939.0,Canned
15,2020-06-09,3130.0,Canned
16,2020-06-10,3022.0,Canned
17,2020-06-11,3022.0,Canned
18,2020-06-12,2448.0,Canned
19,2020-06-13,2448.0,Canned
20,2020-06-14,2448.0,Canned
21,2020-06-15,2755.0,Canned
22,2020-06-16,2699.0,Canned
23,2020-06-17,2699.0,Canned
24,2020-06-18,3488.0,Canned
25,2020-06-19,3436.0,Canned
26,2020-06-20,4241.0,Canned
27,2020-06-21,4241.0,Canned
28,2020-06-22,4241.0,Canned
29,2020-06-23,3503.0,Canned
30,2020-06-24,3673.0,Canned
31,2020-06-25,3027.0,Canned
32,2020-06-26,3481.0,Canned
33,2020-06-27,3481.0,Canned
34,2020-06-28,3481.0,Canned
35,2020-06-29,3304.0,Canned
36,2020-06-30,3304.0,Canned
37,2020-07-01,3304.0,Canned
38,2020-07-02,4069.0,Canned
39,2020-07-03,3657.0,Canned
40,2020-07-04,3657.0,Canned
41,2020-07-05,3657.0,Canned
42,2020-07-06,3878.0,Canned
43,2020-07-07,3891.0,Canned
44,2020-07-08,3891.0,Canned
45,2020-07-09,3358.0,Canned
46,2020-07-10,3717.0,Canned
47,2020-07-11,3717.0,Canned
48,2020-07-12,3226.0,Canned
49,2020-07-13,3052.0,Canned
50,2020-07-14,3052.0,Canned
51,2020-07-15,3052.0,Canned
52,2020-07-16,3480.0,Canned
53,2020-07-17,3480.0,Canned
54,2020-07-18,3480.0,Canned
55,2020-07-19,2733.0,Canned
56,2020-07-20,2683.0,Canned
57,2020-07-21,2676.0,Canned
58,2020-07-22,2901.0,Canned
59,2020-07-23,3444.0,Canned
60,2020-07-24,3444.0,Canned
61,2020-07-25,3444.0,Canned
62,2020-07-26,2742.0,Canned
63,2020-07-27,2742.0,Canned
64,2020-07-28,3350.0,Canned
65,2020-07-29,3142.0,Canned
66,2020-07-30,4243.0,Canned
67,2020-07-31,3692.0,Canned
68,2020-08-01,5550.0,Canned
69,2020-08-02,5550.0,Canned
70,2020-08-03,5988.0,Canned
71,2020-08-04,5988.0,Canned
72,2020-08-05,5988.0,Canned
73,2020-08-06,5431.0,Canned
74,2020-08-07,5431.0,Canned
75,2020-08-08,5431.0,Canned
76,2020-08-09,5431.0,Canned
77,2020-08-10,3174.0,Canned
78,2020-08-11,3174.0,Canned
79,2020-08-12,3174.0,Canned
80,2020-08-13,2603.0,Canned
81,2020-08-14,3428.0,Canned
82,2020-08-15,3747.0,Canned
83,2020-08-16,3747.0,Canned
84,2020-08-17,2669.0,Canned
85,2020-08-18,2906.0,Canned
86,2020-08-19,2906.0,Canned
87,2020-08-20,2837.0,Canned
88,2020-08-21,2360.0,Canned
89,2020-08-22,2154.0,Canned
90,2020-08-23,2154.0,Canned
91,2020-08-24,2154.0,Canned
92,2020-08-25,2076.0,Canned
93,2020-08-26,2076.0,Canned
94,2020-08-27,2076.0,Canned
95,2020-08-28,2382.0,Canned
96,2020-08-29,2286.0,Canned
97,2020-08-30,2243.0,Canned
98,2020-08-31,2198.0,Canned
99,2020-09-01,2003.0,Canned
100,2020-09-02,2003.0,Canned
101,2020-09-03,2183.0,Canned
102,2020-09-04,2204.0,Canned
103,2020-09-05,2125.0,Canned
104,2020-09-06,2125.0,Canned
105,2020-09-07,1993.0,Canned
106,2020-09-08,2139.0,Canned
107,2020-09-09,2171.0,Canned
108,2020-09-10,2218.0,Canned
109,2020-09-11,2218.0,Canned
110,2020-09-12,2326.0,Canned
111,2020-09-13,2326.0,Canned
112,2020-09-14,2420.0,Canned
113,2020-09-15,2209.0,Canned
114,2020-09-16,2209.0,Canned
115,2020-09-17,2209.0,Canned
116,2020-09-18,2090.0,Canned
117,2020-09-19,2129.0,Canned
118,2020-09-20,1867.0,Canned
119,2020-09-21,2238.0,Canned
120,2020-09-22,2000.0,Canned
121,2020-09-23,2177.0,Canned
122,2020-09-24,2283.0,Canned
123,2020-09-25,2435.0,Canned
124,2020-09-26,2374.0,Canned
125,2020-09-27,2077.0,Canned
126,2020-09-28,2037.0,Canned
127,2020-09-29,2007.0,Canned
128,2020-09-30,1860.0,Canned
129,2020-10-01,1925.0,Canned
130,2020-10-02,2080.0,Canned
131,2020-10-03,2285.0,Canned
132,2020-10-04,2469.0,Canned
133,2020-10-05,2654.0,Canned
134,2020-10-06,2586.0,Canned
135,2020-10-07,2094.0,Canned
136,2020-10-08,2226.0,Canned
137,2020-10-09,2547.0,Canned
138,2020-10-10,2652.0,Canned
139,2020-10-11,2959.0,Canned
140,2020-10-12,3116.0,Canned
141,2020-10-13,2507.0,Canned
142,2020-10-14,3006.0,Canned
143,2020-10-15,3006.0,Canned
144,2020-10-16,3235.0,Canned
145,2020-10-17,2977.0,Canned
146,2020-10-18,2977.0,Canned
147,2020-10-19,2449.0,Canned
148,2020-10-20,2194.0,Canned
149,2020-10-21,2115.0,Canned
150,2020-10-22,1638.0,Canned
151,2020-10-23,1946.0,Canned
152,2020-10-24,2410.0,Canned
153,2020-10-25,2593.0,Canned
154,2020-10-26,2306.0,Canned
155,2020-10-27,2650.0,Canned
156,2020-10-28,2512.0,Canned
157,2020-10-29,2670.0,Canned
158,2020-10-30,2763.0,Canned
159,2020-10-31,2150.0,Canned
160,2020-11-01,2418.0,Canned
161,2020-11-02,2217.0,Canned
162,2020-11-03,2428.0,Canned
163,2020-11-04,2519.0,Canned
164,2020-11-05,2308.0,Canned
165,2020-11-06,2438.0,Canned
166,2020-11-07,2418.0,Canned
167,2020-11-08,2439.0,Canned
168,2020-11-09,2249.0,Canned
169,2020-11-10,2391.0,Canned
170,2020-11-11,2306.0,Canned
171,2020-11-12,2374.0,Canned
172,2020-11-13,2585.0,Canned
173,2020-11-14,2922.0,Canned
174,2020-11-15,2293.0,Canned
175,2020-11-16,1884.0,Canned
176,2020-11-17,2066.0,Canned
177,2020-11-18,2181.0,Canned
178,2020-11-19,2296.0,Canned
179,2020-11-20,2579.0,Canned
180,2020-11-21,2784.0,Canned
181,2020-11-22,2729.0,Canned
182,2020-11-23,2788.0,Canned
183,2020-11-24,3121.0,Canned
184,2020-11-25,3474.0,Canned
185,2020-11-26,2802.0,Canned
186,2020-11-27,3441.0,Canned
187,2020-11-28,4582.0,Canned
188,2020-11-29,4627.0,Canned
189,2020-11-30,4115.0,Canned
190,2020-12-01,3910.0,Canned
191,2020-12-02,3907.0,Canned
192,2020-12-03,4011.0,Canned
193,2020-12-04,3817.0,Canned
194,2020-12-05,3753.0,Canned
