,date,value,name_B0856THYYN
0,2020-03-04,60139.0,Faucets
1,2020-03-05,60139.0,Faucets
2,2020-03-06,60139.0,Faucets
3,2020-03-07,60139.0,Faucets
4,2020-03-08,60139.0,Faucets
5,2020-03-09,60139.0,Faucets
6,2020-03-10,60139.0,Faucets
7,2020-03-11,60139.0,Faucets
8,2020-03-12,60139.0,Faucets
9,2020-03-13,60139.0,Faucets
10,2020-03-14,200708.0,Faucets
11,2020-03-15,200708.0,Faucets
12,2020-03-16,200708.0,Faucets
13,2020-03-17,200708.0,Faucets
14,2020-03-18,200708.0,Faucets
15,2020-03-19,200708.0,Faucets
16,2020-03-20,200708.0,Faucets
17,2020-03-21,200708.0,Faucets
18,2020-03-22,200708.0,Faucets
19,2020-03-23,200708.0,Faucets
20,2020-03-24,200708.0,Faucets
21,2020-03-25,200708.0,Faucets
22,2020-03-26,200708.0,Faucets
23,2020-03-27,200708.0,Faucets
24,2020-03-28,200708.0,Faucets
25,2020-03-29,200708.0,Faucets
26,2020-03-30,200708.0,Faucets
27,2020-03-31,200708.0,Faucets
28,2020-04-01,200708.0,Faucets
29,2020-04-02,200708.0,Faucets
30,2020-04-03,200708.0,Faucets
31,2020-04-04,200708.0,Faucets
32,2020-04-05,200708.0,Faucets
33,2020-04-06,280742.0,Faucets
34,2020-04-07,280742.0,Faucets
35,2020-04-08,280742.0,Faucets
36,2020-04-09,280742.0,Faucets
37,2020-04-10,280742.0,Faucets
38,2020-04-11,280742.0,Faucets
39,2020-04-12,280742.0,Faucets
40,2020-04-13,280742.0,Faucets
41,2020-04-14,244347.0,Faucets
42,2020-04-15,244347.0,Faucets
43,2020-04-16,244347.0,Faucets
44,2020-04-17,244347.0,Faucets
45,2020-04-18,244347.0,Faucets
46,2020-04-19,244347.0,Faucets
47,2020-04-20,244347.0,Faucets
48,2020-04-21,244347.0,Faucets
49,2020-04-22,244347.0,Faucets
50,2020-04-23,244347.0,Faucets
51,2020-04-24,244347.0,Faucets
52,2020-04-25,244347.0,Faucets
53,2020-04-26,244347.0,Faucets
54,2020-04-27,244347.0,Faucets
55,2020-04-28,244347.0,Faucets
56,2020-04-29,244347.0,Faucets
57,2020-04-30,244347.0,Faucets
58,2020-05-01,244347.0,Faucets
59,2020-05-02,244347.0,Faucets
60,2020-05-03,244347.0,Faucets
61,2020-05-04,244347.0,Faucets
