,date,value,name_B092D3F1Q8
0,2021-04-15,16917.0,Wall & Tabletop Frames
1,2021-04-16,17282.0,Wall & Tabletop Frames
2,2021-04-17,17148.0,Wall & Tabletop Frames
3,2021-04-18,18205.0,Wall & Tabletop Frames
4,2021-04-19,23790.0,Wall & Tabletop Frames
5,2021-04-20,23790.0,Wall & Tabletop Frames
6,2021-04-21,19098.0,Wall & Tabletop Frames
7,2021-04-22,17701.0,Wall & Tabletop Frames
8,2021-04-23,17701.0,Wall & Tabletop Frames
9,2021-04-24,14426.0,Wall & Tabletop Frames
10,2021-04-25,14426.0,Wall & Tabletop Frames
11,2021-04-26,13964.0,Wall & Tabletop Frames
12,2021-04-27,13542.0,Wall & Tabletop Frames
13,2021-04-28,13883.0,Wall & Tabletop Frames
14,2021-04-29,13883.0,Wall & Tabletop Frames
15,2021-04-30,13883.0,Wall & Tabletop Frames
16,2021-05-01,18238.0,Wall & Tabletop Frames
17,2021-05-02,14852.0,Wall & Tabletop Frames
18,2021-05-03,14852.0,Wall & Tabletop Frames
19,2021-05-04,14852.0,Wall & Tabletop Frames
20,2021-05-05,14909.0,Wall & Tabletop Frames
21,2021-05-06,14909.0,Wall & Tabletop Frames
22,2021-05-07,16346.0,Wall & Tabletop Frames
23,2021-05-08,16202.0,Wall & Tabletop Frames
24,2021-05-09,16202.0,Wall & Tabletop Frames
25,2021-05-10,21419.0,Wall & Tabletop Frames
26,2021-05-11,21419.0,Wall & Tabletop Frames
27,2021-05-12,17251.0,Wall & Tabletop Frames
28,2021-05-13,17251.0,Wall & Tabletop Frames
29,2021-05-14,17251.0,Wall & Tabletop Frames
30,2021-05-15,17251.0,Wall & Tabletop Frames
31,2021-05-16,20879.0,Wall & Tabletop Frames
32,2021-05-17,20110.0,Wall & Tabletop Frames
33,2021-05-18,20110.0,Wall & Tabletop Frames
34,2021-05-19,16747.0,Wall & Tabletop Frames
35,2021-05-20,16429.0,Wall & Tabletop Frames
36,2021-05-21,18931.0,Wall & Tabletop Frames
37,2021-05-22,18931.0,Wall & Tabletop Frames
38,2021-05-23,16593.0,Wall & Tabletop Frames
39,2021-05-24,16593.0,Wall & Tabletop Frames
40,2021-05-25,24781.0,Wall & Tabletop Frames
41,2021-05-26,22295.0,Wall & Tabletop Frames
42,2021-05-27,22295.0,Wall & Tabletop Frames
43,2021-05-28,22295.0,Wall & Tabletop Frames
44,2021-05-29,22295.0,Wall & Tabletop Frames
45,2021-05-30,22295.0,Wall & Tabletop Frames
46,2021-05-31,20028.0,Wall & Tabletop Frames
47,2021-06-01,20028.0,Wall & Tabletop Frames
48,2021-06-02,18852.0,Wall & Tabletop Frames
49,2021-06-03,21358.0,Wall & Tabletop Frames
50,2021-06-04,18596.0,Wall & Tabletop Frames
51,2021-06-05,15400.0,Wall & Tabletop Frames
52,2021-06-06,17711.0,Wall & Tabletop Frames
53,2021-06-07,17711.0,Wall & Tabletop Frames
54,2021-06-08,24056.0,Wall & Tabletop Frames
55,2021-06-09,24056.0,Wall & Tabletop Frames
56,2021-06-10,21555.0,Wall & Tabletop Frames
57,2021-06-11,19909.0,Wall & Tabletop Frames
58,2021-06-12,24381.0,Wall & Tabletop Frames
59,2021-06-13,24381.0,Wall & Tabletop Frames
60,2021-06-14,24381.0,Wall & Tabletop Frames
61,2021-06-15,17953.0,Wall & Tabletop Frames
62,2021-06-16,17953.0,Wall & Tabletop Frames
63,2021-06-17,19529.0,Wall & Tabletop Frames
64,2021-06-18,19529.0,Wall & Tabletop Frames
65,2021-06-19,19529.0,Wall & Tabletop Frames
66,2021-06-20,18988.0,Wall & Tabletop Frames
67,2021-06-21,22517.0,Wall & Tabletop Frames
68,2021-06-22,18818.0,Wall & Tabletop Frames
69,2021-06-23,16823.0,Wall & Tabletop Frames
70,2021-06-24,16714.0,Wall & Tabletop Frames
71,2021-06-25,16714.0,Wall & Tabletop Frames
72,2021-06-26,18555.0,Wall & Tabletop Frames
73,2021-06-27,18555.0,Wall & Tabletop Frames
74,2021-06-28,19328.0,Wall & Tabletop Frames
75,2021-06-29,20060.0,Wall & Tabletop Frames
76,2021-06-30,20752.0,Wall & Tabletop Frames
77,2021-07-01,21096.0,Wall & Tabletop Frames
78,2021-07-02,21096.0,Wall & Tabletop Frames
79,2021-07-03,15591.0,Wall & Tabletop Frames
80,2021-07-04,15591.0,Wall & Tabletop Frames
81,2021-07-05,21666.0,Wall & Tabletop Frames
82,2021-07-06,15411.0,Wall & Tabletop Frames
83,2021-07-07,15411.0,Wall & Tabletop Frames
84,2021-07-08,15084.0,Wall & Tabletop Frames
85,2021-07-09,15084.0,Wall & Tabletop Frames
86,2021-07-10,13826.0,Wall & Tabletop Frames
87,2021-07-11,14287.0,Wall & Tabletop Frames
