,date,value,name_B08H4P393H
0,2020-09-02,18901.0,Elastic Bandages
1,2020-09-03,20774.0,Elastic Bandages
2,2020-09-04,20774.0,Elastic Bandages
3,2020-09-05,20774.0,Elastic Bandages
4,2020-09-06,20774.0,Elastic Bandages
5,2020-09-07,32405.0,Elastic Bandages
6,2020-09-08,32405.0,Elastic Bandages
7,2020-09-09,32405.0,Elastic Bandages
8,2020-09-10,26809.0,Elastic Bandages
9,2020-09-11,26809.0,Elastic Bandages
10,2020-09-12,26809.0,Elastic Bandages
11,2020-09-13,26809.0,Elastic Bandages
12,2020-09-14,24685.0,Elastic Bandages
13,2020-09-15,24685.0,Elastic Bandages
14,2020-09-16,38822.0,Elastic Bandages
15,2020-09-17,38822.0,Elastic Bandages
16,2020-09-18,29817.0,Elastic Bandages
17,2020-09-19,23555.0,Elastic Bandages
18,2020-09-20,23555.0,Elastic Bandages
19,2020-09-21,28458.0,Elastic Bandages
20,2020-09-22,39222.0,Elastic Bandages
21,2020-09-23,39222.0,Elastic Bandages
22,2020-09-24,39222.0,Elastic Bandages
23,2020-09-25,26411.0,Elastic Bandages
24,2020-09-26,26411.0,Elastic Bandages
25,2020-09-27,26411.0,Elastic Bandages
26,2020-09-28,26411.0,Elastic Bandages
27,2020-09-29,27880.0,Elastic Bandages
28,2020-09-30,23669.0,Elastic Bandages
29,2020-10-01,19568.0,Elastic Bandages
30,2020-10-02,19568.0,Elastic Bandages
31,2020-10-03,19568.0,Elastic Bandages
32,2020-10-04,19568.0,Elastic Bandages
33,2020-10-05,16251.0,Elastic Bandages
34,2020-10-06,19999.0,Elastic Bandages
35,2020-10-07,19755.0,Elastic Bandages
36,2020-10-08,21096.0,Elastic Bandages
37,2020-10-09,21096.0,Elastic Bandages
38,2020-10-10,19051.0,Elastic Bandages
39,2020-10-11,19051.0,Elastic Bandages
40,2020-10-12,16342.0,Elastic Bandages
41,2020-10-13,16251.0,Elastic Bandages
42,2020-10-14,20285.0,Elastic Bandages
43,2020-10-15,20285.0,Elastic Bandages
44,2020-10-16,17933.0,Elastic Bandages
45,2020-10-17,17933.0,Elastic Bandages
46,2020-10-18,17933.0,Elastic Bandages
47,2020-10-19,17098.0,Elastic Bandages
48,2020-10-20,17098.0,Elastic Bandages
49,2020-10-21,39600.0,Elastic Bandages
50,2020-10-22,39600.0,Elastic Bandages
51,2020-10-23,59467.0,Elastic Bandages
52,2020-10-24,59467.0,Elastic Bandages
53,2020-10-25,59467.0,Elastic Bandages
54,2020-10-26,59467.0,Elastic Bandages
55,2020-10-27,59467.0,Elastic Bandages
56,2020-10-28,41002.0,Elastic Bandages
57,2020-10-29,40290.0,Elastic Bandages
58,2020-10-30,17559.0,Elastic Bandages
59,2020-10-31,17559.0,Elastic Bandages
60,2020-11-01,18011.0,Elastic Bandages
61,2020-11-02,17529.0,Elastic Bandages
62,2020-11-03,17529.0,Elastic Bandages
63,2020-11-04,16634.0,Elastic Bandages
64,2020-11-05,18683.0,Elastic Bandages
65,2020-11-06,18683.0,Elastic Bandages
66,2020-11-07,16515.0,Elastic Bandages
67,2020-11-08,18857.0,Elastic Bandages
68,2020-11-09,18857.0,Elastic Bandages
69,2020-11-10,18857.0,Elastic Bandages
70,2020-11-11,18857.0,Elastic Bandages
