,date,value,name_B0836P4DYC
0,2019-12-31,2075.0,Container Sets
1,2020-01-01,2075.0,Container Sets
2,2020-01-02,2075.0,Container Sets
3,2020-01-03,1888.0,Container Sets
4,2020-01-04,1888.0,Container Sets
5,2020-01-05,1380.0,Container Sets
6,2020-01-06,1835.0,Container Sets
7,2020-01-07,1835.0,Container Sets
8,2020-01-08,1322.0,Container Sets
9,2020-01-09,1322.0,Container Sets
10,2020-01-10,1318.0,Container Sets
11,2020-01-11,937.0,Container Sets
12,2020-01-12,1337.0,Container Sets
13,2020-01-13,1449.0,Container Sets
14,2020-01-14,827.0,Container Sets
15,2020-01-15,1157.0,Container Sets
16,2020-01-16,1123.0,Container Sets
17,2020-01-17,1063.0,Container Sets
18,2020-01-18,849.0,Container Sets
19,2020-01-19,1118.0,Container Sets
20,2020-01-20,1266.0,Container Sets
21,2020-01-21,1216.0,Container Sets
22,2020-01-22,3363.0,Container Sets
23,2020-01-23,3618.0,Container Sets
24,2020-01-24,3622.0,Container Sets
25,2020-01-25,3471.0,Container Sets
26,2020-01-26,3726.0,Container Sets
27,2020-01-27,3480.0,Container Sets
28,2020-01-28,3111.0,Container Sets
29,2020-01-29,2777.0,Container Sets
30,2020-01-30,3028.0,Container Sets
31,2020-01-31,2919.0,Container Sets
32,2020-02-01,2440.0,Container Sets
33,2020-02-02,3509.0,Container Sets
34,2020-02-03,3374.0,Container Sets
35,2020-02-04,3374.0,Container Sets
36,2020-02-05,3313.0,Container Sets
37,2020-02-06,3313.0,Container Sets
38,2020-02-07,2764.0,Container Sets
39,2020-02-08,2901.0,Container Sets
40,2020-02-09,3703.0,Container Sets
41,2020-02-10,3969.0,Container Sets
42,2020-02-11,3290.0,Container Sets
43,2020-02-12,2779.0,Container Sets
44,2020-02-13,3726.0,Container Sets
45,2020-02-14,2764.0,Container Sets
46,2020-02-15,2666.0,Container Sets
47,2020-02-16,4655.0,Container Sets
48,2020-02-17,4359.0,Container Sets
49,2020-02-18,4547.0,Container Sets
50,2020-02-19,4014.0,Container Sets
51,2020-02-20,4239.0,Container Sets
52,2020-02-21,4239.0,Container Sets
53,2020-02-22,4239.0,Container Sets
54,2020-02-23,3760.0,Container Sets
55,2020-02-24,3760.0,Container Sets
56,2020-02-25,3952.0,Container Sets
57,2020-02-26,3918.0,Container Sets
58,2020-02-27,2978.0,Container Sets
59,2020-02-28,3976.0,Container Sets
60,2020-02-29,3489.0,Container Sets
61,2020-03-01,4294.0,Container Sets
62,2020-03-02,4196.0,Container Sets
63,2020-03-03,4263.0,Container Sets
64,2020-03-04,4032.0,Container Sets
65,2020-03-05,4675.0,Container Sets
66,2020-03-06,3983.0,Container Sets
67,2020-03-07,-1.0,Container Sets
68,2020-03-08,-1.0,Container Sets
69,2020-03-09,-1.0,Container Sets
70,2020-03-10,-1.0,Container Sets
71,2020-03-11,-1.0,Container Sets
72,2020-03-12,-1.0,Container Sets
73,2020-03-13,-1.0,Container Sets
74,2020-03-14,-1.0,Container Sets
75,2020-03-15,-1.0,Container Sets
76,2020-03-16,-1.0,Container Sets
77,2020-03-17,-1.0,Container Sets
78,2020-03-18,-1.0,Container Sets
79,2020-03-19,-1.0,Container Sets
80,2020-03-20,-1.0,Container Sets
81,2020-03-21,-1.0,Container Sets
82,2020-03-22,-1.0,Container Sets
83,2020-03-23,-1.0,Container Sets
84,2020-03-24,-1.0,Container Sets
85,2020-03-25,-1.0,Container Sets
86,2020-03-26,-1.0,Container Sets
87,2020-03-27,-1.0,Container Sets
88,2020-03-28,-1.0,Container Sets
89,2020-03-29,-1.0,Container Sets
90,2020-03-30,-1.0,Container Sets
91,2020-03-31,-1.0,Container Sets
92,2020-04-01,-1.0,Container Sets
93,2020-04-02,-1.0,Container Sets
94,2020-04-03,-1.0,Container Sets
95,2020-04-04,-1.0,Container Sets
96,2020-04-05,-1.0,Container Sets
97,2020-04-06,-1.0,Container Sets
98,2020-04-07,-1.0,Container Sets
99,2020-04-08,-1.0,Container Sets
100,2020-04-09,-1.0,Container Sets
101,2020-04-10,-1.0,Container Sets
102,2020-04-11,-1.0,Container Sets
103,2020-04-12,-1.0,Container Sets
104,2020-04-13,-1.0,Container Sets
105,2020-04-14,-1.0,Container Sets
106,2020-04-15,-1.0,Container Sets
107,2020-04-16,-1.0,Container Sets
108,2020-04-17,-1.0,Container Sets
109,2020-04-18,-1.0,Container Sets
110,2020-04-19,-1.0,Container Sets
111,2020-04-20,-1.0,Container Sets
112,2020-04-21,-1.0,Container Sets
113,2020-04-22,-1.0,Container Sets
114,2020-04-23,-1.0,Container Sets
115,2020-04-24,-1.0,Container Sets
116,2020-04-25,-1.0,Container Sets
117,2020-04-26,-1.0,Container Sets
118,2020-04-27,-1.0,Container Sets
119,2020-04-28,-1.0,Container Sets
120,2020-04-29,-1.0,Container Sets
121,2020-04-30,-1.0,Container Sets
122,2020-05-01,-1.0,Container Sets
123,2020-05-02,-1.0,Container Sets
124,2020-05-03,-1.0,Container Sets
125,2020-05-04,-1.0,Container Sets
126,2020-05-05,-1.0,Container Sets
127,2020-05-06,-1.0,Container Sets
128,2020-05-07,-1.0,Container Sets
129,2020-05-08,-1.0,Container Sets
130,2020-05-09,-1.0,Container Sets
131,2020-05-10,-1.0,Container Sets
132,2020-05-11,-1.0,Container Sets
133,2020-05-12,-1.0,Container Sets
134,2020-05-13,-1.0,Container Sets
135,2020-05-14,-1.0,Container Sets
136,2020-05-15,-1.0,Container Sets
137,2020-05-16,-1.0,Container Sets
138,2020-05-17,-1.0,Container Sets
139,2020-05-18,-1.0,Container Sets
140,2020-05-19,-1.0,Container Sets
141,2020-05-20,-1.0,Container Sets
142,2020-05-21,-1.0,Container Sets
143,2020-05-22,-1.0,Container Sets
144,2020-05-23,-1.0,Container Sets
145,2020-05-24,-1.0,Container Sets
146,2020-05-25,-1.0,Container Sets
147,2020-05-26,-1.0,Container Sets
148,2020-05-27,-1.0,Container Sets
149,2020-05-28,-1.0,Container Sets
150,2020-05-29,-1.0,Container Sets
151,2020-05-30,-1.0,Container Sets
152,2020-05-31,-1.0,Container Sets
153,2020-06-01,-1.0,Container Sets
154,2020-06-02,-1.0,Container Sets
155,2020-06-03,-1.0,Container Sets
156,2020-06-04,-1.0,Container Sets
157,2020-06-05,-1.0,Container Sets
158,2020-06-06,-1.0,Container Sets
159,2020-06-07,-1.0,Container Sets
160,2020-06-08,-1.0,Container Sets
161,2020-06-09,-1.0,Container Sets
162,2020-06-10,-1.0,Container Sets
163,2020-06-11,-1.0,Container Sets
164,2020-06-12,-1.0,Container Sets
165,2020-06-13,-1.0,Container Sets
166,2020-06-14,-1.0,Container Sets
167,2020-06-15,-1.0,Container Sets
168,2020-06-16,-1.0,Container Sets
169,2020-06-17,-1.0,Container Sets
170,2020-06-18,-1.0,Container Sets
171,2020-06-19,-1.0,Container Sets
172,2020-06-20,-1.0,Container Sets
173,2020-06-21,-1.0,Container Sets
174,2020-06-22,-1.0,Container Sets
175,2020-06-23,-1.0,Container Sets
176,2020-06-24,-1.0,Container Sets
177,2020-06-25,-1.0,Container Sets
178,2020-06-26,-1.0,Container Sets
179,2020-06-27,-1.0,Container Sets
180,2020-06-28,-1.0,Container Sets
181,2020-06-29,-1.0,Container Sets
182,2020-06-30,-1.0,Container Sets
183,2020-07-01,-1.0,Container Sets
184,2020-07-02,-1.0,Container Sets
185,2020-07-03,-1.0,Container Sets
186,2020-07-04,-1.0,Container Sets
187,2020-07-05,-1.0,Container Sets
188,2020-07-06,-1.0,Container Sets
189,2020-07-07,-1.0,Container Sets
190,2020-07-08,-1.0,Container Sets
191,2020-07-09,-1.0,Container Sets
192,2020-07-10,-1.0,Container Sets
193,2020-07-11,-1.0,Container Sets
194,2020-07-12,-1.0,Container Sets
195,2020-07-13,-1.0,Container Sets
196,2020-07-14,-1.0,Container Sets
197,2020-07-15,-1.0,Container Sets
198,2020-07-16,-1.0,Container Sets
199,2020-07-17,-1.0,Container Sets
200,2020-07-18,-1.0,Container Sets
201,2020-07-19,-1.0,Container Sets
202,2020-07-20,-1.0,Container Sets
203,2020-07-21,-1.0,Container Sets
204,2020-07-22,-1.0,Container Sets
205,2020-07-23,-1.0,Container Sets
206,2020-07-24,-1.0,Container Sets
207,2020-07-25,-1.0,Container Sets
208,2020-07-26,-1.0,Container Sets
209,2020-07-27,-1.0,Container Sets
210,2020-07-28,-1.0,Container Sets
211,2020-07-29,-1.0,Container Sets
212,2020-07-30,-1.0,Container Sets
213,2020-07-31,-1.0,Container Sets
214,2020-08-01,-1.0,Container Sets
215,2020-08-02,-1.0,Container Sets
216,2020-08-03,-1.0,Container Sets
217,2020-08-04,-1.0,Container Sets
218,2020-08-05,718.0,Container Sets
219,2020-08-06,663.0,Container Sets
220,2020-08-07,703.0,Container Sets
221,2020-08-08,703.0,Container Sets
222,2020-08-09,750.0,Container Sets
223,2020-08-10,863.0,Container Sets
224,2020-08-11,807.0,Container Sets
225,2020-08-12,775.0,Container Sets
226,2020-08-13,778.0,Container Sets
227,2020-08-14,643.0,Container Sets
228,2020-08-15,623.0,Container Sets
229,2020-08-16,865.0,Container Sets
230,2020-08-17,942.0,Container Sets
231,2020-08-18,775.0,Container Sets
232,2020-08-19,793.0,Container Sets
233,2020-08-20,761.0,Container Sets
234,2020-08-21,832.0,Container Sets
235,2020-08-22,812.0,Container Sets
236,2020-08-23,849.0,Container Sets
237,2020-08-24,1069.0,Container Sets
238,2020-08-25,968.0,Container Sets
239,2020-08-26,847.0,Container Sets
240,2020-08-27,834.0,Container Sets
241,2020-08-28,794.0,Container Sets
242,2020-08-29,774.0,Container Sets
243,2020-08-30,832.0,Container Sets
244,2020-08-31,1102.0,Container Sets
245,2020-09-01,1063.0,Container Sets
246,2020-09-02,1040.0,Container Sets
247,2020-09-03,974.0,Container Sets
248,2020-09-04,911.0,Container Sets
249,2020-09-05,1084.0,Container Sets
