,date,value,name_B08LBB5FGX
0,2020-10-20,2862.0,Pillow Inserts
1,2020-10-21,3056.0,Pillow Inserts
2,2020-10-22,3056.0,Pillow Inserts
3,2020-10-23,3022.0,Pillow Inserts
4,2020-10-24,3237.0,Pillow Inserts
5,2020-10-25,3237.0,Pillow Inserts
6,2020-10-26,3115.0,Pillow Inserts
7,2020-10-27,3170.0,Pillow Inserts
8,2020-10-28,3225.0,Pillow Inserts
9,2020-10-29,2429.0,Pillow Inserts
10,2020-10-30,1960.0,Pillow Inserts
11,2020-10-31,2045.0,Pillow Inserts
12,2020-11-01,2045.0,Pillow Inserts
13,2020-11-02,1844.0,Pillow Inserts
14,2020-11-03,660.0,Pillow Inserts
15,2020-11-04,467.0,Pillow Inserts
16,2020-11-05,393.0,Pillow Inserts
17,2020-11-06,605.0,Pillow Inserts
18,2020-11-07,638.0,Pillow Inserts
19,2020-11-08,1088.0,Pillow Inserts
20,2020-11-09,1073.0,Pillow Inserts
21,2020-11-10,1299.0,Pillow Inserts
22,2020-11-11,1444.0,Pillow Inserts
23,2020-11-12,1632.0,Pillow Inserts
24,2020-11-13,1538.0,Pillow Inserts
25,2020-11-14,1694.0,Pillow Inserts
26,2020-11-15,1694.0,Pillow Inserts
27,2020-11-16,1707.0,Pillow Inserts
28,2020-11-17,2001.0,Pillow Inserts
29,2020-11-18,2254.0,Pillow Inserts
30,2020-11-19,3695.0,Pillow Inserts
31,2020-11-20,3695.0,Pillow Inserts
32,2020-11-21,4366.0,Pillow Inserts
33,2020-11-22,4366.0,Pillow Inserts
34,2020-11-23,3893.0,Pillow Inserts
35,2020-11-24,3893.0,Pillow Inserts
36,2020-11-25,4330.0,Pillow Inserts
37,2020-11-26,5133.0,Pillow Inserts
38,2020-11-27,6390.0,Pillow Inserts
39,2020-11-28,5173.0,Pillow Inserts
40,2020-11-29,5173.0,Pillow Inserts
41,2020-11-30,2770.0,Pillow Inserts
42,2020-12-01,3928.0,Pillow Inserts
43,2020-12-02,3314.0,Pillow Inserts
44,2020-12-03,2341.0,Pillow Inserts
45,2020-12-04,2341.0,Pillow Inserts
46,2020-12-05,2299.0,Pillow Inserts
47,2020-12-06,2299.0,Pillow Inserts
48,2020-12-07,2156.0,Pillow Inserts
49,2020-12-08,1750.0,Pillow Inserts
50,2020-12-09,2029.0,Pillow Inserts
51,2020-12-10,1950.0,Pillow Inserts
52,2020-12-11,2923.0,Pillow Inserts
53,2020-12-12,3148.0,Pillow Inserts
54,2020-12-13,3148.0,Pillow Inserts
55,2020-12-14,4510.0,Pillow Inserts
56,2020-12-15,4510.0,Pillow Inserts
57,2020-12-16,6221.0,Pillow Inserts
58,2020-12-17,7546.0,Pillow Inserts
59,2020-12-18,4084.0,Pillow Inserts
60,2020-12-19,4746.0,Pillow Inserts
61,2020-12-20,4746.0,Pillow Inserts
62,2020-12-21,3598.0,Pillow Inserts
