,date,value,name_B08QHX99G2
0,2021-03-25,19736.0,Play & Swing Sets
1,2021-03-26,19736.0,Play & Swing Sets
2,2021-03-27,19736.0,Play & Swing Sets
3,2021-03-28,19736.0,Play & Swing Sets
4,2021-03-29,18319.0,Play & Swing Sets
5,2021-03-30,31967.0,Play & Swing Sets
6,2021-03-31,31967.0,Play & Swing Sets
7,2021-04-01,31967.0,Play & Swing Sets
8,2021-04-02,31967.0,Play & Swing Sets
9,2021-04-03,31967.0,Play & Swing Sets
10,2021-04-04,31967.0,Play & Swing Sets
11,2021-04-05,31967.0,Play & Swing Sets
12,2021-04-06,31967.0,Play & Swing Sets
13,2021-04-07,49716.0,Play & Swing Sets
14,2021-04-08,49716.0,Play & Swing Sets
15,2021-04-09,49716.0,Play & Swing Sets
16,2021-04-10,20828.0,Play & Swing Sets
17,2021-04-11,20828.0,Play & Swing Sets
18,2021-04-12,20828.0,Play & Swing Sets
19,2021-04-13,18502.0,Play & Swing Sets
20,2021-04-14,18502.0,Play & Swing Sets
21,2021-04-15,18502.0,Play & Swing Sets
22,2021-04-16,15066.0,Play & Swing Sets
23,2021-04-17,15066.0,Play & Swing Sets
24,2021-04-18,15066.0,Play & Swing Sets
25,2021-04-19,10883.0,Play & Swing Sets
26,2021-04-20,10883.0,Play & Swing Sets
27,2021-04-21,13790.0,Play & Swing Sets
28,2021-04-22,23067.0,Play & Swing Sets
29,2021-04-23,19399.0,Play & Swing Sets
30,2021-04-24,19399.0,Play & Swing Sets
31,2021-04-25,19399.0,Play & Swing Sets
32,2021-04-26,15656.0,Play & Swing Sets
33,2021-04-27,16391.0,Play & Swing Sets
34,2021-04-28,16391.0,Play & Swing Sets
35,2021-04-29,16391.0,Play & Swing Sets
36,2021-04-30,21230.0,Play & Swing Sets
37,2021-05-01,21230.0,Play & Swing Sets
38,2021-05-02,31831.0,Play & Swing Sets
39,2021-05-03,31831.0,Play & Swing Sets
40,2021-05-04,31831.0,Play & Swing Sets
41,2021-05-05,27785.0,Play & Swing Sets
42,2021-05-06,44485.0,Play & Swing Sets
43,2021-05-07,62954.0,Play & Swing Sets
44,2021-05-08,46491.0,Play & Swing Sets
45,2021-05-09,46491.0,Play & Swing Sets
46,2021-05-10,46491.0,Play & Swing Sets
47,2021-05-11,57289.0,Play & Swing Sets
48,2021-05-12,57289.0,Play & Swing Sets
49,2021-05-13,57289.0,Play & Swing Sets
50,2021-05-14,57289.0,Play & Swing Sets
51,2021-05-15,30413.0,Play & Swing Sets
52,2021-05-16,30413.0,Play & Swing Sets
53,2021-05-17,30413.0,Play & Swing Sets
54,2021-05-18,30413.0,Play & Swing Sets
55,2021-05-19,50182.0,Play & Swing Sets
56,2021-05-20,61762.0,Play & Swing Sets
57,2021-05-21,61762.0,Play & Swing Sets
58,2021-05-22,61762.0,Play & Swing Sets
59,2021-05-23,61762.0,Play & Swing Sets
60,2021-05-24,61762.0,Play & Swing Sets
61,2021-05-25,58828.0,Play & Swing Sets
62,2021-05-26,86531.0,Play & Swing Sets
63,2021-05-27,86531.0,Play & Swing Sets
64,2021-05-28,86531.0,Play & Swing Sets
65,2021-05-29,86531.0,Play & Swing Sets
66,2021-05-30,86531.0,Play & Swing Sets
67,2021-05-31,86531.0,Play & Swing Sets
68,2021-06-01,86531.0,Play & Swing Sets
69,2021-06-02,86531.0,Play & Swing Sets
70,2021-06-03,167678.0,Play & Swing Sets
71,2021-06-04,167678.0,Play & Swing Sets
72,2021-06-05,167678.0,Play & Swing Sets
73,2021-06-06,167678.0,Play & Swing Sets
74,2021-06-07,191875.0,Play & Swing Sets
75,2021-06-08,191875.0,Play & Swing Sets
76,2021-06-09,237391.0,Play & Swing Sets
77,2021-06-10,237391.0,Play & Swing Sets
78,2021-06-11,237391.0,Play & Swing Sets
79,2021-06-12,237391.0,Play & Swing Sets
80,2021-06-13,237391.0,Play & Swing Sets
81,2021-06-14,237391.0,Play & Swing Sets
82,2021-06-15,250171.0,Play & Swing Sets
83,2021-06-16,250171.0,Play & Swing Sets
84,2021-06-17,250171.0,Play & Swing Sets
85,2021-06-18,250171.0,Play & Swing Sets
86,2021-06-19,250171.0,Play & Swing Sets
87,2021-06-20,250171.0,Play & Swing Sets
88,2021-06-21,25275.0,Play & Swing Sets
89,2021-06-22,25275.0,Play & Swing Sets
90,2021-06-23,25275.0,Play & Swing Sets
91,2021-06-24,13609.0,Play & Swing Sets
92,2021-06-25,13770.0,Play & Swing Sets
93,2021-06-26,13770.0,Play & Swing Sets
94,2021-06-27,13770.0,Play & Swing Sets
95,2021-06-28,9237.0,Play & Swing Sets
96,2021-06-29,14603.0,Play & Swing Sets
97,2021-06-30,11784.0,Play & Swing Sets
98,2021-07-01,11784.0,Play & Swing Sets
99,2021-07-02,15525.0,Play & Swing Sets
100,2021-07-03,15525.0,Play & Swing Sets
101,2021-07-04,15525.0,Play & Swing Sets
102,2021-07-05,13353.0,Play & Swing Sets
103,2021-07-06,17546.0,Play & Swing Sets
104,2021-07-07,17546.0,Play & Swing Sets
105,2021-07-08,17546.0,Play & Swing Sets
106,2021-07-09,20182.0,Play & Swing Sets
