,date,value,name_B08DV1YFKV
0,2020-08-04,8743.0,Throw Pillow Covers
1,2020-08-05,8743.0,Throw Pillow Covers
2,2020-08-06,8743.0,Throw Pillow Covers
3,2020-08-07,10838.0,Throw Pillow Covers
4,2020-08-08,10838.0,Throw Pillow Covers
5,2020-08-09,10838.0,Throw Pillow Covers
6,2020-08-10,10838.0,Throw Pillow Covers
7,2020-08-11,10838.0,Throw Pillow Covers
8,2020-08-12,12894.0,Throw Pillow Covers
9,2020-08-13,12894.0,Throw Pillow Covers
10,2020-08-14,12894.0,Throw Pillow Covers
11,2020-08-15,9592.0,Throw Pillow Covers
12,2020-08-16,9592.0,Throw Pillow Covers
13,2020-08-17,9592.0,Throw Pillow Covers
14,2020-08-18,9592.0,Throw Pillow Covers
15,2020-08-19,10964.0,Throw Pillow Covers
16,2020-08-20,14942.0,Throw Pillow Covers
17,2020-08-21,14942.0,Throw Pillow Covers
18,2020-08-22,14942.0,Throw Pillow Covers
19,2020-08-23,14942.0,Throw Pillow Covers
20,2020-08-24,19839.0,Throw Pillow Covers
21,2020-08-25,19839.0,Throw Pillow Covers
22,2020-08-26,21128.0,Throw Pillow Covers
23,2020-08-27,21128.0,Throw Pillow Covers
24,2020-08-28,21128.0,Throw Pillow Covers
25,2020-08-29,10279.0,Throw Pillow Covers
26,2020-08-30,10279.0,Throw Pillow Covers
27,2020-08-31,12256.0,Throw Pillow Covers
28,2020-09-01,12715.0,Throw Pillow Covers
29,2020-09-02,12715.0,Throw Pillow Covers
30,2020-09-03,12715.0,Throw Pillow Covers
31,2020-09-04,12715.0,Throw Pillow Covers
32,2020-09-05,8052.0,Throw Pillow Covers
33,2020-09-06,9063.0,Throw Pillow Covers
34,2020-09-07,9063.0,Throw Pillow Covers
35,2020-09-08,9063.0,Throw Pillow Covers
36,2020-09-09,9316.0,Throw Pillow Covers
37,2020-09-10,9316.0,Throw Pillow Covers
38,2020-09-11,9316.0,Throw Pillow Covers
39,2020-09-12,10770.0,Throw Pillow Covers
40,2020-09-13,10770.0,Throw Pillow Covers
41,2020-09-14,10738.0,Throw Pillow Covers
42,2020-09-15,10738.0,Throw Pillow Covers
43,2020-09-16,10738.0,Throw Pillow Covers
44,2020-09-17,8141.0,Throw Pillow Covers
45,2020-09-18,8141.0,Throw Pillow Covers
46,2020-09-19,9430.0,Throw Pillow Covers
47,2020-09-20,9430.0,Throw Pillow Covers
48,2020-09-21,9430.0,Throw Pillow Covers
