,date,value,name_B0866FZYFH
120,2020-09-26,893.0,Fertilizers & Plant Food
121,2020-09-27,1018.0,Fertilizers & Plant Food
122,2020-09-28,795.0,Fertilizers & Plant Food
123,2020-09-29,636.0,Fertilizers & Plant Food
124,2020-09-30,574.0,Fertilizers & Plant Food
125,2020-10-01,696.0,Fertilizers & Plant Food
126,2020-10-02,605.0,Fertilizers & Plant Food
127,2020-10-03,605.0,Fertilizers & Plant Food
128,2020-10-04,546.0,Fertilizers & Plant Food
129,2020-10-05,546.0,Fertilizers & Plant Food
130,2020-10-06,439.0,Fertilizers & Plant Food
131,2020-10-07,338.0,Fertilizers & Plant Food
132,2020-10-08,338.0,Fertilizers & Plant Food
133,2020-10-09,341.0,Fertilizers & Plant Food
134,2020-10-10,341.0,Fertilizers & Plant Food
135,2020-10-11,391.0,Fertilizers & Plant Food
136,2020-10-12,525.0,Fertilizers & Plant Food
137,2020-10-13,593.0,Fertilizers & Plant Food
138,2020-10-14,54.0,Fertilizers & Plant Food
139,2020-10-15,119.0,Fertilizers & Plant Food
140,2020-10-16,160.0,Fertilizers & Plant Food
141,2020-10-17,160.0,Fertilizers & Plant Food
142,2020-10-18,311.0,Fertilizers & Plant Food
143,2020-10-19,311.0,Fertilizers & Plant Food
144,2020-10-20,303.0,Fertilizers & Plant Food
145,2020-10-21,330.0,Fertilizers & Plant Food
146,2020-10-22,395.0,Fertilizers & Plant Food
147,2020-10-23,387.0,Fertilizers & Plant Food
148,2020-10-24,387.0,Fertilizers & Plant Food
149,2020-10-25,391.0,Fertilizers & Plant Food
150,2020-10-26,391.0,Fertilizers & Plant Food
151,2020-10-27,391.0,Fertilizers & Plant Food
152,2020-10-28,320.0,Fertilizers & Plant Food
153,2020-10-29,256.0,Fertilizers & Plant Food
154,2020-10-30,256.0,Fertilizers & Plant Food
155,2020-10-31,318.0,Fertilizers & Plant Food
156,2020-11-01,318.0,Fertilizers & Plant Food
157,2020-11-02,321.0,Fertilizers & Plant Food
158,2020-11-03,297.0,Fertilizers & Plant Food
