,date,value,name_B07GNSH1VB
0,2020-05-22,10915.0,B8 (Inositol)
1,2020-05-23,10915.0,B8 (Inositol)
2,2020-05-24,10915.0,B8 (Inositol)
3,2020-05-25,10915.0,B8 (Inositol)
4,2020-05-26,11788.0,B8 (Inositol)
5,2020-05-27,11788.0,B8 (Inositol)
6,2020-05-28,10175.0,B8 (Inositol)
7,2020-05-29,10175.0,B8 (Inositol)
8,2020-05-30,11357.0,B8 (Inositol)
9,2020-05-31,11357.0,B8 (Inositol)
10,2020-06-01,11357.0,B8 (Inositol)
11,2020-06-02,9262.0,B8 (Inositol)
12,2020-06-03,9276.0,B8 (Inositol)
13,2020-06-04,9276.0,B8 (Inositol)
14,2020-06-05,9276.0,B8 (Inositol)
15,2020-06-06,9276.0,B8 (Inositol)
16,2020-06-07,11513.0,B8 (Inositol)
17,2020-06-08,10510.0,B8 (Inositol)
18,2020-06-09,10510.0,B8 (Inositol)
19,2020-06-10,10510.0,B8 (Inositol)
20,2020-06-11,9592.0,B8 (Inositol)
21,2020-06-12,9441.0,B8 (Inositol)
22,2020-06-13,9441.0,B8 (Inositol)
23,2020-06-14,9441.0,B8 (Inositol)
24,2020-06-15,10755.0,B8 (Inositol)
25,2020-06-16,10755.0,B8 (Inositol)
26,2020-06-17,10755.0,B8 (Inositol)
27,2020-06-18,11063.0,B8 (Inositol)
28,2020-06-19,11063.0,B8 (Inositol)
29,2020-06-20,8959.0,B8 (Inositol)
30,2020-06-21,8959.0,B8 (Inositol)
31,2020-06-22,10874.0,B8 (Inositol)
32,2020-06-23,10874.0,B8 (Inositol)
33,2020-06-24,9269.0,B8 (Inositol)
34,2020-06-25,9269.0,B8 (Inositol)
35,2020-06-26,9269.0,B8 (Inositol)
36,2020-06-27,9739.0,B8 (Inositol)
37,2020-06-28,9897.0,B8 (Inositol)
38,2020-06-29,11028.0,B8 (Inositol)
39,2020-06-30,11028.0,B8 (Inositol)
40,2020-07-01,11028.0,B8 (Inositol)
41,2020-07-02,9894.0,B8 (Inositol)
42,2020-07-03,9894.0,B8 (Inositol)
43,2020-07-04,11169.0,B8 (Inositol)
44,2020-07-05,11169.0,B8 (Inositol)
45,2020-07-06,11169.0,B8 (Inositol)
46,2020-07-07,11169.0,B8 (Inositol)
47,2020-07-08,9573.0,B8 (Inositol)
48,2020-07-09,8432.0,B8 (Inositol)
49,2020-07-10,8432.0,B8 (Inositol)
50,2020-07-11,9340.0,B8 (Inositol)
51,2020-07-12,8064.0,B8 (Inositol)
52,2020-07-13,8064.0,B8 (Inositol)
53,2020-07-14,8064.0,B8 (Inositol)
54,2020-07-15,8064.0,B8 (Inositol)
55,2020-07-16,8064.0,B8 (Inositol)
56,2020-07-17,10356.0,B8 (Inositol)
57,2020-07-18,12139.0,B8 (Inositol)
58,2020-07-19,12139.0,B8 (Inositol)
59,2020-07-20,12171.0,B8 (Inositol)
60,2020-07-21,10942.0,B8 (Inositol)
61,2020-07-22,10302.0,B8 (Inositol)
62,2020-07-23,10302.0,B8 (Inositol)
63,2020-07-24,10302.0,B8 (Inositol)
64,2020-07-25,11626.0,B8 (Inositol)
65,2020-07-26,11510.0,B8 (Inositol)
66,2020-07-27,11510.0,B8 (Inositol)
67,2020-07-28,10109.0,B8 (Inositol)
68,2020-07-29,10109.0,B8 (Inositol)
69,2020-07-30,10109.0,B8 (Inositol)
70,2020-07-31,10587.0,B8 (Inositol)
71,2020-08-01,10587.0,B8 (Inositol)
72,2020-08-02,10587.0,B8 (Inositol)
73,2020-08-03,10470.0,B8 (Inositol)
74,2020-08-04,10470.0,B8 (Inositol)
75,2020-08-05,10386.0,B8 (Inositol)
76,2020-08-06,9233.0,B8 (Inositol)
77,2020-08-07,9641.0,B8 (Inositol)
