,date,value,name_B093YBPHKB
0,2021-05-08,45333.0,Garden Hoses
1,2021-05-09,45333.0,Garden Hoses
2,2021-05-10,45333.0,Garden Hoses
3,2021-05-11,10293.0,Garden Hoses
4,2021-05-12,10293.0,Garden Hoses
5,2021-05-13,10293.0,Garden Hoses
6,2021-05-14,9126.0,Garden Hoses
7,2021-05-15,9126.0,Garden Hoses
8,2021-05-16,7948.0,Garden Hoses
9,2021-05-17,7948.0,Garden Hoses
10,2021-05-18,7856.0,Garden Hoses
11,2021-05-19,7917.0,Garden Hoses
12,2021-05-20,4540.0,Garden Hoses
13,2021-05-21,7353.0,Garden Hoses
14,2021-05-22,7353.0,Garden Hoses
15,2021-05-23,3644.0,Garden Hoses
16,2021-05-24,3498.0,Garden Hoses
17,2021-05-25,4114.0,Garden Hoses
18,2021-05-26,5455.0,Garden Hoses
19,2021-05-27,5707.0,Garden Hoses
20,2021-05-28,5707.0,Garden Hoses
21,2021-05-29,5443.0,Garden Hoses
22,2021-05-30,5267.0,Garden Hoses
23,2021-05-31,5365.0,Garden Hoses
24,2021-06-01,4116.0,Garden Hoses
25,2021-06-02,3785.0,Garden Hoses
26,2021-06-03,3901.0,Garden Hoses
27,2021-06-04,3901.0,Garden Hoses
28,2021-06-05,8938.0,Garden Hoses
29,2021-06-06,8938.0,Garden Hoses
30,2021-06-07,8731.0,Garden Hoses
31,2021-06-08,11293.0,Garden Hoses
32,2021-06-09,11293.0,Garden Hoses
33,2021-06-10,12069.0,Garden Hoses
34,2021-06-11,12069.0,Garden Hoses
35,2021-06-12,12069.0,Garden Hoses
36,2021-06-13,5309.0,Garden Hoses
37,2021-06-14,5309.0,Garden Hoses
38,2021-06-15,5492.0,Garden Hoses
39,2021-06-16,5492.0,Garden Hoses
40,2021-06-17,5059.0,Garden Hoses
41,2021-06-18,4843.0,Garden Hoses
42,2021-06-19,4843.0,Garden Hoses
43,2021-06-20,3582.0,Garden Hoses
44,2021-06-21,4485.0,Garden Hoses
45,2021-06-22,4485.0,Garden Hoses
46,2021-06-23,4485.0,Garden Hoses
47,2021-06-24,4485.0,Garden Hoses
48,2021-06-25,6336.0,Garden Hoses
49,2021-06-26,6336.0,Garden Hoses
50,2021-06-27,6336.0,Garden Hoses
51,2021-06-28,6336.0,Garden Hoses
52,2021-06-29,5577.0,Garden Hoses
53,2021-06-30,5577.0,Garden Hoses
54,2021-07-01,5577.0,Garden Hoses
55,2021-07-02,9580.0,Garden Hoses
56,2021-07-03,9580.0,Garden Hoses
57,2021-07-04,11762.0,Garden Hoses
58,2021-07-05,11762.0,Garden Hoses
59,2021-07-06,15712.0,Garden Hoses
60,2021-07-07,15712.0,Garden Hoses
61,2021-07-08,5635.0,Garden Hoses
62,2021-07-09,6634.0,Garden Hoses
63,2021-07-10,6634.0,Garden Hoses
64,2021-07-11,4245.0,Garden Hoses
