,date,value,name_B08CTCXZ38
0,2020-07-16,5125.0,Punches
1,2020-07-17,5125.0,Punches
2,2020-07-18,5125.0,Punches
3,2020-07-19,5125.0,Punches
4,2020-07-20,11035.0,Punches
5,2020-07-21,11035.0,Punches
6,2020-07-22,7347.0,Punches
7,2020-07-23,7347.0,Punches
8,2020-07-24,7347.0,Punches
9,2020-07-25,7347.0,Punches
10,2020-07-26,7347.0,Punches
11,2020-07-27,7308.0,Punches
12,2020-07-28,7308.0,Punches
13,2020-07-29,5289.0,Punches
14,2020-07-30,5289.0,Punches
15,2020-07-31,5289.0,Punches
16,2020-08-01,5289.0,Punches
17,2020-08-02,8712.0,Punches
18,2020-08-03,8712.0,Punches
19,2020-08-04,10378.0,Punches
20,2020-08-05,10378.0,Punches
21,2020-08-06,10378.0,Punches
22,2020-08-07,5945.0,Punches
23,2020-08-08,5945.0,Punches
24,2020-08-09,5351.0,Punches
25,2020-08-10,5351.0,Punches
26,2020-08-11,3525.0,Punches
27,2020-08-12,3525.0,Punches
28,2020-08-13,3770.0,Punches
29,2020-08-14,3770.0,Punches
30,2020-08-15,3898.0,Punches
31,2020-08-16,3898.0,Punches
32,2020-08-17,3410.0,Punches
33,2020-08-18,3410.0,Punches
34,2020-08-19,3410.0,Punches
35,2020-08-20,3695.0,Punches
36,2020-08-21,3695.0,Punches
37,2020-08-22,3695.0,Punches
38,2020-08-23,3308.0,Punches
39,2020-08-24,3308.0,Punches
40,2020-08-25,3308.0,Punches
41,2020-08-26,3168.0,Punches
42,2020-08-27,2618.0,Punches
43,2020-08-28,2618.0,Punches
44,2020-08-29,2618.0,Punches
45,2020-08-30,2731.0,Punches
46,2020-08-31,2731.0,Punches
47,2020-09-01,1949.0,Punches
48,2020-09-02,1949.0,Punches
49,2020-09-03,2259.0,Punches
50,2020-09-04,2259.0,Punches
51,2020-09-05,2259.0,Punches
52,2020-09-06,2259.0,Punches
53,2020-09-07,4447.0,Punches
54,2020-09-08,3052.0,Punches
55,2020-09-09,1895.0,Punches
56,2020-09-10,1895.0,Punches
57,2020-09-11,1728.0,Punches
58,2020-09-12,1728.0,Punches
59,2020-09-13,1728.0,Punches
60,2020-09-14,2685.0,Punches
61,2020-09-15,2169.0,Punches
62,2020-09-16,2169.0,Punches
63,2020-09-17,2169.0,Punches
64,2020-09-18,1426.0,Punches
65,2020-09-19,1426.0,Punches
66,2020-09-20,2677.0,Punches
67,2020-09-21,2677.0,Punches
68,2020-09-22,2677.0,Punches
69,2020-09-23,3210.0,Punches
70,2020-09-24,3210.0,Punches
71,2020-09-25,2313.0,Punches
72,2020-09-26,2313.0,Punches
73,2020-09-27,3870.0,Punches
74,2020-09-28,4044.0,Punches
75,2020-09-29,4044.0,Punches
76,2020-09-30,2567.0,Punches
77,2020-10-01,2567.0,Punches
78,2020-10-02,3739.0,Punches
79,2020-10-03,3739.0,Punches
80,2020-10-04,4121.0,Punches
81,2020-10-05,4121.0,Punches
82,2020-10-06,4121.0,Punches
83,2020-10-07,3636.0,Punches
84,2020-10-08,3132.0,Punches
85,2020-10-09,4016.0,Punches
86,2020-10-10,4016.0,Punches
87,2020-10-11,4016.0,Punches
88,2020-10-12,7603.0,Punches
89,2020-10-13,7603.0,Punches
90,2020-10-14,7603.0,Punches
91,2020-10-15,2190.0,Punches
92,2020-10-16,1959.0,Punches
93,2020-10-17,3142.0,Punches
94,2020-10-18,3142.0,Punches
95,2020-10-19,3142.0,Punches
96,2020-10-20,3123.0,Punches
97,2020-10-21,3123.0,Punches
98,2020-10-22,3123.0,Punches
99,2020-10-23,2816.0,Punches
100,2020-10-24,2816.0,Punches
101,2020-10-25,3429.0,Punches
102,2020-10-26,3429.0,Punches
103,2020-10-27,6023.0,Punches
104,2020-10-28,6023.0,Punches
105,2020-10-29,6023.0,Punches
106,2020-10-30,3308.0,Punches
107,2020-10-31,3308.0,Punches
108,2020-11-01,4335.0,Punches
109,2020-11-02,4883.0,Punches
110,2020-11-03,4883.0,Punches
111,2020-11-04,3581.0,Punches
112,2020-11-05,3581.0,Punches
113,2020-11-06,3581.0,Punches
114,2020-11-07,3924.0,Punches
115,2020-11-08,3924.0,Punches
116,2020-11-09,3924.0,Punches
117,2020-11-10,4328.0,Punches
118,2020-11-11,5337.0,Punches
119,2020-11-12,5337.0,Punches
120,2020-11-13,5337.0,Punches
121,2020-11-14,5337.0,Punches
122,2020-11-15,5337.0,Punches
123,2020-11-16,5337.0,Punches
124,2020-11-17,5337.0,Punches
125,2020-11-18,3855.0,Punches
126,2020-11-19,3855.0,Punches
127,2020-11-20,3855.0,Punches
128,2020-11-21,3855.0,Punches
129,2020-11-22,3855.0,Punches
130,2020-11-23,10320.0,Punches
131,2020-11-24,10320.0,Punches
132,2020-11-25,10320.0,Punches
133,2020-11-26,10320.0,Punches
134,2020-11-27,5043.0,Punches
135,2020-11-28,5043.0,Punches
136,2020-11-29,5043.0,Punches
137,2020-11-30,3389.0,Punches
138,2020-12-01,3389.0,Punches
139,2020-12-02,3389.0,Punches
