,date,value,name_B089S889BL
0,2020-06-12,12868.0,Aquarium Lights
1,2020-06-13,12868.0,Aquarium Lights
2,2020-06-14,12868.0,Aquarium Lights
3,2020-06-15,20212.0,Aquarium Lights
4,2020-06-16,21205.0,Aquarium Lights
5,2020-06-17,21205.0,Aquarium Lights
6,2020-06-18,21205.0,Aquarium Lights
7,2020-06-19,15456.0,Aquarium Lights
8,2020-06-20,19320.0,Aquarium Lights
9,2020-06-21,30191.0,Aquarium Lights
10,2020-06-22,30191.0,Aquarium Lights
11,2020-06-23,29325.0,Aquarium Lights
12,2020-06-24,29325.0,Aquarium Lights
13,2020-06-25,25214.0,Aquarium Lights
14,2020-06-26,25214.0,Aquarium Lights
15,2020-06-27,25214.0,Aquarium Lights
16,2020-06-28,25214.0,Aquarium Lights
17,2020-06-29,25214.0,Aquarium Lights
18,2020-06-30,25214.0,Aquarium Lights
19,2020-07-01,25214.0,Aquarium Lights
20,2020-07-02,25214.0,Aquarium Lights
21,2020-07-03,10933.0,Aquarium Lights
22,2020-07-04,10933.0,Aquarium Lights
23,2020-07-05,10933.0,Aquarium Lights
24,2020-07-06,10933.0,Aquarium Lights
25,2020-07-07,10933.0,Aquarium Lights
26,2020-07-08,10933.0,Aquarium Lights
27,2020-07-09,15553.0,Aquarium Lights
28,2020-07-10,15553.0,Aquarium Lights
29,2020-07-11,9812.0,Aquarium Lights
30,2020-07-12,7826.0,Aquarium Lights
31,2020-07-13,7826.0,Aquarium Lights
32,2020-07-14,9619.0,Aquarium Lights
33,2020-07-15,10101.0,Aquarium Lights
34,2020-07-16,10101.0,Aquarium Lights
35,2020-07-17,10101.0,Aquarium Lights
36,2020-07-18,15024.0,Aquarium Lights
37,2020-07-19,15024.0,Aquarium Lights
38,2020-07-20,15024.0,Aquarium Lights
39,2020-07-21,15024.0,Aquarium Lights
40,2020-07-22,10534.0,Aquarium Lights
41,2020-07-23,9825.0,Aquarium Lights
42,2020-07-24,9825.0,Aquarium Lights
43,2020-07-25,9825.0,Aquarium Lights
44,2020-07-26,10129.0,Aquarium Lights
45,2020-07-27,10129.0,Aquarium Lights
46,2020-07-28,12878.0,Aquarium Lights
47,2020-07-29,12878.0,Aquarium Lights
48,2020-07-30,10005.0,Aquarium Lights
49,2020-07-31,10080.0,Aquarium Lights
50,2020-08-01,10080.0,Aquarium Lights
51,2020-08-02,10080.0,Aquarium Lights
52,2020-08-03,11340.0,Aquarium Lights
53,2020-08-04,11340.0,Aquarium Lights
54,2020-08-05,11316.0,Aquarium Lights
55,2020-08-06,11316.0,Aquarium Lights
56,2020-08-07,12291.0,Aquarium Lights
57,2020-08-08,12291.0,Aquarium Lights
58,2020-08-09,12291.0,Aquarium Lights
59,2020-08-10,12291.0,Aquarium Lights
60,2020-08-11,12291.0,Aquarium Lights
61,2020-08-12,12291.0,Aquarium Lights
62,2020-08-13,12291.0,Aquarium Lights
63,2020-08-14,14440.0,Aquarium Lights
64,2020-08-15,12869.0,Aquarium Lights
65,2020-08-16,12869.0,Aquarium Lights
66,2020-08-17,16546.0,Aquarium Lights
67,2020-08-18,16546.0,Aquarium Lights
68,2020-08-19,12427.0,Aquarium Lights
69,2020-08-20,11568.0,Aquarium Lights
70,2020-08-21,11568.0,Aquarium Lights
71,2020-08-22,11568.0,Aquarium Lights
72,2020-08-23,12158.0,Aquarium Lights
73,2020-08-24,12158.0,Aquarium Lights
74,2020-08-25,9258.0,Aquarium Lights
75,2020-08-26,9258.0,Aquarium Lights
76,2020-08-27,11677.0,Aquarium Lights
77,2020-08-28,11677.0,Aquarium Lights
78,2020-08-29,11677.0,Aquarium Lights
79,2020-08-30,11677.0,Aquarium Lights
80,2020-08-31,10846.0,Aquarium Lights
81,2020-09-01,10846.0,Aquarium Lights
82,2020-09-02,10846.0,Aquarium Lights
83,2020-09-03,7977.0,Aquarium Lights
84,2020-09-04,11491.0,Aquarium Lights
85,2020-09-05,11491.0,Aquarium Lights
86,2020-09-06,11491.0,Aquarium Lights
87,2020-09-07,12090.0,Aquarium Lights
88,2020-09-08,12090.0,Aquarium Lights
89,2020-09-09,12090.0,Aquarium Lights
90,2020-09-10,14462.0,Aquarium Lights
