,date,value,name_B07R9QMMP6
0,2019-05-06,41923.0,Air Purifier Parts & Accessories
1,2019-05-07,47371.0,Air Purifier Parts & Accessories
2,2019-05-08,35984.0,Air Purifier Parts & Accessories
3,2019-05-09,33477.0,Air Purifier Parts & Accessories
4,2019-05-10,42552.0,Air Purifier Parts & Accessories
5,2019-05-11,38684.0,Air Purifier Parts & Accessories
6,2019-05-12,41417.0,Air Purifier Parts & Accessories
7,2019-05-13,57787.0,Air Purifier Parts & Accessories
8,2019-05-14,58608.0,Air Purifier Parts & Accessories
9,2019-05-15,62102.0,Air Purifier Parts & Accessories
10,2019-05-16,48233.0,Air Purifier Parts & Accessories
11,2019-05-17,41477.0,Air Purifier Parts & Accessories
12,2019-05-18,39718.0,Air Purifier Parts & Accessories
13,2019-05-19,43243.0,Air Purifier Parts & Accessories
14,2019-05-20,36883.0,Air Purifier Parts & Accessories
15,2019-05-21,36460.0,Air Purifier Parts & Accessories
16,2019-05-22,35108.0,Air Purifier Parts & Accessories
17,2019-05-23,43704.0,Air Purifier Parts & Accessories
18,2019-05-24,52982.0,Air Purifier Parts & Accessories
19,2019-05-25,39486.0,Air Purifier Parts & Accessories
20,2019-05-26,34728.0,Air Purifier Parts & Accessories
21,2019-05-27,31233.0,Air Purifier Parts & Accessories
22,2019-05-28,41607.0,Air Purifier Parts & Accessories
23,2019-05-29,38895.0,Air Purifier Parts & Accessories
24,2019-05-30,26353.0,Air Purifier Parts & Accessories
25,2019-05-31,32626.0,Air Purifier Parts & Accessories
26,2019-06-01,25645.0,Air Purifier Parts & Accessories
27,2019-06-02,25645.0,Air Purifier Parts & Accessories
28,2019-06-03,25645.0,Air Purifier Parts & Accessories
29,2019-06-04,33756.0,Air Purifier Parts & Accessories
30,2019-06-05,36718.0,Air Purifier Parts & Accessories
31,2019-06-06,25169.0,Air Purifier Parts & Accessories
32,2019-06-07,25169.0,Air Purifier Parts & Accessories
33,2019-06-08,28866.0,Air Purifier Parts & Accessories
34,2019-06-09,28866.0,Air Purifier Parts & Accessories
35,2019-06-10,28866.0,Air Purifier Parts & Accessories
36,2019-06-11,33582.0,Air Purifier Parts & Accessories
37,2019-06-12,26910.0,Air Purifier Parts & Accessories
38,2019-06-13,24266.0,Air Purifier Parts & Accessories
39,2019-06-14,35225.0,Air Purifier Parts & Accessories
40,2019-06-15,23171.0,Air Purifier Parts & Accessories
41,2019-06-16,23171.0,Air Purifier Parts & Accessories
42,2019-06-17,23171.0,Air Purifier Parts & Accessories
43,2019-06-18,32829.0,Air Purifier Parts & Accessories
44,2019-06-19,39466.0,Air Purifier Parts & Accessories
45,2019-06-20,39466.0,Air Purifier Parts & Accessories
46,2019-06-21,44974.0,Air Purifier Parts & Accessories
47,2019-06-22,44974.0,Air Purifier Parts & Accessories
48,2019-06-23,34442.0,Air Purifier Parts & Accessories
49,2019-06-24,24336.0,Air Purifier Parts & Accessories
50,2019-06-25,39469.0,Air Purifier Parts & Accessories
51,2019-06-26,34832.0,Air Purifier Parts & Accessories
52,2019-06-27,48980.0,Air Purifier Parts & Accessories
53,2019-06-28,48980.0,Air Purifier Parts & Accessories
54,2019-06-29,21441.0,Air Purifier Parts & Accessories
55,2019-06-30,21441.0,Air Purifier Parts & Accessories
56,2019-07-01,21441.0,Air Purifier Parts & Accessories
57,2019-07-02,21441.0,Air Purifier Parts & Accessories
58,2019-07-03,38720.0,Air Purifier Parts & Accessories
59,2019-07-04,29742.0,Air Purifier Parts & Accessories
60,2019-07-05,29742.0,Air Purifier Parts & Accessories
61,2019-07-06,27972.0,Air Purifier Parts & Accessories
62,2019-07-07,34874.0,Air Purifier Parts & Accessories
63,2019-07-08,25929.0,Air Purifier Parts & Accessories
64,2019-07-09,33784.0,Air Purifier Parts & Accessories
65,2019-07-10,33784.0,Air Purifier Parts & Accessories
66,2019-07-11,33784.0,Air Purifier Parts & Accessories
67,2019-07-12,35021.0,Air Purifier Parts & Accessories
68,2019-07-13,35021.0,Air Purifier Parts & Accessories
69,2019-07-14,35021.0,Air Purifier Parts & Accessories
70,2019-07-15,37494.0,Air Purifier Parts & Accessories
71,2019-07-16,30798.0,Air Purifier Parts & Accessories
72,2019-07-17,30798.0,Air Purifier Parts & Accessories
73,2019-07-18,27995.0,Air Purifier Parts & Accessories
74,2019-07-19,32592.0,Air Purifier Parts & Accessories
75,2019-07-20,34010.0,Air Purifier Parts & Accessories
76,2019-07-21,36145.0,Air Purifier Parts & Accessories
77,2019-07-22,36145.0,Air Purifier Parts & Accessories
78,2019-07-23,43003.0,Air Purifier Parts & Accessories
79,2019-07-24,43003.0,Air Purifier Parts & Accessories
80,2019-07-25,60792.0,Air Purifier Parts & Accessories
81,2019-07-26,60792.0,Air Purifier Parts & Accessories
82,2019-07-27,60792.0,Air Purifier Parts & Accessories
83,2019-07-28,26444.0,Air Purifier Parts & Accessories
84,2019-07-29,31389.0,Air Purifier Parts & Accessories
