,date,value,name_B01N3P9W29
0,2020-05-23,5257.0,Rice
1,2020-05-24,5257.0,Rice
2,2020-05-25,4883.0,Rice
3,2020-05-26,4745.0,Rice
4,2020-05-27,4745.0,Rice
5,2020-05-28,4745.0,Rice
6,2020-05-29,5173.0,Rice
7,2020-05-30,5173.0,Rice
8,2020-05-31,5402.0,Rice
9,2020-06-01,5402.0,Rice
10,2020-06-02,4503.0,Rice
11,2020-06-03,4503.0,Rice
12,2020-06-04,5258.0,Rice
13,2020-06-05,5258.0,Rice
14,2020-06-06,5133.0,Rice
15,2020-06-07,5133.0,Rice
16,2020-06-08,4311.0,Rice
17,2020-06-09,4707.0,Rice
18,2020-06-10,4707.0,Rice
19,2020-06-11,5137.0,Rice
20,2020-06-12,5137.0,Rice
21,2020-06-13,5137.0,Rice
22,2020-06-14,5754.0,Rice
23,2020-06-15,4954.0,Rice
24,2020-06-16,4954.0,Rice
25,2020-06-17,4954.0,Rice
26,2020-06-18,5167.0,Rice
27,2020-06-19,5335.0,Rice
28,2020-06-20,6276.0,Rice
29,2020-06-21,6276.0,Rice
30,2020-06-22,5360.0,Rice
31,2020-06-23,5360.0,Rice
32,2020-06-24,5360.0,Rice
33,2020-06-25,4799.0,Rice
34,2020-06-26,4799.0,Rice
35,2020-06-27,4799.0,Rice
36,2020-06-28,5038.0,Rice
37,2020-06-29,5137.0,Rice
38,2020-06-30,5332.0,Rice
39,2020-07-01,5157.0,Rice
40,2020-07-02,5473.0,Rice
41,2020-07-03,5930.0,Rice
42,2020-07-04,5930.0,Rice
43,2020-07-05,5178.0,Rice
44,2020-07-06,5178.0,Rice
45,2020-07-07,5178.0,Rice
46,2020-07-08,4984.0,Rice
47,2020-07-09,4984.0,Rice
48,2020-07-10,5731.0,Rice
49,2020-07-11,5731.0,Rice
50,2020-07-12,5731.0,Rice
51,2020-07-13,6458.0,Rice
52,2020-07-14,6458.0,Rice
53,2020-07-15,6458.0,Rice
54,2020-07-16,4875.0,Rice
55,2020-07-17,5300.0,Rice
56,2020-07-18,5300.0,Rice
57,2020-07-19,5439.0,Rice
58,2020-07-20,5992.0,Rice
59,2020-07-21,5317.0,Rice
60,2020-07-22,5495.0,Rice
61,2020-07-23,5495.0,Rice
62,2020-07-24,5574.0,Rice
63,2020-07-25,6017.0,Rice
64,2020-07-26,5247.0,Rice
65,2020-07-27,4937.0,Rice
66,2020-07-28,4937.0,Rice
67,2020-07-29,5194.0,Rice
68,2020-07-30,5462.0,Rice
69,2020-07-31,5137.0,Rice
70,2020-08-01,5137.0,Rice
71,2020-08-02,5137.0,Rice
72,2020-08-03,6029.0,Rice
73,2020-08-04,5445.0,Rice
74,2020-08-05,5521.0,Rice
75,2020-08-06,5521.0,Rice
76,2020-08-07,5724.0,Rice
77,2020-08-08,5119.0,Rice
78,2020-08-09,5675.0,Rice
79,2020-08-10,5675.0,Rice
80,2020-08-11,4895.0,Rice
81,2020-08-12,4895.0,Rice
82,2020-08-13,5378.0,Rice
83,2020-08-14,5378.0,Rice
84,2020-08-15,5378.0,Rice
85,2020-08-16,5170.0,Rice
86,2020-08-17,4921.0,Rice
87,2020-08-18,4921.0,Rice
88,2020-08-19,4245.0,Rice
89,2020-08-20,4245.0,Rice
90,2020-08-21,4245.0,Rice
91,2020-08-22,4588.0,Rice
92,2020-08-23,5284.0,Rice
93,2020-08-24,5284.0,Rice
94,2020-08-25,5007.0,Rice
95,2020-08-26,5430.0,Rice
96,2020-08-27,5430.0,Rice
97,2020-08-28,5430.0,Rice
98,2020-08-29,5430.0,Rice
99,2020-08-30,5167.0,Rice
100,2020-08-31,5050.0,Rice
101,2020-09-01,5050.0,Rice
102,2020-09-02,5050.0,Rice
103,2020-09-03,5249.0,Rice
104,2020-09-04,4686.0,Rice
105,2020-09-05,4686.0,Rice
106,2020-09-06,4686.0,Rice
107,2020-09-07,5144.0,Rice
108,2020-09-08,5144.0,Rice
109,2020-09-09,5609.0,Rice
