,date,value,name_B093KDX21V
0,2021-05-07,35426.0,Throw Pillow Covers
1,2021-05-08,35426.0,Throw Pillow Covers
2,2021-05-09,35426.0,Throw Pillow Covers
3,2021-05-10,35426.0,Throw Pillow Covers
4,2021-05-11,35426.0,Throw Pillow Covers
5,2021-05-12,45309.0,Throw Pillow Covers
6,2021-05-13,45309.0,Throw Pillow Covers
7,2021-05-14,45309.0,Throw Pillow Covers
8,2021-05-15,31187.0,Throw Pillow Covers
9,2021-05-16,31187.0,Throw Pillow Covers
10,2021-05-17,31187.0,Throw Pillow Covers
11,2021-05-18,31187.0,Throw Pillow Covers
12,2021-05-19,19308.0,Throw Pillow Covers
13,2021-05-20,20016.0,Throw Pillow Covers
14,2021-05-21,20016.0,Throw Pillow Covers
15,2021-05-22,20016.0,Throw Pillow Covers
16,2021-05-23,20016.0,Throw Pillow Covers
17,2021-05-24,10083.0,Throw Pillow Covers
18,2021-05-25,11794.0,Throw Pillow Covers
19,2021-05-26,17409.0,Throw Pillow Covers
20,2021-05-27,16813.0,Throw Pillow Covers
21,2021-05-28,14635.0,Throw Pillow Covers
22,2021-05-29,14635.0,Throw Pillow Covers
23,2021-05-30,14635.0,Throw Pillow Covers
24,2021-05-31,14635.0,Throw Pillow Covers
25,2021-06-01,13315.0,Throw Pillow Covers
26,2021-06-02,15248.0,Throw Pillow Covers
27,2021-06-03,15248.0,Throw Pillow Covers
28,2021-06-04,15248.0,Throw Pillow Covers
29,2021-06-05,17103.0,Throw Pillow Covers
30,2021-06-06,17103.0,Throw Pillow Covers
31,2021-06-07,17103.0,Throw Pillow Covers
32,2021-06-08,19386.0,Throw Pillow Covers
33,2021-06-09,18984.0,Throw Pillow Covers
34,2021-06-10,19872.0,Throw Pillow Covers
35,2021-06-11,19872.0,Throw Pillow Covers
36,2021-06-12,19872.0,Throw Pillow Covers
37,2021-06-13,19872.0,Throw Pillow Covers
38,2021-06-14,19872.0,Throw Pillow Covers
39,2021-06-15,19872.0,Throw Pillow Covers
40,2021-06-16,21675.0,Throw Pillow Covers
41,2021-06-17,21675.0,Throw Pillow Covers
42,2021-06-18,21675.0,Throw Pillow Covers
43,2021-06-19,20425.0,Throw Pillow Covers
44,2021-06-20,20425.0,Throw Pillow Covers
45,2021-06-21,17171.0,Throw Pillow Covers
46,2021-06-22,21854.0,Throw Pillow Covers
47,2021-06-23,21854.0,Throw Pillow Covers
48,2021-06-24,20104.0,Throw Pillow Covers
49,2021-06-25,20104.0,Throw Pillow Covers
50,2021-06-26,20104.0,Throw Pillow Covers
51,2021-06-27,20104.0,Throw Pillow Covers
52,2021-06-28,20104.0,Throw Pillow Covers
53,2021-06-29,21384.0,Throw Pillow Covers
54,2021-06-30,23123.0,Throw Pillow Covers
55,2021-07-01,23639.0,Throw Pillow Covers
56,2021-07-02,18614.0,Throw Pillow Covers
57,2021-07-03,18614.0,Throw Pillow Covers
58,2021-07-04,18614.0,Throw Pillow Covers
59,2021-07-05,25402.0,Throw Pillow Covers
60,2021-07-06,25402.0,Throw Pillow Covers
61,2021-07-07,30386.0,Throw Pillow Covers
62,2021-07-08,30386.0,Throw Pillow Covers
63,2021-07-09,30386.0,Throw Pillow Covers
64,2021-07-10,32627.0,Throw Pillow Covers
