,date,value,name_B09174Z14X
0,2021-04-24,13375.0,Fidget Spinners
1,2021-04-25,13375.0,Fidget Spinners
2,2021-04-26,13375.0,Fidget Spinners
3,2021-04-27,21813.0,Fidget Spinners
4,2021-04-28,29953.0,Fidget Spinners
5,2021-04-29,34515.0,Fidget Spinners
6,2021-04-30,20690.0,Fidget Spinners
7,2021-05-01,18506.0,Fidget Spinners
8,2021-05-02,18506.0,Fidget Spinners
9,2021-05-03,18506.0,Fidget Spinners
10,2021-05-04,18506.0,Fidget Spinners
11,2021-05-05,18506.0,Fidget Spinners
12,2021-05-06,12029.0,Fidget Spinners
13,2021-05-07,12029.0,Fidget Spinners
14,2021-05-08,14640.0,Fidget Spinners
15,2021-05-09,14640.0,Fidget Spinners
16,2021-05-10,11459.0,Fidget Spinners
17,2021-05-11,13819.0,Fidget Spinners
18,2021-05-12,8186.0,Fidget Spinners
19,2021-05-13,9643.0,Fidget Spinners
20,2021-05-14,7550.0,Fidget Spinners
21,2021-05-15,7550.0,Fidget Spinners
22,2021-05-16,9520.0,Fidget Spinners
23,2021-05-17,9520.0,Fidget Spinners
24,2021-05-18,16774.0,Fidget Spinners
25,2021-05-19,38274.0,Fidget Spinners
26,2021-05-20,20710.0,Fidget Spinners
27,2021-05-21,20710.0,Fidget Spinners
28,2021-05-22,20710.0,Fidget Spinners
29,2021-05-23,20710.0,Fidget Spinners
30,2021-05-24,56797.0,Fidget Spinners
31,2021-05-25,56797.0,Fidget Spinners
32,2021-05-26,40149.0,Fidget Spinners
33,2021-05-27,40149.0,Fidget Spinners
34,2021-05-28,40149.0,Fidget Spinners
35,2021-05-29,24353.0,Fidget Spinners
36,2021-05-30,24353.0,Fidget Spinners
37,2021-05-31,24353.0,Fidget Spinners
38,2021-06-01,28128.0,Fidget Spinners
39,2021-06-02,28128.0,Fidget Spinners
40,2021-06-03,16210.0,Fidget Spinners
41,2021-06-04,16210.0,Fidget Spinners
42,2021-06-05,16210.0,Fidget Spinners
43,2021-06-06,16210.0,Fidget Spinners
44,2021-06-07,6281.0,Fidget Spinners
45,2021-06-08,6281.0,Fidget Spinners
46,2021-06-09,5665.0,Fidget Spinners
47,2021-06-10,3070.0,Fidget Spinners
48,2021-06-11,3070.0,Fidget Spinners
49,2021-06-12,3070.0,Fidget Spinners
50,2021-06-13,4647.0,Fidget Spinners
51,2021-06-14,4647.0,Fidget Spinners
52,2021-06-15,4590.0,Fidget Spinners
53,2021-06-16,4590.0,Fidget Spinners
54,2021-06-17,4101.0,Fidget Spinners
55,2021-06-18,5444.0,Fidget Spinners
56,2021-06-19,6060.0,Fidget Spinners
57,2021-06-20,6060.0,Fidget Spinners
58,2021-06-21,6060.0,Fidget Spinners
59,2021-06-22,60480.0,Fidget Spinners
60,2021-06-23,60480.0,Fidget Spinners
61,2021-06-24,60480.0,Fidget Spinners
62,2021-06-25,59225.0,Fidget Spinners
63,2021-06-26,59225.0,Fidget Spinners
64,2021-06-27,59225.0,Fidget Spinners
65,2021-06-28,63840.0,Fidget Spinners
66,2021-06-29,63840.0,Fidget Spinners
67,2021-06-30,54714.0,Fidget Spinners
68,2021-07-01,63347.0,Fidget Spinners
69,2021-07-02,63347.0,Fidget Spinners
70,2021-07-03,63347.0,Fidget Spinners
71,2021-07-04,63347.0,Fidget Spinners
72,2021-07-05,63347.0,Fidget Spinners
73,2021-07-06,63347.0,Fidget Spinners
74,2021-07-07,63347.0,Fidget Spinners
75,2021-07-08,63347.0,Fidget Spinners
76,2021-07-09,126649.0,Fidget Spinners
