,date,value,name_B074VB6QZJ
0,2018-07-11,5496.0,Japanese Tea Ceremony Utensils
1,2018-07-12,7243.0,Japanese Tea Ceremony Utensils
2,2018-07-13,5285.0,Japanese Tea Ceremony Utensils
3,2018-07-14,6066.0,Japanese Tea Ceremony Utensils
4,2018-07-15,6444.0,Japanese Tea Ceremony Utensils
5,2018-07-16,5609.0,Japanese Tea Ceremony Utensils
6,2018-07-17,7500.0,Japanese Tea Ceremony Utensils
7,2018-07-18,7500.0,Japanese Tea Ceremony Utensils
8,2018-07-19,7500.0,Japanese Tea Ceremony Utensils
9,2018-07-20,6063.0,Japanese Tea Ceremony Utensils
10,2018-07-21,6433.0,Japanese Tea Ceremony Utensils
11,2018-07-22,5099.0,Japanese Tea Ceremony Utensils
12,2018-07-23,7102.0,Japanese Tea Ceremony Utensils
13,2018-07-24,7163.0,Japanese Tea Ceremony Utensils
14,2018-07-25,5526.0,Japanese Tea Ceremony Utensils
15,2018-07-26,5526.0,Japanese Tea Ceremony Utensils
16,2018-07-27,5451.0,Japanese Tea Ceremony Utensils
17,2018-07-28,5451.0,Japanese Tea Ceremony Utensils
18,2018-07-29,5451.0,Japanese Tea Ceremony Utensils
19,2018-07-30,6501.0,Japanese Tea Ceremony Utensils
20,2018-07-31,6519.0,Japanese Tea Ceremony Utensils
21,2018-08-01,6519.0,Japanese Tea Ceremony Utensils
22,2018-08-02,6519.0,Japanese Tea Ceremony Utensils
23,2018-08-03,7553.0,Japanese Tea Ceremony Utensils
24,2018-08-04,6940.0,Japanese Tea Ceremony Utensils
25,2018-08-05,6940.0,Japanese Tea Ceremony Utensils
26,2018-08-06,6940.0,Japanese Tea Ceremony Utensils
27,2018-08-07,6940.0,Japanese Tea Ceremony Utensils
28,2018-08-08,6940.0,Japanese Tea Ceremony Utensils
29,2018-08-09,6582.0,Japanese Tea Ceremony Utensils
30,2018-08-10,6382.0,Japanese Tea Ceremony Utensils
31,2018-08-11,9847.0,Japanese Tea Ceremony Utensils
32,2018-08-12,8284.0,Japanese Tea Ceremony Utensils
33,2018-08-13,5030.0,Japanese Tea Ceremony Utensils
34,2018-08-14,5030.0,Japanese Tea Ceremony Utensils
35,2018-08-15,7382.0,Japanese Tea Ceremony Utensils
