,date,value,name_B08XPNPTRN
0,2021-03-22,12283.0,Throw Pillow Covers
1,2021-03-23,12283.0,Throw Pillow Covers
2,2021-03-24,8213.0,Throw Pillow Covers
3,2021-03-25,8983.0,Throw Pillow Covers
4,2021-03-26,7489.0,Throw Pillow Covers
5,2021-03-27,7973.0,Throw Pillow Covers
6,2021-03-28,5824.0,Throw Pillow Covers
7,2021-03-29,4468.0,Throw Pillow Covers
8,2021-03-30,5179.0,Throw Pillow Covers
9,2021-03-31,6486.0,Throw Pillow Covers
10,2021-04-01,7821.0,Throw Pillow Covers
11,2021-04-02,6148.0,Throw Pillow Covers
12,2021-04-03,7492.0,Throw Pillow Covers
13,2021-04-04,7492.0,Throw Pillow Covers
14,2021-04-05,7492.0,Throw Pillow Covers
15,2021-04-06,10665.0,Throw Pillow Covers
16,2021-04-07,11609.0,Throw Pillow Covers
17,2021-04-08,11609.0,Throw Pillow Covers
18,2021-04-09,9515.0,Throw Pillow Covers
19,2021-04-10,11992.0,Throw Pillow Covers
20,2021-04-11,11992.0,Throw Pillow Covers
21,2021-04-12,9470.0,Throw Pillow Covers
22,2021-04-13,11241.0,Throw Pillow Covers
23,2021-04-14,9300.0,Throw Pillow Covers
24,2021-04-15,11769.0,Throw Pillow Covers
25,2021-04-16,11769.0,Throw Pillow Covers
26,2021-04-17,9987.0,Throw Pillow Covers
27,2021-04-18,9987.0,Throw Pillow Covers
28,2021-04-19,10732.0,Throw Pillow Covers
29,2021-04-20,10732.0,Throw Pillow Covers
30,2021-04-21,8589.0,Throw Pillow Covers
31,2021-04-22,11420.0,Throw Pillow Covers
32,2021-04-23,9142.0,Throw Pillow Covers
33,2021-04-24,9142.0,Throw Pillow Covers
34,2021-04-25,7137.0,Throw Pillow Covers
35,2021-04-26,7620.0,Throw Pillow Covers
36,2021-04-27,6417.0,Throw Pillow Covers
37,2021-04-28,6166.0,Throw Pillow Covers
38,2021-04-29,6166.0,Throw Pillow Covers
39,2021-04-30,6043.0,Throw Pillow Covers
40,2021-05-01,7303.0,Throw Pillow Covers
41,2021-05-02,7303.0,Throw Pillow Covers
42,2021-05-03,7267.0,Throw Pillow Covers
43,2021-05-04,7267.0,Throw Pillow Covers
44,2021-05-05,7267.0,Throw Pillow Covers
45,2021-05-06,5963.0,Throw Pillow Covers
46,2021-05-07,6756.0,Throw Pillow Covers
47,2021-05-08,6537.0,Throw Pillow Covers
48,2021-05-09,6089.0,Throw Pillow Covers
49,2021-05-10,5904.0,Throw Pillow Covers
50,2021-05-11,6842.0,Throw Pillow Covers
51,2021-05-12,6759.0,Throw Pillow Covers
52,2021-05-13,7061.0,Throw Pillow Covers
53,2021-05-14,6745.0,Throw Pillow Covers
54,2021-05-15,6745.0,Throw Pillow Covers
55,2021-05-16,5647.0,Throw Pillow Covers
56,2021-05-17,5647.0,Throw Pillow Covers
57,2021-05-18,8271.0,Throw Pillow Covers
58,2021-05-19,8591.0,Throw Pillow Covers
59,2021-05-20,8432.0,Throw Pillow Covers
60,2021-05-21,7992.0,Throw Pillow Covers
61,2021-05-22,6974.0,Throw Pillow Covers
62,2021-05-23,7244.0,Throw Pillow Covers
63,2021-05-24,6123.0,Throw Pillow Covers
64,2021-05-25,7259.0,Throw Pillow Covers
65,2021-05-26,8380.0,Throw Pillow Covers
66,2021-05-27,7958.0,Throw Pillow Covers
67,2021-05-28,8628.0,Throw Pillow Covers
68,2021-05-29,7793.0,Throw Pillow Covers
69,2021-05-30,7793.0,Throw Pillow Covers
70,2021-05-31,10720.0,Throw Pillow Covers
71,2021-06-01,9368.0,Throw Pillow Covers
72,2021-06-02,9368.0,Throw Pillow Covers
73,2021-06-03,10154.0,Throw Pillow Covers
74,2021-06-04,10154.0,Throw Pillow Covers
75,2021-06-05,10363.0,Throw Pillow Covers
76,2021-06-06,10363.0,Throw Pillow Covers
77,2021-06-07,9119.0,Throw Pillow Covers
78,2021-06-08,9041.0,Throw Pillow Covers
79,2021-06-09,9815.0,Throw Pillow Covers
80,2021-06-10,8217.0,Throw Pillow Covers
81,2021-06-11,8217.0,Throw Pillow Covers
82,2021-06-12,8217.0,Throw Pillow Covers
83,2021-06-13,7739.0,Throw Pillow Covers
84,2021-06-14,9100.0,Throw Pillow Covers
85,2021-06-15,7898.0,Throw Pillow Covers
86,2021-06-16,7898.0,Throw Pillow Covers
87,2021-06-17,8539.0,Throw Pillow Covers
88,2021-06-18,8539.0,Throw Pillow Covers
89,2021-06-19,10629.0,Throw Pillow Covers
90,2021-06-20,10629.0,Throw Pillow Covers
91,2021-06-21,7097.0,Throw Pillow Covers
92,2021-06-22,5259.0,Throw Pillow Covers
93,2021-06-23,4757.0,Throw Pillow Covers
94,2021-06-24,5391.0,Throw Pillow Covers
95,2021-06-25,5592.0,Throw Pillow Covers
96,2021-06-26,4600.0,Throw Pillow Covers
97,2021-06-27,4600.0,Throw Pillow Covers
98,2021-06-28,4276.0,Throw Pillow Covers
99,2021-06-29,4276.0,Throw Pillow Covers
100,2021-06-30,5956.0,Throw Pillow Covers
101,2021-07-01,5225.0,Throw Pillow Covers
102,2021-07-02,5225.0,Throw Pillow Covers
103,2021-07-03,5565.0,Throw Pillow Covers
104,2021-07-04,5565.0,Throw Pillow Covers
105,2021-07-05,6492.0,Throw Pillow Covers
106,2021-07-06,6492.0,Throw Pillow Covers
107,2021-07-07,5191.0,Throw Pillow Covers
108,2021-07-08,6257.0,Throw Pillow Covers
109,2021-07-09,5276.0,Throw Pillow Covers
110,2021-07-10,5276.0,Throw Pillow Covers
111,2021-07-11,4418.0,Throw Pillow Covers
