,date,value,name_B08BRNMQYZ
0,2020-07-07,43099.0,Duvet Cover Sets
1,2020-07-08,43099.0,Duvet Cover Sets
2,2020-07-09,43099.0,Duvet Cover Sets
3,2020-07-10,43099.0,Duvet Cover Sets
4,2020-07-11,54661.0,Duvet Cover Sets
5,2020-07-12,54661.0,Duvet Cover Sets
6,2020-07-13,54661.0,Duvet Cover Sets
7,2020-07-14,54661.0,Duvet Cover Sets
8,2020-07-15,54661.0,Duvet Cover Sets
9,2020-07-16,50308.0,Duvet Cover Sets
10,2020-07-17,50308.0,Duvet Cover Sets
11,2020-07-18,50308.0,Duvet Cover Sets
12,2020-07-19,36590.0,Duvet Cover Sets
13,2020-07-20,36590.0,Duvet Cover Sets
14,2020-07-21,36590.0,Duvet Cover Sets
15,2020-07-22,36590.0,Duvet Cover Sets
16,2020-07-23,30535.0,Duvet Cover Sets
17,2020-07-24,30535.0,Duvet Cover Sets
18,2020-07-25,41379.0,Duvet Cover Sets
19,2020-07-26,41379.0,Duvet Cover Sets
20,2020-07-27,36760.0,Duvet Cover Sets
21,2020-07-28,36760.0,Duvet Cover Sets
22,2020-07-29,36760.0,Duvet Cover Sets
23,2020-07-30,36199.0,Duvet Cover Sets
24,2020-07-31,36199.0,Duvet Cover Sets
25,2020-08-01,36199.0,Duvet Cover Sets
26,2020-08-02,36199.0,Duvet Cover Sets
27,2020-08-03,53522.0,Duvet Cover Sets
28,2020-08-04,48280.0,Duvet Cover Sets
29,2020-08-05,48280.0,Duvet Cover Sets
30,2020-08-06,48280.0,Duvet Cover Sets
31,2020-08-07,48280.0,Duvet Cover Sets
32,2020-08-08,25312.0,Duvet Cover Sets
33,2020-08-09,27824.0,Duvet Cover Sets
34,2020-08-10,28319.0,Duvet Cover Sets
35,2020-08-11,28319.0,Duvet Cover Sets
36,2020-08-12,38983.0,Duvet Cover Sets
37,2020-08-13,38983.0,Duvet Cover Sets
38,2020-08-14,38983.0,Duvet Cover Sets
39,2020-08-15,22682.0,Duvet Cover Sets
40,2020-08-16,22682.0,Duvet Cover Sets
41,2020-08-17,22682.0,Duvet Cover Sets
42,2020-08-18,31529.0,Duvet Cover Sets
43,2020-08-19,31529.0,Duvet Cover Sets
44,2020-08-20,31529.0,Duvet Cover Sets
45,2020-08-21,27678.0,Duvet Cover Sets
46,2020-08-22,27678.0,Duvet Cover Sets
47,2020-08-23,27678.0,Duvet Cover Sets
48,2020-08-24,27678.0,Duvet Cover Sets
49,2020-08-25,39514.0,Duvet Cover Sets
50,2020-08-26,39514.0,Duvet Cover Sets
51,2020-08-27,39514.0,Duvet Cover Sets
52,2020-08-28,39514.0,Duvet Cover Sets
53,2020-08-29,23347.0,Duvet Cover Sets
54,2020-08-30,23113.0,Duvet Cover Sets
55,2020-08-31,23113.0,Duvet Cover Sets
56,2020-09-01,23113.0,Duvet Cover Sets
57,2020-09-02,31416.0,Duvet Cover Sets
58,2020-09-03,31416.0,Duvet Cover Sets
59,2020-09-04,31416.0,Duvet Cover Sets
60,2020-09-05,37768.0,Duvet Cover Sets
61,2020-09-06,37768.0,Duvet Cover Sets
62,2020-09-07,37768.0,Duvet Cover Sets
63,2020-09-08,37768.0,Duvet Cover Sets
64,2020-09-09,37768.0,Duvet Cover Sets
65,2020-09-10,35909.0,Duvet Cover Sets
66,2020-09-11,35909.0,Duvet Cover Sets
67,2020-09-12,35909.0,Duvet Cover Sets
68,2020-09-13,35909.0,Duvet Cover Sets
69,2020-09-14,35909.0,Duvet Cover Sets
70,2020-09-15,35909.0,Duvet Cover Sets
71,2020-09-16,35909.0,Duvet Cover Sets
72,2020-09-17,35909.0,Duvet Cover Sets
73,2020-09-18,31129.0,Duvet Cover Sets
74,2020-09-19,31129.0,Duvet Cover Sets
75,2020-09-20,31129.0,Duvet Cover Sets
76,2020-09-21,33629.0,Duvet Cover Sets
77,2020-09-22,33629.0,Duvet Cover Sets
78,2020-09-23,33629.0,Duvet Cover Sets
79,2020-09-24,34047.0,Duvet Cover Sets
80,2020-09-25,28381.0,Duvet Cover Sets
81,2020-09-26,28381.0,Duvet Cover Sets
82,2020-09-27,28381.0,Duvet Cover Sets
83,2020-09-28,25443.0,Duvet Cover Sets
84,2020-09-29,27473.0,Duvet Cover Sets
85,2020-09-30,27473.0,Duvet Cover Sets
86,2020-10-01,27473.0,Duvet Cover Sets
87,2020-10-02,27473.0,Duvet Cover Sets
88,2020-10-03,24225.0,Duvet Cover Sets
89,2020-10-04,25960.0,Duvet Cover Sets
90,2020-10-05,25960.0,Duvet Cover Sets
91,2020-10-06,25960.0,Duvet Cover Sets
92,2020-10-07,25960.0,Duvet Cover Sets
93,2020-10-08,25960.0,Duvet Cover Sets
94,2020-10-09,25960.0,Duvet Cover Sets
95,2020-10-10,25960.0,Duvet Cover Sets
96,2020-10-11,25960.0,Duvet Cover Sets
97,2020-10-12,40798.0,Duvet Cover Sets
98,2020-10-13,40798.0,Duvet Cover Sets
99,2020-10-14,40798.0,Duvet Cover Sets
100,2020-10-15,26495.0,Duvet Cover Sets
101,2020-10-16,26495.0,Duvet Cover Sets
102,2020-10-17,26495.0,Duvet Cover Sets
103,2020-10-18,26495.0,Duvet Cover Sets
104,2020-10-19,26495.0,Duvet Cover Sets
105,2020-10-20,26495.0,Duvet Cover Sets
106,2020-10-21,36025.0,Duvet Cover Sets
107,2020-10-22,37142.0,Duvet Cover Sets
108,2020-10-23,37142.0,Duvet Cover Sets
109,2020-10-24,37142.0,Duvet Cover Sets
110,2020-10-25,37142.0,Duvet Cover Sets
111,2020-10-26,36016.0,Duvet Cover Sets
112,2020-10-27,36016.0,Duvet Cover Sets
113,2020-10-28,36016.0,Duvet Cover Sets
114,2020-10-29,31109.0,Duvet Cover Sets
115,2020-10-30,31109.0,Duvet Cover Sets
116,2020-10-31,21404.0,Duvet Cover Sets
117,2020-11-01,41166.0,Duvet Cover Sets
118,2020-11-02,31607.0,Duvet Cover Sets
119,2020-11-03,31607.0,Duvet Cover Sets
120,2020-11-04,29846.0,Duvet Cover Sets
121,2020-11-05,29846.0,Duvet Cover Sets
122,2020-11-06,29846.0,Duvet Cover Sets
123,2020-11-07,33138.0,Duvet Cover Sets
124,2020-11-08,33138.0,Duvet Cover Sets
125,2020-11-09,33138.0,Duvet Cover Sets
126,2020-11-10,30936.0,Duvet Cover Sets
127,2020-11-11,25927.0,Duvet Cover Sets
128,2020-11-12,25927.0,Duvet Cover Sets
129,2020-11-13,25927.0,Duvet Cover Sets
