,date,value,name_B08NTX2P6P
132,2021-04-03,1430.0,Cloth Face Masks
133,2021-04-04,1430.0,Cloth Face Masks
134,2021-04-05,1346.0,Cloth Face Masks
135,2021-04-06,1346.0,Cloth Face Masks
136,2021-04-07,1291.0,Cloth Face Masks
137,2021-04-08,1291.0,Cloth Face Masks
138,2021-04-09,2018.0,Cloth Face Masks
139,2021-04-10,2018.0,Cloth Face Masks
140,2021-04-11,2018.0,Cloth Face Masks
141,2021-04-12,3030.0,Cloth Face Masks
142,2021-04-13,3172.0,Cloth Face Masks
143,2021-04-14,3172.0,Cloth Face Masks
144,2021-04-15,3172.0,Cloth Face Masks
145,2021-04-16,1629.0,Cloth Face Masks
146,2021-04-17,1629.0,Cloth Face Masks
147,2021-04-18,1052.0,Cloth Face Masks
148,2021-04-19,1052.0,Cloth Face Masks
149,2021-04-20,786.0,Cloth Face Masks
150,2021-04-21,925.0,Cloth Face Masks
151,2021-04-22,925.0,Cloth Face Masks
152,2021-04-23,925.0,Cloth Face Masks
153,2021-04-24,1020.0,Cloth Face Masks
154,2021-04-25,1020.0,Cloth Face Masks
155,2021-04-26,1020.0,Cloth Face Masks
156,2021-04-27,999.0,Cloth Face Masks
157,2021-04-28,999.0,Cloth Face Masks
158,2021-04-29,1459.0,Cloth Face Masks
159,2021-04-30,1459.0,Cloth Face Masks
160,2021-05-01,1459.0,Cloth Face Masks
161,2021-05-02,2255.0,Cloth Face Masks
162,2021-05-03,2255.0,Cloth Face Masks
163,2021-05-04,2405.0,Cloth Face Masks
164,2021-05-05,2405.0,Cloth Face Masks
165,2021-05-06,2724.0,Cloth Face Masks
166,2021-05-07,2724.0,Cloth Face Masks
167,2021-05-08,2724.0,Cloth Face Masks
168,2021-05-09,2405.0,Cloth Face Masks
169,2021-05-10,2405.0,Cloth Face Masks
170,2021-05-11,2649.0,Cloth Face Masks
171,2021-05-12,2634.0,Cloth Face Masks
172,2021-05-13,3384.0,Cloth Face Masks
173,2021-05-14,3384.0,Cloth Face Masks
174,2021-05-15,4821.0,Cloth Face Masks
175,2021-05-16,4821.0,Cloth Face Masks
176,2021-05-17,4821.0,Cloth Face Masks
177,2021-05-18,3903.0,Cloth Face Masks
178,2021-05-19,3820.0,Cloth Face Masks
179,2021-05-20,4673.0,Cloth Face Masks
180,2021-05-21,4784.0,Cloth Face Masks
181,2021-05-22,4784.0,Cloth Face Masks
182,2021-05-23,4784.0,Cloth Face Masks
183,2021-05-24,7256.0,Cloth Face Masks
184,2021-05-25,5533.0,Cloth Face Masks
185,2021-05-26,5533.0,Cloth Face Masks
186,2021-05-27,13356.0,Cloth Face Masks
187,2021-05-28,14488.0,Cloth Face Masks
188,2021-05-29,14488.0,Cloth Face Masks
189,2021-05-30,14488.0,Cloth Face Masks
190,2021-05-31,17093.0,Cloth Face Masks
191,2021-06-01,17093.0,Cloth Face Masks
192,2021-06-02,17093.0,Cloth Face Masks
193,2021-06-03,20300.0,Cloth Face Masks
194,2021-06-04,20300.0,Cloth Face Masks
195,2021-06-05,17283.0,Cloth Face Masks
196,2021-06-06,17283.0,Cloth Face Masks
197,2021-06-07,17283.0,Cloth Face Masks
198,2021-06-08,17283.0,Cloth Face Masks
199,2021-06-09,17283.0,Cloth Face Masks
200,2021-06-10,23945.0,Cloth Face Masks
201,2021-06-11,23945.0,Cloth Face Masks
202,2021-06-12,23945.0,Cloth Face Masks
203,2021-06-13,23945.0,Cloth Face Masks
204,2021-06-14,43219.0,Cloth Face Masks
205,2021-06-15,43219.0,Cloth Face Masks
206,2021-06-16,48546.0,Cloth Face Masks
207,2021-06-17,43352.0,Cloth Face Masks
208,2021-06-18,43352.0,Cloth Face Masks
209,2021-06-19,43352.0,Cloth Face Masks
210,2021-06-20,50613.0,Cloth Face Masks
211,2021-06-21,58606.0,Cloth Face Masks
212,2021-06-22,69685.0,Cloth Face Masks
213,2021-06-23,69685.0,Cloth Face Masks
214,2021-06-24,62684.0,Cloth Face Masks
215,2021-06-25,62684.0,Cloth Face Masks
216,2021-06-26,62684.0,Cloth Face Masks
217,2021-06-27,62684.0,Cloth Face Masks
218,2021-06-28,65241.0,Cloth Face Masks
219,2021-06-29,65241.0,Cloth Face Masks
220,2021-06-30,70801.0,Cloth Face Masks
221,2021-07-01,70801.0,Cloth Face Masks
222,2021-07-02,70801.0,Cloth Face Masks
223,2021-07-03,66196.0,Cloth Face Masks
224,2021-07-04,66196.0,Cloth Face Masks
225,2021-07-05,66196.0,Cloth Face Masks
226,2021-07-06,80466.0,Cloth Face Masks
227,2021-07-07,74188.0,Cloth Face Masks
228,2021-07-08,74188.0,Cloth Face Masks
229,2021-07-09,74188.0,Cloth Face Masks
230,2021-07-10,74188.0,Cloth Face Masks
231,2021-07-11,79446.0,Cloth Face Masks
