,date,value,name_B0936LSCZV
0,2021-04-25,306.0,Herbs
1,2021-04-26,306.0,Herbs
2,2021-04-27,366.0,Herbs
3,2021-04-28,380.0,Herbs
4,2021-04-29,385.0,Herbs
5,2021-04-30,385.0,Herbs
6,2021-05-01,473.0,Herbs
7,2021-05-02,482.0,Herbs
8,2021-05-03,503.0,Herbs
9,2021-05-04,472.0,Herbs
10,2021-05-05,472.0,Herbs
11,2021-05-06,483.0,Herbs
12,2021-05-07,501.0,Herbs
13,2021-05-08,528.0,Herbs
14,2021-05-09,528.0,Herbs
15,2021-05-10,719.0,Herbs
16,2021-05-11,792.0,Herbs
17,2021-05-12,792.0,Herbs
18,2021-05-13,768.0,Herbs
19,2021-05-14,768.0,Herbs
20,2021-05-15,685.0,Herbs
21,2021-05-16,685.0,Herbs
22,2021-05-17,805.0,Herbs
23,2021-05-18,805.0,Herbs
24,2021-05-19,827.0,Herbs
25,2021-05-20,975.0,Herbs
26,2021-05-21,984.0,Herbs
27,2021-05-22,984.0,Herbs
28,2021-05-23,1384.0,Herbs
29,2021-05-24,1289.0,Herbs
30,2021-05-25,1289.0,Herbs
31,2021-05-26,1340.0,Herbs
32,2021-05-27,1340.0,Herbs
33,2021-05-28,1584.0,Herbs
34,2021-05-29,1584.0,Herbs
35,2021-05-30,1198.0,Herbs
36,2021-05-31,1198.0,Herbs
37,2021-06-01,1230.0,Herbs
38,2021-06-02,1008.0,Herbs
39,2021-06-03,1008.0,Herbs
40,2021-06-04,1225.0,Herbs
41,2021-06-05,1225.0,Herbs
42,2021-06-06,1203.0,Herbs
43,2021-06-07,1203.0,Herbs
44,2021-06-08,1433.0,Herbs
45,2021-06-09,1433.0,Herbs
46,2021-06-10,1005.0,Herbs
47,2021-06-11,1005.0,Herbs
48,2021-06-12,1345.0,Herbs
49,2021-06-13,1345.0,Herbs
50,2021-06-14,1292.0,Herbs
51,2021-06-15,1346.0,Herbs
52,2021-06-16,1278.0,Herbs
53,2021-06-17,4843.0,Herbs
54,2021-06-18,3684.0,Herbs
55,2021-06-19,3684.0,Herbs
56,2021-06-20,6244.0,Herbs
57,2021-06-21,7169.0,Herbs
58,2021-06-22,458.0,Herbs
59,2021-06-23,458.0,Herbs
60,2021-06-24,458.0,Herbs
61,2021-06-25,1081.0,Herbs
62,2021-06-26,1081.0,Herbs
63,2021-06-27,1094.0,Herbs
64,2021-06-28,1386.0,Herbs
65,2021-06-29,1256.0,Herbs
66,2021-06-30,1007.0,Herbs
67,2021-07-01,1007.0,Herbs
68,2021-07-02,839.0,Herbs
69,2021-07-03,839.0,Herbs
70,2021-07-04,810.0,Herbs
71,2021-07-05,810.0,Herbs
72,2021-07-06,1174.0,Herbs
73,2021-07-07,1223.0,Herbs
74,2021-07-08,1103.0,Herbs
75,2021-07-09,1294.0,Herbs
76,2021-07-10,1146.0,Herbs
77,2021-07-11,1183.0,Herbs
