,date,value,name_B08ZMR6WND
0,2021-03-26,736.0,Light Boxes
1,2021-03-27,736.0,Light Boxes
2,2021-03-28,736.0,Light Boxes
3,2021-03-29,667.0,Light Boxes
4,2021-03-30,539.0,Light Boxes
5,2021-03-31,712.0,Light Boxes
6,2021-04-01,643.0,Light Boxes
7,2021-04-02,615.0,Light Boxes
8,2021-04-03,615.0,Light Boxes
9,2021-04-04,613.0,Light Boxes
10,2021-04-05,613.0,Light Boxes
11,2021-04-06,613.0,Light Boxes
12,2021-04-07,918.0,Light Boxes
13,2021-04-08,743.0,Light Boxes
14,2021-04-09,743.0,Light Boxes
15,2021-04-10,672.0,Light Boxes
16,2021-04-11,672.0,Light Boxes
17,2021-04-12,731.0,Light Boxes
18,2021-04-13,731.0,Light Boxes
19,2021-04-14,862.0,Light Boxes
20,2021-04-15,613.0,Light Boxes
21,2021-04-16,516.0,Light Boxes
22,2021-04-17,516.0,Light Boxes
23,2021-04-18,553.0,Light Boxes
24,2021-04-19,461.0,Light Boxes
25,2021-04-20,647.0,Light Boxes
26,2021-04-21,573.0,Light Boxes
27,2021-04-22,632.0,Light Boxes
28,2021-04-23,582.0,Light Boxes
29,2021-04-24,497.0,Light Boxes
30,2021-04-25,569.0,Light Boxes
31,2021-04-26,642.0,Light Boxes
32,2021-04-27,736.0,Light Boxes
33,2021-04-28,736.0,Light Boxes
34,2021-04-29,749.0,Light Boxes
35,2021-04-30,749.0,Light Boxes
36,2021-05-01,542.0,Light Boxes
37,2021-05-02,528.0,Light Boxes
38,2021-05-03,528.0,Light Boxes
39,2021-05-04,764.0,Light Boxes
40,2021-05-05,764.0,Light Boxes
41,2021-05-06,764.0,Light Boxes
42,2021-05-07,520.0,Light Boxes
43,2021-05-08,520.0,Light Boxes
44,2021-05-09,442.0,Light Boxes
45,2021-05-10,568.0,Light Boxes
46,2021-05-11,568.0,Light Boxes
47,2021-05-12,672.0,Light Boxes
48,2021-05-13,552.0,Light Boxes
49,2021-05-14,552.0,Light Boxes
50,2021-05-15,749.0,Light Boxes
51,2021-05-16,749.0,Light Boxes
52,2021-05-17,535.0,Light Boxes
53,2021-05-18,805.0,Light Boxes
54,2021-05-19,805.0,Light Boxes
55,2021-05-20,819.0,Light Boxes
56,2021-05-21,964.0,Light Boxes
57,2021-05-22,1047.0,Light Boxes
58,2021-05-23,981.0,Light Boxes
59,2021-05-24,1004.0,Light Boxes
60,2021-05-25,681.0,Light Boxes
61,2021-05-26,681.0,Light Boxes
62,2021-05-27,1047.0,Light Boxes
63,2021-05-28,1047.0,Light Boxes
64,2021-05-29,882.0,Light Boxes
65,2021-05-30,882.0,Light Boxes
66,2021-05-31,806.0,Light Boxes
67,2021-06-01,806.0,Light Boxes
68,2021-06-02,697.0,Light Boxes
69,2021-06-03,586.0,Light Boxes
70,2021-06-04,373.0,Light Boxes
71,2021-06-05,441.0,Light Boxes
72,2021-06-06,441.0,Light Boxes
73,2021-06-07,656.0,Light Boxes
74,2021-06-08,654.0,Light Boxes
75,2021-06-09,1281.0,Light Boxes
76,2021-06-10,1281.0,Light Boxes
77,2021-06-11,882.0,Light Boxes
78,2021-06-12,882.0,Light Boxes
79,2021-06-13,1038.0,Light Boxes
80,2021-06-14,1038.0,Light Boxes
81,2021-06-15,1038.0,Light Boxes
82,2021-06-16,1201.0,Light Boxes
83,2021-06-17,1201.0,Light Boxes
84,2021-06-18,1001.0,Light Boxes
85,2021-06-19,698.0,Light Boxes
86,2021-06-20,648.0,Light Boxes
87,2021-06-21,745.0,Light Boxes
88,2021-06-22,922.0,Light Boxes
89,2021-06-23,1286.0,Light Boxes
90,2021-06-24,1286.0,Light Boxes
91,2021-06-25,1228.0,Light Boxes
92,2021-06-26,1228.0,Light Boxes
93,2021-06-27,805.0,Light Boxes
94,2021-06-28,1085.0,Light Boxes
95,2021-06-29,1119.0,Light Boxes
96,2021-06-30,1051.0,Light Boxes
97,2021-07-01,1223.0,Light Boxes
98,2021-07-02,973.0,Light Boxes
99,2021-07-03,870.0,Light Boxes
100,2021-07-04,714.0,Light Boxes
101,2021-07-05,901.0,Light Boxes
102,2021-07-06,901.0,Light Boxes
103,2021-07-07,557.0,Light Boxes
104,2021-07-08,436.0,Light Boxes
105,2021-07-09,292.0,Light Boxes
106,2021-07-10,292.0,Light Boxes
107,2021-07-11,282.0,Light Boxes
