,date,value,name_B07KB39T3T
0,2020-06-01,20899.0,Milk Thistle
1,2020-06-02,20899.0,Milk Thistle
2,2020-06-03,20899.0,Milk Thistle
3,2020-06-04,22219.0,Milk Thistle
4,2020-06-05,22219.0,Milk Thistle
5,2020-06-06,22219.0,Milk Thistle
6,2020-06-07,22219.0,Milk Thistle
7,2020-06-08,22219.0,Milk Thistle
8,2020-06-09,16323.0,Milk Thistle
9,2020-06-10,16323.0,Milk Thistle
10,2020-06-11,18261.0,Milk Thistle
11,2020-06-12,18261.0,Milk Thistle
12,2020-06-13,18261.0,Milk Thistle
13,2020-06-14,18261.0,Milk Thistle
14,2020-06-15,18261.0,Milk Thistle
15,2020-06-16,13973.0,Milk Thistle
16,2020-06-17,13973.0,Milk Thistle
17,2020-06-18,13973.0,Milk Thistle
18,2020-06-19,20386.0,Milk Thistle
19,2020-06-20,20386.0,Milk Thistle
20,2020-06-21,20386.0,Milk Thistle
21,2020-06-22,20386.0,Milk Thistle
22,2020-06-23,18054.0,Milk Thistle
23,2020-06-24,18054.0,Milk Thistle
24,2020-06-25,18054.0,Milk Thistle
25,2020-06-26,18054.0,Milk Thistle
26,2020-06-27,18054.0,Milk Thistle
27,2020-06-28,18054.0,Milk Thistle
28,2020-06-29,14905.0,Milk Thistle
29,2020-06-30,14905.0,Milk Thistle
30,2020-07-01,14905.0,Milk Thistle
31,2020-07-02,14905.0,Milk Thistle
32,2020-07-03,16891.0,Milk Thistle
33,2020-07-04,19608.0,Milk Thistle
34,2020-07-05,19608.0,Milk Thistle
35,2020-07-06,19608.0,Milk Thistle
36,2020-07-07,19608.0,Milk Thistle
37,2020-07-08,19608.0,Milk Thistle
38,2020-07-09,19608.0,Milk Thistle
39,2020-07-10,19608.0,Milk Thistle
40,2020-07-11,19608.0,Milk Thistle
41,2020-07-12,19608.0,Milk Thistle
42,2020-07-13,16509.0,Milk Thistle
43,2020-07-14,15648.0,Milk Thistle
44,2020-07-15,15648.0,Milk Thistle
45,2020-07-16,15648.0,Milk Thistle
