,date,value,name_B07KX86DZQ
167,2019-05-14,-1.0,Scissors
168,2019-05-15,-1.0,Scissors
169,2019-05-16,-1.0,Scissors
170,2019-05-17,-1.0,Scissors
171,2019-05-18,-1.0,Scissors
172,2019-05-19,-1.0,Scissors
173,2019-05-20,-1.0,Scissors
174,2019-05-21,-1.0,Scissors
175,2019-05-22,-1.0,Scissors
176,2019-05-23,-1.0,Scissors
177,2019-05-24,-1.0,Scissors
178,2019-05-25,-1.0,Scissors
179,2019-05-26,-1.0,Scissors
180,2019-05-27,-1.0,Scissors
181,2019-05-28,-1.0,Scissors
182,2019-05-29,-1.0,Scissors
183,2019-05-30,-1.0,Scissors
184,2019-05-31,-1.0,Scissors
185,2019-06-01,-1.0,Scissors
186,2019-06-02,-1.0,Scissors
187,2019-06-03,-1.0,Scissors
188,2019-06-04,-1.0,Scissors
189,2019-06-05,-1.0,Scissors
190,2019-06-06,-1.0,Scissors
191,2019-06-07,-1.0,Scissors
192,2019-06-08,-1.0,Scissors
193,2019-06-09,-1.0,Scissors
194,2019-06-10,-1.0,Scissors
195,2019-06-11,-1.0,Scissors
196,2019-06-12,-1.0,Scissors
197,2019-06-13,-1.0,Scissors
198,2019-06-14,-1.0,Scissors
199,2019-06-15,-1.0,Scissors
200,2019-06-16,-1.0,Scissors
201,2019-06-17,-1.0,Scissors
202,2019-06-18,-1.0,Scissors
203,2019-06-19,-1.0,Scissors
204,2019-06-20,-1.0,Scissors
205,2019-06-21,-1.0,Scissors
206,2019-06-22,-1.0,Scissors
207,2019-06-23,-1.0,Scissors
208,2019-06-24,-1.0,Scissors
209,2019-06-25,-1.0,Scissors
210,2019-06-26,-1.0,Scissors
211,2019-06-27,-1.0,Scissors
212,2019-06-28,-1.0,Scissors
213,2019-06-29,-1.0,Scissors
214,2019-06-30,-1.0,Scissors
215,2019-07-01,-1.0,Scissors
216,2019-07-02,-1.0,Scissors
217,2019-07-03,-1.0,Scissors
218,2019-07-04,-1.0,Scissors
219,2019-07-05,-1.0,Scissors
220,2019-07-06,-1.0,Scissors
221,2019-07-07,-1.0,Scissors
222,2019-07-08,-1.0,Scissors
223,2019-07-09,-1.0,Scissors
224,2019-07-10,-1.0,Scissors
225,2019-07-11,-1.0,Scissors
226,2019-07-12,-1.0,Scissors
227,2019-07-13,-1.0,Scissors
228,2019-07-14,-1.0,Scissors
229,2019-07-15,-1.0,Scissors
230,2019-07-16,-1.0,Scissors
231,2019-07-17,-1.0,Scissors
232,2019-07-18,-1.0,Scissors
233,2019-07-19,-1.0,Scissors
234,2019-07-20,-1.0,Scissors
235,2019-07-21,-1.0,Scissors
236,2019-07-22,-1.0,Scissors
237,2019-07-23,-1.0,Scissors
238,2019-07-24,-1.0,Scissors
239,2019-07-25,-1.0,Scissors
240,2019-07-26,-1.0,Scissors
241,2019-07-27,-1.0,Scissors
242,2019-07-28,-1.0,Scissors
243,2019-07-29,-1.0,Scissors
244,2019-07-30,-1.0,Scissors
245,2019-07-31,-1.0,Scissors
246,2019-08-01,-1.0,Scissors
247,2019-08-02,-1.0,Scissors
