,date,value,name_B08QZHXWKZ
0,2021-02-05,303540.0,Vitamin C
1,2021-02-06,331024.0,Vitamin C
2,2021-02-07,331024.0,Vitamin C
3,2021-02-08,287176.0,Vitamin C
4,2021-02-09,160777.0,Vitamin C
5,2021-02-10,196689.0,Vitamin C
6,2021-02-11,239222.0,Vitamin C
7,2021-02-12,264742.0,Vitamin C
8,2021-02-13,123499.0,Vitamin C
9,2021-02-14,199584.0,Vitamin C
10,2021-02-15,188168.0,Vitamin C
11,2021-02-16,156341.0,Vitamin C
12,2021-02-17,127423.0,Vitamin C
13,2021-02-18,156091.0,Vitamin C
14,2021-02-19,194652.0,Vitamin C
15,2021-02-20,154312.0,Vitamin C
16,2021-02-21,138892.0,Vitamin C
17,2021-02-22,116834.0,Vitamin C
18,2021-02-23,153620.0,Vitamin C
19,2021-02-24,175286.0,Vitamin C
20,2021-02-25,143239.0,Vitamin C
21,2021-02-26,170246.0,Vitamin C
22,2021-02-27,194642.0,Vitamin C
23,2021-02-28,195245.0,Vitamin C
24,2021-03-01,139861.0,Vitamin C
25,2021-03-02,114852.0,Vitamin C
26,2021-03-03,89912.0,Vitamin C
27,2021-03-04,31193.0,Vitamin C
28,2021-03-05,37948.0,Vitamin C
29,2021-03-06,53372.0,Vitamin C
30,2021-03-07,53372.0,Vitamin C
31,2021-03-08,97897.0,Vitamin C
32,2021-03-09,112079.0,Vitamin C
33,2021-03-10,107989.0,Vitamin C
34,2021-03-11,80666.0,Vitamin C
35,2021-03-12,90888.0,Vitamin C
36,2021-03-13,102362.0,Vitamin C
37,2021-03-14,133977.0,Vitamin C
38,2021-03-15,160973.0,Vitamin C
39,2021-03-16,182609.0,Vitamin C
40,2021-03-17,156375.0,Vitamin C
41,2021-03-18,188552.0,Vitamin C
42,2021-03-19,81151.0,Vitamin C
43,2021-03-20,121102.0,Vitamin C
44,2021-03-21,121102.0,Vitamin C
45,2021-03-22,204736.0,Vitamin C
46,2021-03-23,225827.0,Vitamin C
47,2021-03-24,110823.0,Vitamin C
48,2021-03-25,148702.0,Vitamin C
49,2021-03-26,184160.0,Vitamin C
50,2021-03-27,174378.0,Vitamin C
51,2021-03-28,206010.0,Vitamin C
52,2021-03-29,196799.0,Vitamin C
53,2021-03-30,234360.0,Vitamin C
54,2021-03-31,198530.0,Vitamin C
55,2021-04-01,224400.0,Vitamin C
56,2021-04-02,216209.0,Vitamin C
57,2021-04-03,16902.0,Vitamin C
58,2021-04-04,41040.0,Vitamin C
59,2021-04-05,50950.0,Vitamin C
60,2021-04-06,75481.0,Vitamin C
61,2021-04-07,97618.0,Vitamin C
62,2021-04-08,106404.0,Vitamin C
63,2021-04-09,134797.0,Vitamin C
64,2021-04-10,164913.0,Vitamin C
65,2021-04-11,126789.0,Vitamin C
66,2021-04-12,159153.0,Vitamin C
67,2021-04-13,184704.0,Vitamin C
68,2021-04-14,147960.0,Vitamin C
69,2021-04-15,170921.0,Vitamin C
70,2021-04-16,163447.0,Vitamin C
71,2021-04-17,144643.0,Vitamin C
72,2021-04-18,159900.0,Vitamin C
73,2021-04-19,134603.0,Vitamin C
74,2021-04-20,171958.0,Vitamin C
75,2021-04-21,136437.0,Vitamin C
76,2021-04-22,134993.0,Vitamin C
77,2021-04-23,1247.0,Vitamin C
78,2021-04-24,1024.0,Vitamin C
79,2021-04-25,136334.0,Vitamin C
80,2021-04-26,125594.0,Vitamin C
81,2021-04-27,1244.0,Vitamin C
82,2021-04-28,1214.0,Vitamin C
83,2021-04-29,1230.0,Vitamin C
84,2021-04-30,1197.0,Vitamin C
85,2021-05-01,1220.0,Vitamin C
86,2021-05-02,1193.0,Vitamin C
87,2021-05-03,1327.0,Vitamin C
88,2021-05-04,127727.0,Vitamin C
89,2021-05-05,155048.0,Vitamin C
90,2021-05-06,97969.0,Vitamin C
91,2021-05-07,116247.0,Vitamin C
92,2021-05-08,136882.0,Vitamin C
93,2021-05-09,148598.0,Vitamin C
94,2021-05-10,121682.0,Vitamin C
95,2021-05-11,145073.0,Vitamin C
96,2021-05-12,173766.0,Vitamin C
97,2021-05-13,152742.0,Vitamin C
98,2021-05-14,164167.0,Vitamin C
99,2021-05-15,128088.0,Vitamin C
100,2021-05-16,140980.0,Vitamin C
101,2021-05-17,127105.0,Vitamin C
102,2021-05-18,1354.0,Vitamin C
103,2021-05-19,1420.0,Vitamin C
104,2021-05-20,1519.0,Vitamin C
105,2021-05-21,5135.0,Vitamin C
106,2021-05-22,5956.0,Vitamin C
107,2021-05-23,6068.0,Vitamin C
108,2021-05-24,5347.0,Vitamin C
109,2021-05-25,1277.0,Vitamin C
110,2021-05-26,1217.0,Vitamin C
111,2021-05-27,1261.0,Vitamin C
112,2021-05-28,1352.0,Vitamin C
113,2021-05-29,1289.0,Vitamin C
114,2021-05-30,1304.0,Vitamin C
115,2021-05-31,1290.0,Vitamin C
116,2021-06-01,1320.0,Vitamin C
117,2021-06-02,1394.0,Vitamin C
118,2021-06-03,1457.0,Vitamin C
119,2021-06-04,1434.0,Vitamin C
120,2021-06-05,1531.0,Vitamin C
121,2021-06-06,1593.0,Vitamin C
122,2021-06-07,1617.0,Vitamin C
123,2021-06-08,1592.0,Vitamin C
124,2021-06-09,1631.0,Vitamin C
125,2021-06-10,1559.0,Vitamin C
126,2021-06-11,1447.0,Vitamin C
127,2021-06-12,1492.0,Vitamin C
128,2021-06-13,1607.0,Vitamin C
129,2021-06-14,1493.0,Vitamin C
130,2021-06-15,1634.0,Vitamin C
131,2021-06-16,1655.0,Vitamin C
132,2021-06-17,52541.0,Vitamin C
133,2021-06-18,82869.0,Vitamin C
134,2021-06-19,93224.0,Vitamin C
135,2021-06-20,110977.0,Vitamin C
136,2021-06-21,112493.0,Vitamin C
137,2021-06-22,51825.0,Vitamin C
138,2021-06-23,42410.0,Vitamin C
