,date,value,name_B08X9YR8N1
119,2021-06-29,15179.0,Douches & Enemas
120,2021-06-30,12843.0,Douches & Enemas
121,2021-07-01,12843.0,Douches & Enemas
122,2021-07-02,12843.0,Douches & Enemas
123,2021-07-03,15246.0,Douches & Enemas
124,2021-07-04,15246.0,Douches & Enemas
125,2021-07-05,12581.0,Douches & Enemas
126,2021-07-06,12581.0,Douches & Enemas
127,2021-07-07,10229.0,Douches & Enemas
128,2021-07-08,10229.0,Douches & Enemas
129,2021-07-09,13004.0,Douches & Enemas
130,2021-07-10,12497.0,Douches & Enemas
