,date,value,name_B07MGHRRKW
0,2019-01-15,6051.0,Milk Frothers
1,2019-01-16,4606.0,Milk Frothers
2,2019-01-17,5983.0,Milk Frothers
3,2019-01-18,5540.0,Milk Frothers
4,2019-01-19,5540.0,Milk Frothers
5,2019-01-20,8534.0,Milk Frothers
6,2019-01-21,8927.0,Milk Frothers
7,2019-01-22,5645.0,Milk Frothers
8,2019-01-23,6317.0,Milk Frothers
9,2019-01-24,6395.0,Milk Frothers
10,2019-01-25,7262.0,Milk Frothers
11,2019-01-26,6449.0,Milk Frothers
12,2019-01-27,6449.0,Milk Frothers
13,2019-01-28,8177.0,Milk Frothers
14,2019-01-29,5745.0,Milk Frothers
15,2019-01-30,5313.0,Milk Frothers
16,2019-01-31,5724.0,Milk Frothers
17,2019-02-01,6664.0,Milk Frothers
18,2019-02-02,5527.0,Milk Frothers
19,2019-02-03,5527.0,Milk Frothers
20,2019-02-04,5527.0,Milk Frothers
21,2019-02-05,5323.0,Milk Frothers
22,2019-02-06,4754.0,Milk Frothers
23,2019-02-07,4754.0,Milk Frothers
24,2019-02-08,4754.0,Milk Frothers
25,2019-02-09,4601.0,Milk Frothers
26,2019-02-10,3379.0,Milk Frothers
27,2019-02-11,4889.0,Milk Frothers
28,2019-02-12,4609.0,Milk Frothers
29,2019-02-13,4609.0,Milk Frothers
30,2019-02-14,4566.0,Milk Frothers
31,2019-02-15,4566.0,Milk Frothers
32,2019-02-16,2557.0,Milk Frothers
33,2019-02-17,2557.0,Milk Frothers
34,2019-02-18,3419.0,Milk Frothers
35,2019-02-19,3062.0,Milk Frothers
36,2019-02-20,3062.0,Milk Frothers
37,2019-02-21,3062.0,Milk Frothers
38,2019-02-22,3062.0,Milk Frothers
39,2019-02-23,3977.0,Milk Frothers
40,2019-02-24,3977.0,Milk Frothers
41,2019-02-25,5628.0,Milk Frothers
42,2019-02-26,4767.0,Milk Frothers
43,2019-02-27,5107.0,Milk Frothers
44,2019-02-28,3953.0,Milk Frothers
45,2019-03-01,4697.0,Milk Frothers
46,2019-03-02,4697.0,Milk Frothers
47,2019-03-03,4200.0,Milk Frothers
48,2019-03-04,4658.0,Milk Frothers
49,2019-03-05,3580.0,Milk Frothers
50,2019-03-06,3783.0,Milk Frothers
51,2019-03-07,3792.0,Milk Frothers
52,2019-03-08,3792.0,Milk Frothers
53,2019-03-09,3792.0,Milk Frothers
54,2019-03-10,2833.0,Milk Frothers
55,2019-03-11,3983.0,Milk Frothers
56,2019-03-12,3991.0,Milk Frothers
57,2019-03-13,4070.0,Milk Frothers
58,2019-03-14,4154.0,Milk Frothers
59,2019-03-15,3691.0,Milk Frothers
60,2019-03-16,3373.0,Milk Frothers
61,2019-03-17,4418.0,Milk Frothers
62,2019-03-18,3384.0,Milk Frothers
63,2019-03-19,4803.0,Milk Frothers
64,2019-03-20,4803.0,Milk Frothers
65,2019-03-21,4892.0,Milk Frothers
66,2019-03-22,3406.0,Milk Frothers
67,2019-03-23,4224.0,Milk Frothers
68,2019-03-24,2475.0,Milk Frothers
69,2019-03-25,2475.0,Milk Frothers
70,2019-03-26,2475.0,Milk Frothers
71,2019-03-27,2486.0,Milk Frothers
72,2019-03-28,3630.0,Milk Frothers
73,2019-03-29,2974.0,Milk Frothers
74,2019-03-30,3456.0,Milk Frothers
75,2019-03-31,3825.0,Milk Frothers
76,2019-04-01,3359.0,Milk Frothers
77,2019-04-02,3765.0,Milk Frothers
78,2019-04-03,3079.0,Milk Frothers
79,2019-04-04,3700.0,Milk Frothers
80,2019-04-05,4210.0,Milk Frothers
81,2019-04-06,3724.0,Milk Frothers
82,2019-04-07,3780.0,Milk Frothers
83,2019-04-08,3568.0,Milk Frothers
84,2019-04-09,3230.0,Milk Frothers
85,2019-04-10,4350.0,Milk Frothers
86,2019-04-11,3755.0,Milk Frothers
87,2019-04-12,3549.0,Milk Frothers
88,2019-04-13,3226.0,Milk Frothers
89,2019-04-14,3226.0,Milk Frothers
90,2019-04-15,3751.0,Milk Frothers
91,2019-04-16,5015.0,Milk Frothers
92,2019-04-17,5015.0,Milk Frothers
93,2019-04-18,5015.0,Milk Frothers
94,2019-04-19,4574.0,Milk Frothers
95,2019-04-20,4386.0,Milk Frothers
96,2019-04-21,5860.0,Milk Frothers
97,2019-04-22,2816.0,Milk Frothers
98,2019-04-23,3857.0,Milk Frothers
99,2019-04-24,3857.0,Milk Frothers
100,2019-04-25,3857.0,Milk Frothers
101,2019-04-26,4516.0,Milk Frothers
102,2019-04-27,6923.0,Milk Frothers
103,2019-04-28,8023.0,Milk Frothers
104,2019-04-29,8023.0,Milk Frothers
105,2019-04-30,9557.0,Milk Frothers
106,2019-05-01,14165.0,Milk Frothers
107,2019-05-02,14165.0,Milk Frothers
108,2019-05-03,11756.0,Milk Frothers
109,2019-05-04,11756.0,Milk Frothers
110,2019-05-05,11756.0,Milk Frothers
111,2019-05-06,13433.0,Milk Frothers
112,2019-05-07,13433.0,Milk Frothers
113,2019-05-08,18253.0,Milk Frothers
114,2019-05-09,18253.0,Milk Frothers
115,2019-05-10,11087.0,Milk Frothers
116,2019-05-11,16226.0,Milk Frothers
117,2019-05-12,16226.0,Milk Frothers
118,2019-05-13,19224.0,Milk Frothers
119,2019-05-14,16839.0,Milk Frothers
120,2019-05-15,14758.0,Milk Frothers
121,2019-05-16,16598.0,Milk Frothers
122,2019-05-17,-1.0,Milk Frothers
