,date,value,name_B091F8FZD9
0,2021-04-22,13808.0,Miniatures
1,2021-04-23,13808.0,Miniatures
2,2021-04-24,13808.0,Miniatures
3,2021-04-25,13808.0,Miniatures
4,2021-04-26,21366.0,Miniatures
5,2021-04-27,21366.0,Miniatures
6,2021-04-28,21830.0,Miniatures
7,2021-04-29,24316.0,Miniatures
8,2021-04-30,24316.0,Miniatures
9,2021-05-01,4769.0,Miniatures
10,2021-05-02,3807.0,Miniatures
11,2021-05-03,3807.0,Miniatures
12,2021-05-04,4089.0,Miniatures
13,2021-05-05,4089.0,Miniatures
14,2021-05-06,6025.0,Miniatures
15,2021-05-07,6025.0,Miniatures
16,2021-05-08,6025.0,Miniatures
17,2021-05-09,12720.0,Miniatures
18,2021-05-10,13172.0,Miniatures
19,2021-05-11,13172.0,Miniatures
20,2021-05-12,14715.0,Miniatures
21,2021-05-13,14715.0,Miniatures
22,2021-05-14,14715.0,Miniatures
23,2021-05-15,14715.0,Miniatures
24,2021-05-16,2977.0,Miniatures
25,2021-05-17,2977.0,Miniatures
26,2021-05-18,5810.0,Miniatures
27,2021-05-19,5810.0,Miniatures
28,2021-05-20,5634.0,Miniatures
29,2021-05-21,5634.0,Miniatures
30,2021-05-22,5634.0,Miniatures
31,2021-05-23,14301.0,Miniatures
32,2021-05-24,14301.0,Miniatures
33,2021-05-25,14301.0,Miniatures
34,2021-05-26,9414.0,Miniatures
35,2021-05-27,10815.0,Miniatures
36,2021-05-28,10815.0,Miniatures
37,2021-05-29,10815.0,Miniatures
38,2021-05-30,1513.0,Miniatures
39,2021-05-31,1513.0,Miniatures
40,2021-06-01,2482.0,Miniatures
41,2021-06-02,5513.0,Miniatures
42,2021-06-03,5880.0,Miniatures
43,2021-06-04,5880.0,Miniatures
44,2021-06-05,17096.0,Miniatures
45,2021-06-06,17096.0,Miniatures
46,2021-06-07,17096.0,Miniatures
47,2021-06-08,17096.0,Miniatures
48,2021-06-09,25465.0,Miniatures
49,2021-06-10,30700.0,Miniatures
50,2021-06-11,30700.0,Miniatures
51,2021-06-12,30700.0,Miniatures
52,2021-06-13,30700.0,Miniatures
53,2021-06-14,5923.0,Miniatures
54,2021-06-15,7462.0,Miniatures
55,2021-06-16,14790.0,Miniatures
56,2021-06-17,14790.0,Miniatures
57,2021-06-18,25319.0,Miniatures
58,2021-06-19,25319.0,Miniatures
59,2021-06-20,25319.0,Miniatures
60,2021-06-21,25319.0,Miniatures
61,2021-06-22,103779.0,Miniatures
62,2021-06-23,93754.0,Miniatures
63,2021-06-24,93754.0,Miniatures
64,2021-06-25,93754.0,Miniatures
65,2021-06-26,10728.0,Miniatures
66,2021-06-27,10728.0,Miniatures
67,2021-06-28,6414.0,Miniatures
68,2021-06-29,6529.0,Miniatures
69,2021-06-30,8031.0,Miniatures
70,2021-07-01,8031.0,Miniatures
71,2021-07-02,7081.0,Miniatures
72,2021-07-03,7081.0,Miniatures
73,2021-07-04,7081.0,Miniatures
74,2021-07-05,7081.0,Miniatures
75,2021-07-06,19313.0,Miniatures
76,2021-07-07,3502.0,Miniatures
77,2021-07-08,3702.0,Miniatures
78,2021-07-09,2301.0,Miniatures
