,date,value,name_B08FCMF59L
0,2020-08-09,2261.0,Throw Pillow Covers
1,2020-08-10,2144.0,Throw Pillow Covers
2,2020-08-11,2468.0,Throw Pillow Covers
3,2020-08-12,2106.0,Throw Pillow Covers
4,2020-08-13,2159.0,Throw Pillow Covers
5,2020-08-14,2159.0,Throw Pillow Covers
6,2020-08-15,1318.0,Throw Pillow Covers
7,2020-08-16,1318.0,Throw Pillow Covers
8,2020-08-17,1367.0,Throw Pillow Covers
9,2020-08-18,1145.0,Throw Pillow Covers
10,2020-08-19,1313.0,Throw Pillow Covers
11,2020-08-20,1129.0,Throw Pillow Covers
12,2020-08-21,953.0,Throw Pillow Covers
13,2020-08-22,771.0,Throw Pillow Covers
14,2020-08-23,744.0,Throw Pillow Covers
15,2020-08-24,618.0,Throw Pillow Covers
16,2020-08-25,684.0,Throw Pillow Covers
17,2020-08-26,661.0,Throw Pillow Covers
18,2020-08-27,541.0,Throw Pillow Covers
19,2020-08-28,484.0,Throw Pillow Covers
20,2020-08-29,405.0,Throw Pillow Covers
21,2020-08-30,405.0,Throw Pillow Covers
22,2020-08-31,274.0,Throw Pillow Covers
23,2020-09-01,291.0,Throw Pillow Covers
24,2020-09-02,241.0,Throw Pillow Covers
25,2020-09-03,197.0,Throw Pillow Covers
26,2020-09-04,223.0,Throw Pillow Covers
27,2020-09-05,145.0,Throw Pillow Covers
28,2020-09-06,145.0,Throw Pillow Covers
29,2020-09-07,132.0,Throw Pillow Covers
30,2020-09-08,122.0,Throw Pillow Covers
31,2020-09-09,127.0,Throw Pillow Covers
32,2020-09-10,152.0,Throw Pillow Covers
33,2020-09-11,158.0,Throw Pillow Covers
34,2020-09-12,108.0,Throw Pillow Covers
35,2020-09-13,108.0,Throw Pillow Covers
36,2020-09-14,100.0,Throw Pillow Covers
37,2020-09-15,99.0,Throw Pillow Covers
38,2020-09-16,104.0,Throw Pillow Covers
39,2020-09-17,90.0,Throw Pillow Covers
40,2020-09-18,95.0,Throw Pillow Covers
41,2020-09-19,94.0,Throw Pillow Covers
42,2020-09-20,70.0,Throw Pillow Covers
43,2020-09-21,53.0,Throw Pillow Covers
44,2020-09-22,64.0,Throw Pillow Covers
45,2020-09-23,72.0,Throw Pillow Covers
46,2020-09-24,63.0,Throw Pillow Covers
47,2020-09-25,76.0,Throw Pillow Covers
48,2020-09-26,85.0,Throw Pillow Covers
49,2020-09-27,48.0,Throw Pillow Covers
50,2020-09-28,53.0,Throw Pillow Covers
51,2020-09-29,55.0,Throw Pillow Covers
52,2020-09-30,78.0,Throw Pillow Covers
53,2020-10-01,74.0,Throw Pillow Covers
54,2020-10-02,74.0,Throw Pillow Covers
55,2020-10-03,85.0,Throw Pillow Covers
56,2020-10-04,85.0,Throw Pillow Covers
57,2020-10-05,46.0,Throw Pillow Covers
58,2020-10-06,92.0,Throw Pillow Covers
59,2020-10-07,92.0,Throw Pillow Covers
60,2020-10-08,118.0,Throw Pillow Covers
61,2020-10-09,148.0,Throw Pillow Covers
62,2020-10-10,152.0,Throw Pillow Covers
63,2020-10-11,169.0,Throw Pillow Covers
64,2020-10-12,152.0,Throw Pillow Covers
65,2020-10-13,565.0,Throw Pillow Covers
66,2020-10-14,799.0,Throw Pillow Covers
67,2020-10-15,963.0,Throw Pillow Covers
68,2020-10-16,679.0,Throw Pillow Covers
69,2020-10-17,544.0,Throw Pillow Covers
70,2020-10-18,450.0,Throw Pillow Covers
71,2020-10-19,445.0,Throw Pillow Covers
72,2020-10-20,489.0,Throw Pillow Covers
73,2020-10-21,445.0,Throw Pillow Covers
74,2020-10-22,466.0,Throw Pillow Covers
75,2020-10-23,466.0,Throw Pillow Covers
76,2020-10-24,515.0,Throw Pillow Covers
77,2020-10-25,485.0,Throw Pillow Covers
78,2020-10-26,472.0,Throw Pillow Covers
79,2020-10-27,646.0,Throw Pillow Covers
80,2020-10-28,823.0,Throw Pillow Covers
81,2020-10-29,687.0,Throw Pillow Covers
82,2020-10-30,676.0,Throw Pillow Covers
83,2020-10-31,685.0,Throw Pillow Covers
84,2020-11-01,584.0,Throw Pillow Covers
85,2020-11-02,239.0,Throw Pillow Covers
86,2020-11-03,301.0,Throw Pillow Covers
87,2020-11-04,278.0,Throw Pillow Covers
88,2020-11-05,353.0,Throw Pillow Covers
89,2020-11-06,314.0,Throw Pillow Covers
90,2020-11-07,314.0,Throw Pillow Covers
91,2020-11-08,278.0,Throw Pillow Covers
92,2020-11-09,278.0,Throw Pillow Covers
93,2020-11-10,310.0,Throw Pillow Covers
94,2020-11-11,324.0,Throw Pillow Covers
95,2020-11-12,347.0,Throw Pillow Covers
96,2020-11-13,348.0,Throw Pillow Covers
97,2020-11-14,328.0,Throw Pillow Covers
98,2020-11-15,295.0,Throw Pillow Covers
99,2020-11-16,313.0,Throw Pillow Covers
100,2020-11-17,324.0,Throw Pillow Covers
101,2020-11-18,357.0,Throw Pillow Covers
102,2020-11-19,403.0,Throw Pillow Covers
103,2020-11-20,412.0,Throw Pillow Covers
104,2020-11-21,361.0,Throw Pillow Covers
105,2020-11-22,297.0,Throw Pillow Covers
106,2020-11-23,293.0,Throw Pillow Covers
107,2020-11-24,348.0,Throw Pillow Covers
108,2020-11-25,405.0,Throw Pillow Covers
109,2020-11-26,505.0,Throw Pillow Covers
110,2020-11-27,688.0,Throw Pillow Covers
111,2020-11-28,667.0,Throw Pillow Covers
112,2020-11-29,358.0,Throw Pillow Covers
113,2020-11-30,493.0,Throw Pillow Covers
114,2020-12-01,697.0,Throw Pillow Covers
115,2020-12-02,557.0,Throw Pillow Covers
116,2020-12-03,548.0,Throw Pillow Covers
117,2020-12-04,766.0,Throw Pillow Covers
118,2020-12-05,885.0,Throw Pillow Covers
119,2020-12-06,912.0,Throw Pillow Covers
120,2020-12-07,929.0,Throw Pillow Covers
121,2020-12-08,1324.0,Throw Pillow Covers
122,2020-12-09,1368.0,Throw Pillow Covers
123,2020-12-10,1402.0,Throw Pillow Covers
124,2020-12-11,1839.0,Throw Pillow Covers
125,2020-12-12,2173.0,Throw Pillow Covers
126,2020-12-13,2216.0,Throw Pillow Covers
127,2020-12-14,3015.0,Throw Pillow Covers
128,2020-12-15,2852.0,Throw Pillow Covers
129,2020-12-16,3563.0,Throw Pillow Covers
130,2020-12-17,3889.0,Throw Pillow Covers
131,2020-12-18,4352.0,Throw Pillow Covers
132,2020-12-19,3968.0,Throw Pillow Covers
133,2020-12-20,4069.0,Throw Pillow Covers
134,2020-12-21,5052.0,Throw Pillow Covers
135,2020-12-22,4691.0,Throw Pillow Covers
136,2020-12-23,4591.0,Throw Pillow Covers
137,2020-12-24,4049.0,Throw Pillow Covers
138,2020-12-25,4338.0,Throw Pillow Covers
139,2020-12-26,4378.0,Throw Pillow Covers
140,2020-12-27,2298.0,Throw Pillow Covers
141,2020-12-28,1941.0,Throw Pillow Covers
142,2020-12-29,1792.0,Throw Pillow Covers
143,2020-12-30,1874.0,Throw Pillow Covers
144,2020-12-31,1701.0,Throw Pillow Covers
145,2021-01-01,1544.0,Throw Pillow Covers
146,2021-01-02,1164.0,Throw Pillow Covers
147,2021-01-03,1173.0,Throw Pillow Covers
148,2021-01-04,1241.0,Throw Pillow Covers
149,2021-01-05,1492.0,Throw Pillow Covers
150,2021-01-06,1606.0,Throw Pillow Covers
151,2021-01-07,1667.0,Throw Pillow Covers
152,2021-01-08,1434.0,Throw Pillow Covers
153,2021-01-09,1591.0,Throw Pillow Covers
154,2021-01-10,1591.0,Throw Pillow Covers
155,2021-01-11,1570.0,Throw Pillow Covers
156,2021-01-12,1779.0,Throw Pillow Covers
