,date,value,name_B08C2VZ7FG
0,2020-09-04,49675.0,Self-Watering Stakes
1,2020-09-05,49675.0,Self-Watering Stakes
2,2020-09-06,49675.0,Self-Watering Stakes
3,2020-09-07,32063.0,Self-Watering Stakes
4,2020-09-08,32063.0,Self-Watering Stakes
5,2020-09-09,32063.0,Self-Watering Stakes
6,2020-09-10,14071.0,Self-Watering Stakes
7,2020-09-11,14071.0,Self-Watering Stakes
8,2020-09-12,14071.0,Self-Watering Stakes
9,2020-09-13,14071.0,Self-Watering Stakes
10,2020-09-14,30092.0,Self-Watering Stakes
11,2020-09-15,30092.0,Self-Watering Stakes
12,2020-09-16,30092.0,Self-Watering Stakes
13,2020-09-17,30092.0,Self-Watering Stakes
14,2020-09-18,35874.0,Self-Watering Stakes
15,2020-09-19,35874.0,Self-Watering Stakes
16,2020-09-20,35874.0,Self-Watering Stakes
17,2020-09-21,27162.0,Self-Watering Stakes
18,2020-09-22,27162.0,Self-Watering Stakes
19,2020-09-23,27162.0,Self-Watering Stakes
20,2020-09-24,57044.0,Self-Watering Stakes
21,2020-09-25,57044.0,Self-Watering Stakes
22,2020-09-26,57044.0,Self-Watering Stakes
23,2020-09-27,57044.0,Self-Watering Stakes
24,2020-09-28,57044.0,Self-Watering Stakes
25,2020-09-29,27764.0,Self-Watering Stakes
26,2020-09-30,27764.0,Self-Watering Stakes
27,2020-10-01,27764.0,Self-Watering Stakes
28,2020-10-02,24426.0,Self-Watering Stakes
29,2020-10-03,22747.0,Self-Watering Stakes
30,2020-10-04,22747.0,Self-Watering Stakes
31,2020-10-05,22747.0,Self-Watering Stakes
32,2020-10-06,22747.0,Self-Watering Stakes
33,2020-10-07,22747.0,Self-Watering Stakes
34,2020-10-08,22747.0,Self-Watering Stakes
35,2020-10-09,22747.0,Self-Watering Stakes
36,2020-10-10,22747.0,Self-Watering Stakes
37,2020-10-11,22747.0,Self-Watering Stakes
38,2020-10-12,11477.0,Self-Watering Stakes
39,2020-10-13,11477.0,Self-Watering Stakes
40,2020-10-14,11477.0,Self-Watering Stakes
41,2020-10-15,19603.0,Self-Watering Stakes
42,2020-10-16,19603.0,Self-Watering Stakes
43,2020-10-17,19603.0,Self-Watering Stakes
44,2020-10-18,20576.0,Self-Watering Stakes
45,2020-10-19,20576.0,Self-Watering Stakes
46,2020-10-20,20576.0,Self-Watering Stakes
47,2020-10-21,20576.0,Self-Watering Stakes
48,2020-10-22,20576.0,Self-Watering Stakes
49,2020-10-23,20576.0,Self-Watering Stakes
50,2020-10-24,20576.0,Self-Watering Stakes
51,2020-10-25,15794.0,Self-Watering Stakes
52,2020-10-26,15794.0,Self-Watering Stakes
53,2020-10-27,13460.0,Self-Watering Stakes
54,2020-10-28,13460.0,Self-Watering Stakes
55,2020-10-29,13460.0,Self-Watering Stakes
56,2020-10-30,13394.0,Self-Watering Stakes
57,2020-10-31,13394.0,Self-Watering Stakes
58,2020-11-01,13394.0,Self-Watering Stakes
59,2020-11-02,20604.0,Self-Watering Stakes
60,2020-11-03,20604.0,Self-Watering Stakes
61,2020-11-04,20604.0,Self-Watering Stakes
62,2020-11-05,24669.0,Self-Watering Stakes
63,2020-11-06,24669.0,Self-Watering Stakes
64,2020-11-07,24669.0,Self-Watering Stakes
65,2020-11-08,24669.0,Self-Watering Stakes
66,2020-11-09,17966.0,Self-Watering Stakes
67,2020-11-10,14318.0,Self-Watering Stakes
68,2020-11-11,16728.0,Self-Watering Stakes
69,2020-11-12,13903.0,Self-Watering Stakes
70,2020-11-13,13903.0,Self-Watering Stakes
71,2020-11-14,13903.0,Self-Watering Stakes
72,2020-11-15,13903.0,Self-Watering Stakes
73,2020-11-16,13903.0,Self-Watering Stakes
74,2020-11-17,36454.0,Self-Watering Stakes
75,2020-11-18,36454.0,Self-Watering Stakes
76,2020-11-19,36454.0,Self-Watering Stakes
77,2020-11-20,96293.0,Self-Watering Stakes
78,2020-11-21,96293.0,Self-Watering Stakes
79,2020-11-22,96293.0,Self-Watering Stakes
80,2020-11-23,96293.0,Self-Watering Stakes
81,2020-11-24,119692.0,Self-Watering Stakes
82,2020-11-25,119692.0,Self-Watering Stakes
83,2020-11-26,119692.0,Self-Watering Stakes
84,2020-11-27,119692.0,Self-Watering Stakes
85,2020-11-28,76971.0,Self-Watering Stakes
86,2020-11-29,76971.0,Self-Watering Stakes
87,2020-11-30,76971.0,Self-Watering Stakes
88,2020-12-01,76971.0,Self-Watering Stakes
89,2020-12-02,76971.0,Self-Watering Stakes
90,2020-12-03,76971.0,Self-Watering Stakes
91,2020-12-04,16513.0,Self-Watering Stakes
92,2020-12-05,21236.0,Self-Watering Stakes
93,2020-12-06,21236.0,Self-Watering Stakes
94,2020-12-07,21236.0,Self-Watering Stakes
95,2020-12-08,21236.0,Self-Watering Stakes
96,2020-12-09,21236.0,Self-Watering Stakes
97,2020-12-10,19906.0,Self-Watering Stakes
98,2020-12-11,19906.0,Self-Watering Stakes
99,2020-12-12,19906.0,Self-Watering Stakes
100,2020-12-13,19906.0,Self-Watering Stakes
101,2020-12-14,19906.0,Self-Watering Stakes
102,2020-12-15,19906.0,Self-Watering Stakes
103,2020-12-16,19906.0,Self-Watering Stakes
104,2020-12-17,19906.0,Self-Watering Stakes
105,2020-12-18,12534.0,Self-Watering Stakes
106,2020-12-19,12534.0,Self-Watering Stakes
107,2020-12-20,12534.0,Self-Watering Stakes
108,2020-12-21,5320.0,Self-Watering Stakes
109,2020-12-22,11628.0,Self-Watering Stakes
110,2020-12-23,11628.0,Self-Watering Stakes
111,2020-12-24,11628.0,Self-Watering Stakes
112,2020-12-25,11628.0,Self-Watering Stakes
113,2020-12-26,11628.0,Self-Watering Stakes
114,2020-12-27,11628.0,Self-Watering Stakes
115,2020-12-28,17720.0,Self-Watering Stakes
116,2020-12-29,17720.0,Self-Watering Stakes
117,2020-12-30,17720.0,Self-Watering Stakes
118,2020-12-31,17720.0,Self-Watering Stakes
119,2021-01-01,17720.0,Self-Watering Stakes
120,2021-01-02,17720.0,Self-Watering Stakes
121,2021-01-03,17720.0,Self-Watering Stakes
122,2021-01-04,17720.0,Self-Watering Stakes
123,2021-01-05,17720.0,Self-Watering Stakes
124,2021-01-06,30346.0,Self-Watering Stakes
125,2021-01-07,30346.0,Self-Watering Stakes
