,date,value,name_B07S4P1CQB
0,2019-05-30,450567.0,Beach Towels
1,2019-05-31,628461.0,Beach Towels
2,2019-06-01,765964.0,Beach Towels
3,2019-06-02,898186.0,Beach Towels
4,2019-06-03,1047068.0,Beach Towels
5,2019-06-04,474296.0,Beach Towels
6,2019-06-05,589794.0,Beach Towels
7,2019-06-06,522444.0,Beach Towels
8,2019-06-07,545680.0,Beach Towels
9,2019-06-08,437120.0,Beach Towels
10,2019-06-09,355477.0,Beach Towels
11,2019-06-10,196294.0,Beach Towels
12,2019-06-11,170639.0,Beach Towels
13,2019-06-12,131363.0,Beach Towels
14,2019-06-13,198548.0,Beach Towels
15,2019-06-14,98068.0,Beach Towels
16,2019-06-15,118421.0,Beach Towels
17,2019-06-16,102608.0,Beach Towels
18,2019-06-17,38963.0,Beach Towels
19,2019-06-18,53087.0,Beach Towels
20,2019-06-19,63437.0,Beach Towels
21,2019-06-20,35321.0,Beach Towels
22,2019-06-21,38866.0,Beach Towels
23,2019-06-22,27697.0,Beach Towels
24,2019-06-23,23975.0,Beach Towels
25,2019-06-24,17762.0,Beach Towels
26,2019-06-25,17016.0,Beach Towels
27,2019-06-26,17489.0,Beach Towels
28,2019-06-27,14846.0,Beach Towels
29,2019-06-28,17610.0,Beach Towels
30,2019-06-29,15635.0,Beach Towels
31,2019-06-30,14633.0,Beach Towels
32,2019-07-01,16890.0,Beach Towels
33,2019-07-02,18734.0,Beach Towels
34,2019-07-03,14395.0,Beach Towels
35,2019-07-04,17109.0,Beach Towels
36,2019-07-05,15330.0,Beach Towels
37,2019-07-06,11181.0,Beach Towels
38,2019-07-07,7779.0,Beach Towels
39,2019-07-08,10535.0,Beach Towels
40,2019-07-09,9445.0,Beach Towels
41,2019-07-10,14362.0,Beach Towels
42,2019-07-11,13998.0,Beach Towels
43,2019-07-12,13707.0,Beach Towels
44,2019-07-13,12874.0,Beach Towels
45,2019-07-14,11100.0,Beach Towels
46,2019-07-15,12868.0,Beach Towels
47,2019-07-16,18135.0,Beach Towels
48,2019-07-17,19077.0,Beach Towels
49,2019-07-18,13964.0,Beach Towels
50,2019-07-19,17288.0,Beach Towels
51,2019-07-20,20232.0,Beach Towels
52,2019-07-21,16640.0,Beach Towels
53,2019-07-22,21902.0,Beach Towels
54,2019-07-23,16156.0,Beach Towels
55,2019-07-24,20077.0,Beach Towels
56,2019-07-25,23146.0,Beach Towels
57,2019-07-26,26364.0,Beach Towels
58,2019-07-27,25610.0,Beach Towels
59,2019-07-28,24753.0,Beach Towels
60,2019-07-29,23653.0,Beach Towels
61,2019-07-30,26564.0,Beach Towels
62,2019-07-31,23133.0,Beach Towels
63,2019-08-01,16057.0,Beach Towels
64,2019-08-02,34200.0,Beach Towels
65,2019-08-03,32143.0,Beach Towels
66,2019-08-04,27306.0,Beach Towels
67,2019-08-05,24540.0,Beach Towels
68,2019-08-06,22361.0,Beach Towels
69,2019-08-07,25220.0,Beach Towels
70,2019-08-08,22465.0,Beach Towels
71,2019-08-09,26792.0,Beach Towels
72,2019-08-10,29393.0,Beach Towels
73,2019-08-11,23588.0,Beach Towels
74,2019-08-12,22868.0,Beach Towels
75,2019-08-13,27263.0,Beach Towels
76,2019-08-14,25842.0,Beach Towels
77,2019-08-15,33960.0,Beach Towels
78,2019-08-16,19512.0,Beach Towels
79,2019-08-17,41515.0,Beach Towels
80,2019-08-18,46390.0,Beach Towels
81,2019-08-19,27380.0,Beach Towels
82,2019-08-20,45328.0,Beach Towels
83,2019-08-21,34046.0,Beach Towels
84,2019-08-22,73377.0,Beach Towels
85,2019-08-23,57810.0,Beach Towels
86,2019-08-24,59280.0,Beach Towels
87,2019-08-25,81819.0,Beach Towels
88,2019-08-26,73797.0,Beach Towels
89,2019-08-27,69926.0,Beach Towels
90,2019-08-28,85562.0,Beach Towels
91,2019-08-29,85562.0,Beach Towels
92,2019-08-30,94798.0,Beach Towels
93,2019-08-31,94798.0,Beach Towels
94,2019-09-01,130537.0,Beach Towels
95,2019-09-02,78506.0,Beach Towels
96,2019-09-03,166900.0,Beach Towels
97,2019-09-04,137823.0,Beach Towels
98,2019-09-05,103633.0,Beach Towels
99,2019-09-06,190342.0,Beach Towels
100,2019-09-07,253860.0,Beach Towels
101,2019-09-08,253860.0,Beach Towels
102,2019-09-09,253860.0,Beach Towels
103,2019-09-10,253860.0,Beach Towels
104,2019-09-11,353723.0,Beach Towels
105,2019-09-12,353723.0,Beach Towels
106,2019-09-13,353723.0,Beach Towels
107,2019-09-14,353723.0,Beach Towels
108,2019-09-15,353723.0,Beach Towels
109,2019-09-16,353723.0,Beach Towels
110,2019-09-17,449173.0,Beach Towels
111,2019-09-18,449173.0,Beach Towels
112,2019-09-19,460267.0,Beach Towels
113,2019-09-20,460267.0,Beach Towels
114,2019-09-21,460267.0,Beach Towels
115,2019-09-22,199070.0,Beach Towels
116,2019-09-23,276236.0,Beach Towels
117,2019-09-24,177724.0,Beach Towels
118,2019-09-25,285729.0,Beach Towels
119,2019-09-26,405954.0,Beach Towels
120,2019-09-27,405954.0,Beach Towels
121,2019-09-28,405954.0,Beach Towels
122,2019-09-29,405954.0,Beach Towels
123,2019-09-30,405954.0,Beach Towels
124,2019-10-01,405954.0,Beach Towels
125,2019-10-02,557908.0,Beach Towels
126,2019-10-03,557767.0,Beach Towels
127,2019-10-04,557767.0,Beach Towels
128,2019-10-05,542981.0,Beach Towels
129,2019-10-06,542981.0,Beach Towels
130,2019-10-07,216088.0,Beach Towels
131,2019-10-08,216088.0,Beach Towels
132,2019-10-09,415869.0,Beach Towels
133,2019-10-10,415869.0,Beach Towels
134,2019-10-11,415869.0,Beach Towels
135,2019-10-12,435080.0,Beach Towels
136,2019-10-13,510550.0,Beach Towels
137,2019-10-14,510550.0,Beach Towels
138,2019-10-15,458612.0,Beach Towels
139,2019-10-16,205714.0,Beach Towels
140,2019-10-17,337367.0,Beach Towels
141,2019-10-18,337367.0,Beach Towels
142,2019-10-19,432478.0,Beach Towels
143,2019-10-20,490756.0,Beach Towels
