,date,value,name_B07JJ9J27C
0,2020-05-25,4759.0,Bed Blankets
1,2020-05-26,4759.0,Bed Blankets
2,2020-05-27,4759.0,Bed Blankets
3,2020-05-28,5271.0,Bed Blankets
4,2020-05-29,5271.0,Bed Blankets
5,2020-05-30,6379.0,Bed Blankets
6,2020-05-31,6379.0,Bed Blankets
7,2020-06-01,6379.0,Bed Blankets
8,2020-06-02,6379.0,Bed Blankets
9,2020-06-03,6379.0,Bed Blankets
10,2020-06-04,6379.0,Bed Blankets
11,2020-06-05,7579.0,Bed Blankets
12,2020-06-06,7579.0,Bed Blankets
13,2020-06-07,7579.0,Bed Blankets
14,2020-06-08,7579.0,Bed Blankets
15,2020-06-09,4975.0,Bed Blankets
16,2020-06-10,4611.0,Bed Blankets
17,2020-06-11,4611.0,Bed Blankets
18,2020-06-12,3781.0,Bed Blankets
19,2020-06-13,3781.0,Bed Blankets
20,2020-06-14,5828.0,Bed Blankets
21,2020-06-15,5828.0,Bed Blankets
22,2020-06-16,5828.0,Bed Blankets
23,2020-06-17,6413.0,Bed Blankets
24,2020-06-18,6201.0,Bed Blankets
25,2020-06-19,6201.0,Bed Blankets
26,2020-06-20,6201.0,Bed Blankets
27,2020-06-21,6201.0,Bed Blankets
28,2020-06-22,6201.0,Bed Blankets
29,2020-06-23,6201.0,Bed Blankets
30,2020-06-24,6201.0,Bed Blankets
31,2020-06-25,5722.0,Bed Blankets
32,2020-06-26,5722.0,Bed Blankets
33,2020-06-27,6604.0,Bed Blankets
34,2020-06-28,6718.0,Bed Blankets
35,2020-06-29,6682.0,Bed Blankets
36,2020-06-30,6682.0,Bed Blankets
37,2020-07-01,6682.0,Bed Blankets
38,2020-07-02,6682.0,Bed Blankets
39,2020-07-03,6682.0,Bed Blankets
40,2020-07-04,7882.0,Bed Blankets
41,2020-07-05,7882.0,Bed Blankets
42,2020-07-06,7882.0,Bed Blankets
43,2020-07-07,6568.0,Bed Blankets
44,2020-07-08,4847.0,Bed Blankets
45,2020-07-09,4847.0,Bed Blankets
46,2020-07-10,4847.0,Bed Blankets
47,2020-07-11,6743.0,Bed Blankets
48,2020-07-12,6743.0,Bed Blankets
49,2020-07-13,6034.0,Bed Blankets
50,2020-07-14,6034.0,Bed Blankets
51,2020-07-15,6034.0,Bed Blankets
52,2020-07-16,6034.0,Bed Blankets
53,2020-07-17,3554.0,Bed Blankets
54,2020-07-18,4428.0,Bed Blankets
55,2020-07-19,4088.0,Bed Blankets
56,2020-07-20,3912.0,Bed Blankets
57,2020-07-21,2986.0,Bed Blankets
58,2020-07-22,2986.0,Bed Blankets
59,2020-07-23,2986.0,Bed Blankets
60,2020-07-24,3658.0,Bed Blankets
61,2020-07-25,3658.0,Bed Blankets
62,2020-07-26,3991.0,Bed Blankets
63,2020-07-27,3991.0,Bed Blankets
64,2020-07-28,3991.0,Bed Blankets
65,2020-07-29,2942.0,Bed Blankets
66,2020-07-30,2942.0,Bed Blankets
