,date,value,name_B08R6T3GTP
0,2021-01-01,1413.0,Krill Oils
1,2021-01-02,1585.0,Krill Oils
2,2021-01-03,1585.0,Krill Oils
3,2021-01-04,1585.0,Krill Oils
4,2021-01-05,1213.0,Krill Oils
5,2021-01-06,1061.0,Krill Oils
6,2021-01-07,1061.0,Krill Oils
7,2021-01-08,1027.0,Krill Oils
8,2021-01-09,1027.0,Krill Oils
9,2021-01-10,1180.0,Krill Oils
10,2021-01-11,1180.0,Krill Oils
11,2021-01-12,1180.0,Krill Oils
12,2021-01-13,1459.0,Krill Oils
13,2021-01-14,1448.0,Krill Oils
14,2021-01-15,1448.0,Krill Oils
15,2021-01-16,1287.0,Krill Oils
16,2021-01-17,1261.0,Krill Oils
17,2021-01-18,1261.0,Krill Oils
18,2021-01-19,1469.0,Krill Oils
19,2021-01-20,1425.0,Krill Oils
20,2021-01-21,1425.0,Krill Oils
21,2021-01-22,1425.0,Krill Oils
22,2021-01-23,1480.0,Krill Oils
23,2021-01-24,1480.0,Krill Oils
24,2021-01-25,1455.0,Krill Oils
25,2021-01-26,1455.0,Krill Oils
26,2021-01-27,1616.0,Krill Oils
27,2021-01-28,1606.0,Krill Oils
28,2021-01-29,1606.0,Krill Oils
29,2021-01-30,1606.0,Krill Oils
30,2021-01-31,1535.0,Krill Oils
31,2021-02-01,1535.0,Krill Oils
32,2021-02-02,1199.0,Krill Oils
33,2021-02-03,1199.0,Krill Oils
34,2021-02-04,1199.0,Krill Oils
35,2021-02-05,1500.0,Krill Oils
36,2021-02-06,1500.0,Krill Oils
37,2021-02-07,1437.0,Krill Oils
38,2021-02-08,1437.0,Krill Oils
39,2021-02-09,1437.0,Krill Oils
40,2021-02-10,1404.0,Krill Oils
41,2021-02-11,1596.0,Krill Oils
42,2021-02-12,1596.0,Krill Oils
43,2021-02-13,1213.0,Krill Oils
44,2021-02-14,1213.0,Krill Oils
45,2021-02-15,1213.0,Krill Oils
46,2021-02-16,1161.0,Krill Oils
47,2021-02-17,1184.0,Krill Oils
48,2021-02-18,1184.0,Krill Oils
49,2021-02-19,1217.0,Krill Oils
50,2021-02-20,1511.0,Krill Oils
51,2021-02-21,1511.0,Krill Oils
52,2021-02-22,1511.0,Krill Oils
53,2021-02-23,1498.0,Krill Oils
54,2021-02-24,1498.0,Krill Oils
55,2021-02-25,1498.0,Krill Oils
56,2021-02-26,1504.0,Krill Oils
57,2021-02-27,1376.0,Krill Oils
58,2021-02-28,1376.0,Krill Oils
59,2021-03-01,1263.0,Krill Oils
60,2021-03-02,1350.0,Krill Oils
61,2021-03-03,1454.0,Krill Oils
62,2021-03-04,1454.0,Krill Oils
63,2021-03-05,1507.0,Krill Oils
64,2021-03-06,1507.0,Krill Oils
