,date,value,name_B08XZFKV8X
0,2021-06-11,13931.0,Table Runners
1,2021-06-12,13931.0,Table Runners
2,2021-06-13,11824.0,Table Runners
3,2021-06-14,11824.0,Table Runners
4,2021-06-15,12433.0,Table Runners
5,2021-06-16,12433.0,Table Runners
6,2021-06-17,13830.0,Table Runners
7,2021-06-18,10882.0,Table Runners
8,2021-06-19,8311.0,Table Runners
9,2021-06-20,8311.0,Table Runners
10,2021-06-21,8674.0,Table Runners
11,2021-06-22,7987.0,Table Runners
12,2021-06-23,7674.0,Table Runners
13,2021-06-24,12466.0,Table Runners
14,2021-06-25,12466.0,Table Runners
15,2021-06-26,12466.0,Table Runners
16,2021-06-27,12466.0,Table Runners
17,2021-06-28,13118.0,Table Runners
18,2021-06-29,13118.0,Table Runners
19,2021-06-30,9970.0,Table Runners
20,2021-07-01,10510.0,Table Runners
21,2021-07-02,8025.0,Table Runners
22,2021-07-03,8025.0,Table Runners
23,2021-07-04,8025.0,Table Runners
24,2021-07-05,11370.0,Table Runners
25,2021-07-06,12147.0,Table Runners
26,2021-07-07,8204.0,Table Runners
27,2021-07-08,8204.0,Table Runners
28,2021-07-09,9008.0,Table Runners
