,date,value,name_B0853F2BRQ
0,2020-02-27,27634.0,Sheet & Pillowcase Sets
1,2020-02-28,41885.0,Sheet & Pillowcase Sets
2,2020-02-29,41885.0,Sheet & Pillowcase Sets
3,2020-03-01,41885.0,Sheet & Pillowcase Sets
4,2020-03-02,47123.0,Sheet & Pillowcase Sets
5,2020-03-03,48103.0,Sheet & Pillowcase Sets
6,2020-03-04,48103.0,Sheet & Pillowcase Sets
7,2020-03-05,60839.0,Sheet & Pillowcase Sets
8,2020-03-06,60839.0,Sheet & Pillowcase Sets
9,2020-03-07,60839.0,Sheet & Pillowcase Sets
10,2020-03-08,52745.0,Sheet & Pillowcase Sets
11,2020-03-09,52745.0,Sheet & Pillowcase Sets
12,2020-03-10,52745.0,Sheet & Pillowcase Sets
13,2020-03-11,52745.0,Sheet & Pillowcase Sets
14,2020-03-12,56993.0,Sheet & Pillowcase Sets
15,2020-03-13,56993.0,Sheet & Pillowcase Sets
16,2020-03-14,56993.0,Sheet & Pillowcase Sets
17,2020-03-15,56993.0,Sheet & Pillowcase Sets
18,2020-03-16,56993.0,Sheet & Pillowcase Sets
19,2020-03-17,56993.0,Sheet & Pillowcase Sets
20,2020-03-18,75817.0,Sheet & Pillowcase Sets
21,2020-03-19,75817.0,Sheet & Pillowcase Sets
22,2020-03-20,75817.0,Sheet & Pillowcase Sets
23,2020-03-21,75817.0,Sheet & Pillowcase Sets
24,2020-03-22,75817.0,Sheet & Pillowcase Sets
25,2020-03-23,79283.0,Sheet & Pillowcase Sets
26,2020-03-24,79283.0,Sheet & Pillowcase Sets
27,2020-03-25,79283.0,Sheet & Pillowcase Sets
28,2020-03-26,79283.0,Sheet & Pillowcase Sets
29,2020-03-27,47008.0,Sheet & Pillowcase Sets
30,2020-03-28,47008.0,Sheet & Pillowcase Sets
31,2020-03-29,47008.0,Sheet & Pillowcase Sets
32,2020-03-30,52521.0,Sheet & Pillowcase Sets
33,2020-03-31,52521.0,Sheet & Pillowcase Sets
34,2020-04-01,30493.0,Sheet & Pillowcase Sets
35,2020-04-02,30493.0,Sheet & Pillowcase Sets
36,2020-04-03,34295.0,Sheet & Pillowcase Sets
37,2020-04-04,34295.0,Sheet & Pillowcase Sets
38,2020-04-05,34295.0,Sheet & Pillowcase Sets
39,2020-04-06,34295.0,Sheet & Pillowcase Sets
40,2020-04-07,50145.0,Sheet & Pillowcase Sets
41,2020-04-08,50145.0,Sheet & Pillowcase Sets
42,2020-04-09,50145.0,Sheet & Pillowcase Sets
43,2020-04-10,50145.0,Sheet & Pillowcase Sets
44,2020-04-11,50145.0,Sheet & Pillowcase Sets
45,2020-04-12,42458.0,Sheet & Pillowcase Sets
46,2020-04-13,42458.0,Sheet & Pillowcase Sets
47,2020-04-14,42458.0,Sheet & Pillowcase Sets
48,2020-04-15,42458.0,Sheet & Pillowcase Sets
49,2020-04-16,42458.0,Sheet & Pillowcase Sets
50,2020-04-17,43217.0,Sheet & Pillowcase Sets
51,2020-04-18,43217.0,Sheet & Pillowcase Sets
52,2020-04-19,43217.0,Sheet & Pillowcase Sets
53,2020-04-20,43217.0,Sheet & Pillowcase Sets
54,2020-04-21,43217.0,Sheet & Pillowcase Sets
55,2020-04-22,27675.0,Sheet & Pillowcase Sets
56,2020-04-23,27675.0,Sheet & Pillowcase Sets
57,2020-04-24,37029.0,Sheet & Pillowcase Sets
58,2020-04-25,37029.0,Sheet & Pillowcase Sets
59,2020-04-26,37029.0,Sheet & Pillowcase Sets
60,2020-04-27,37029.0,Sheet & Pillowcase Sets
61,2020-04-28,37029.0,Sheet & Pillowcase Sets
62,2020-04-29,37029.0,Sheet & Pillowcase Sets
63,2020-04-30,26287.0,Sheet & Pillowcase Sets
64,2020-05-01,26287.0,Sheet & Pillowcase Sets
65,2020-05-02,26287.0,Sheet & Pillowcase Sets
66,2020-05-03,49654.0,Sheet & Pillowcase Sets
67,2020-05-04,49654.0,Sheet & Pillowcase Sets
68,2020-05-05,49654.0,Sheet & Pillowcase Sets
