,date,value,name_B07P9RMKT5
0,2020-05-23,6851.0,Treats
1,2020-05-24,6048.0,Treats
2,2020-05-25,4416.0,Treats
3,2020-05-26,3518.0,Treats
4,2020-05-27,4199.0,Treats
5,2020-05-28,3925.0,Treats
6,2020-05-29,3775.0,Treats
7,2020-05-30,3081.0,Treats
8,2020-05-31,2850.0,Treats
9,2020-06-01,2850.0,Treats
10,2020-06-02,3751.0,Treats
11,2020-06-03,3435.0,Treats
12,2020-06-04,2792.0,Treats
13,2020-06-05,3144.0,Treats
14,2020-06-06,3144.0,Treats
15,2020-06-07,3144.0,Treats
16,2020-06-08,4062.0,Treats
17,2020-06-09,5219.0,Treats
18,2020-06-10,4937.0,Treats
19,2020-06-11,5195.0,Treats
20,2020-06-12,5496.0,Treats
21,2020-06-13,5496.0,Treats
22,2020-06-14,5156.0,Treats
23,2020-06-15,4783.0,Treats
24,2020-06-16,4783.0,Treats
25,2020-06-17,3572.0,Treats
26,2020-06-18,3852.0,Treats
27,2020-06-19,3852.0,Treats
28,2020-06-20,5115.0,Treats
29,2020-06-21,5237.0,Treats
30,2020-06-22,4351.0,Treats
31,2020-06-23,4453.0,Treats
32,2020-06-24,4453.0,Treats
33,2020-06-25,5194.0,Treats
34,2020-06-26,5194.0,Treats
35,2020-06-27,5683.0,Treats
36,2020-06-28,5364.0,Treats
37,2020-06-29,5364.0,Treats
38,2020-06-30,6724.0,Treats
39,2020-07-01,6324.0,Treats
40,2020-07-02,6324.0,Treats
41,2020-07-03,4064.0,Treats
42,2020-07-04,4117.0,Treats
43,2020-07-05,4117.0,Treats
44,2020-07-06,4117.0,Treats
45,2020-07-07,3895.0,Treats
46,2020-07-08,3578.0,Treats
47,2020-07-09,3567.0,Treats
48,2020-07-10,3639.0,Treats
49,2020-07-11,3639.0,Treats
50,2020-07-12,3116.0,Treats
51,2020-07-13,2763.0,Treats
52,2020-07-14,3421.0,Treats
53,2020-07-15,3320.0,Treats
54,2020-07-16,3320.0,Treats
55,2020-07-17,3372.0,Treats
