,date,value,name_B084P3JZ6T
0,2020-06-21,6281.0,Permanent Markers
1,2020-06-22,6281.0,Permanent Markers
2,2020-06-23,6281.0,Permanent Markers
3,2020-06-24,4191.0,Permanent Markers
4,2020-06-25,4191.0,Permanent Markers
5,2020-06-26,4122.0,Permanent Markers
6,2020-06-27,4122.0,Permanent Markers
7,2020-06-28,4122.0,Permanent Markers
8,2020-06-29,4122.0,Permanent Markers
9,2020-06-30,3710.0,Permanent Markers
10,2020-07-01,4340.0,Permanent Markers
11,2020-07-02,3491.0,Permanent Markers
12,2020-07-03,3491.0,Permanent Markers
13,2020-07-04,3491.0,Permanent Markers
14,2020-07-05,3491.0,Permanent Markers
15,2020-07-06,4412.0,Permanent Markers
16,2020-07-07,4816.0,Permanent Markers
17,2020-07-08,4816.0,Permanent Markers
18,2020-07-09,4816.0,Permanent Markers
19,2020-07-10,4816.0,Permanent Markers
20,2020-07-11,3927.0,Permanent Markers
21,2020-07-12,3927.0,Permanent Markers
22,2020-07-13,3927.0,Permanent Markers
23,2020-07-14,4938.0,Permanent Markers
24,2020-07-15,3730.0,Permanent Markers
25,2020-07-16,3730.0,Permanent Markers
26,2020-07-17,3730.0,Permanent Markers
27,2020-07-18,3920.0,Permanent Markers
28,2020-07-19,3920.0,Permanent Markers
29,2020-07-20,3920.0,Permanent Markers
30,2020-07-21,4345.0,Permanent Markers
31,2020-07-22,4345.0,Permanent Markers
32,2020-07-23,4345.0,Permanent Markers
33,2020-07-24,3326.0,Permanent Markers
34,2020-07-25,3326.0,Permanent Markers
35,2020-07-26,3326.0,Permanent Markers
36,2020-07-27,5238.0,Permanent Markers
37,2020-07-28,5671.0,Permanent Markers
38,2020-07-29,5671.0,Permanent Markers
39,2020-07-30,5671.0,Permanent Markers
40,2020-07-31,5671.0,Permanent Markers
41,2020-08-01,5671.0,Permanent Markers
42,2020-08-02,5671.0,Permanent Markers
43,2020-08-03,5119.0,Permanent Markers
44,2020-08-04,5119.0,Permanent Markers
45,2020-08-05,5119.0,Permanent Markers
46,2020-08-06,5119.0,Permanent Markers
47,2020-08-07,5119.0,Permanent Markers
48,2020-08-08,5119.0,Permanent Markers
49,2020-08-09,5119.0,Permanent Markers
50,2020-08-10,5897.0,Permanent Markers
51,2020-08-11,5897.0,Permanent Markers
52,2020-08-12,5897.0,Permanent Markers
53,2020-08-13,4776.0,Permanent Markers
54,2020-08-14,4776.0,Permanent Markers
55,2020-08-15,4776.0,Permanent Markers
56,2020-08-16,6096.0,Permanent Markers
57,2020-08-17,6096.0,Permanent Markers
58,2020-08-18,6096.0,Permanent Markers
59,2020-08-19,6853.0,Permanent Markers
60,2020-08-20,6401.0,Permanent Markers
61,2020-08-21,6401.0,Permanent Markers
62,2020-08-22,6401.0,Permanent Markers
63,2020-08-23,6401.0,Permanent Markers
64,2020-08-24,6401.0,Permanent Markers
65,2020-08-25,4975.0,Permanent Markers
66,2020-08-26,2196.0,Permanent Markers
67,2020-08-27,2196.0,Permanent Markers
68,2020-08-28,2196.0,Permanent Markers
69,2020-08-29,2582.0,Permanent Markers
70,2020-08-30,2582.0,Permanent Markers
71,2020-08-31,4482.0,Permanent Markers
72,2020-09-01,4482.0,Permanent Markers
73,2020-09-02,4482.0,Permanent Markers
74,2020-09-03,4482.0,Permanent Markers
75,2020-09-04,4907.0,Permanent Markers
76,2020-09-05,5239.0,Permanent Markers
77,2020-09-06,6550.0,Permanent Markers
78,2020-09-07,6550.0,Permanent Markers
79,2020-09-08,6550.0,Permanent Markers
80,2020-09-09,5889.0,Permanent Markers
81,2020-09-10,5889.0,Permanent Markers
82,2020-09-11,5889.0,Permanent Markers
83,2020-09-12,4665.0,Permanent Markers
84,2020-09-13,4665.0,Permanent Markers
85,2020-09-14,5689.0,Permanent Markers
86,2020-09-15,5689.0,Permanent Markers
87,2020-09-16,5689.0,Permanent Markers
88,2020-09-17,5689.0,Permanent Markers
89,2020-09-18,5689.0,Permanent Markers
90,2020-09-19,3769.0,Permanent Markers
91,2020-09-20,3769.0,Permanent Markers
92,2020-09-21,3769.0,Permanent Markers
93,2020-09-22,4724.0,Permanent Markers
94,2020-09-23,4724.0,Permanent Markers
95,2020-09-24,4724.0,Permanent Markers
96,2020-09-25,3199.0,Permanent Markers
97,2020-09-26,3930.0,Permanent Markers
98,2020-09-27,5083.0,Permanent Markers
99,2020-09-28,5083.0,Permanent Markers
100,2020-09-29,5044.0,Permanent Markers
101,2020-09-30,5044.0,Permanent Markers
102,2020-10-01,5044.0,Permanent Markers
103,2020-10-02,3583.0,Permanent Markers
104,2020-10-03,3583.0,Permanent Markers
105,2020-10-04,3515.0,Permanent Markers
106,2020-10-05,3515.0,Permanent Markers
107,2020-10-06,3515.0,Permanent Markers
108,2020-10-07,4525.0,Permanent Markers
109,2020-10-08,4525.0,Permanent Markers
110,2020-10-09,4525.0,Permanent Markers
111,2020-10-10,5400.0,Permanent Markers
112,2020-10-11,5400.0,Permanent Markers
113,2020-10-12,5400.0,Permanent Markers
114,2020-10-13,6919.0,Permanent Markers
