,date,value,name_B07L5XVTHD
0,2020-07-04,9747.0,Dry Erase & Wet Erase Markers
1,2020-07-05,9747.0,Dry Erase & Wet Erase Markers
2,2020-07-06,10078.0,Dry Erase & Wet Erase Markers
3,2020-07-07,10078.0,Dry Erase & Wet Erase Markers
4,2020-07-08,10078.0,Dry Erase & Wet Erase Markers
5,2020-07-09,13389.0,Dry Erase & Wet Erase Markers
6,2020-07-10,13389.0,Dry Erase & Wet Erase Markers
7,2020-07-11,13389.0,Dry Erase & Wet Erase Markers
8,2020-07-12,14257.0,Dry Erase & Wet Erase Markers
9,2020-07-13,14257.0,Dry Erase & Wet Erase Markers
10,2020-07-14,14257.0,Dry Erase & Wet Erase Markers
11,2020-07-15,14257.0,Dry Erase & Wet Erase Markers
12,2020-07-16,12115.0,Dry Erase & Wet Erase Markers
13,2020-07-17,12115.0,Dry Erase & Wet Erase Markers
14,2020-07-18,12115.0,Dry Erase & Wet Erase Markers
15,2020-07-19,12115.0,Dry Erase & Wet Erase Markers
16,2020-07-20,15812.0,Dry Erase & Wet Erase Markers
17,2020-07-21,15812.0,Dry Erase & Wet Erase Markers
18,2020-07-22,15812.0,Dry Erase & Wet Erase Markers
19,2020-07-23,15812.0,Dry Erase & Wet Erase Markers
20,2020-07-24,10149.0,Dry Erase & Wet Erase Markers
21,2020-07-25,10149.0,Dry Erase & Wet Erase Markers
22,2020-07-26,10149.0,Dry Erase & Wet Erase Markers
23,2020-07-27,10149.0,Dry Erase & Wet Erase Markers
24,2020-07-28,7702.0,Dry Erase & Wet Erase Markers
25,2020-07-29,7702.0,Dry Erase & Wet Erase Markers
26,2020-07-30,7702.0,Dry Erase & Wet Erase Markers
27,2020-07-31,7702.0,Dry Erase & Wet Erase Markers
28,2020-08-01,2931.0,Dry Erase & Wet Erase Markers
29,2020-08-02,2931.0,Dry Erase & Wet Erase Markers
30,2020-08-03,2931.0,Dry Erase & Wet Erase Markers
31,2020-08-04,3127.0,Dry Erase & Wet Erase Markers
32,2020-08-05,2491.0,Dry Erase & Wet Erase Markers
33,2020-08-06,2326.0,Dry Erase & Wet Erase Markers
34,2020-08-07,2326.0,Dry Erase & Wet Erase Markers
35,2020-08-08,2326.0,Dry Erase & Wet Erase Markers
36,2020-08-09,2326.0,Dry Erase & Wet Erase Markers
37,2020-08-10,10561.0,Dry Erase & Wet Erase Markers
38,2020-08-11,10561.0,Dry Erase & Wet Erase Markers
39,2020-08-12,10561.0,Dry Erase & Wet Erase Markers
40,2020-08-13,33098.0,Dry Erase & Wet Erase Markers
41,2020-08-14,33098.0,Dry Erase & Wet Erase Markers
42,2020-08-15,33098.0,Dry Erase & Wet Erase Markers
43,2020-08-16,40709.0,Dry Erase & Wet Erase Markers
44,2020-08-17,40709.0,Dry Erase & Wet Erase Markers
45,2020-08-18,50564.0,Dry Erase & Wet Erase Markers
46,2020-08-19,50564.0,Dry Erase & Wet Erase Markers
47,2020-08-20,55477.0,Dry Erase & Wet Erase Markers
48,2020-08-21,55477.0,Dry Erase & Wet Erase Markers
49,2020-08-22,55477.0,Dry Erase & Wet Erase Markers
50,2020-08-23,55477.0,Dry Erase & Wet Erase Markers
51,2020-08-24,25414.0,Dry Erase & Wet Erase Markers
52,2020-08-25,25414.0,Dry Erase & Wet Erase Markers
53,2020-08-26,25414.0,Dry Erase & Wet Erase Markers
54,2020-08-27,25414.0,Dry Erase & Wet Erase Markers
55,2020-08-28,11635.0,Dry Erase & Wet Erase Markers
56,2020-08-29,11635.0,Dry Erase & Wet Erase Markers
57,2020-08-30,11635.0,Dry Erase & Wet Erase Markers
58,2020-08-31,11635.0,Dry Erase & Wet Erase Markers
59,2020-09-01,11635.0,Dry Erase & Wet Erase Markers
60,2020-09-02,11635.0,Dry Erase & Wet Erase Markers
61,2020-09-03,6534.0,Dry Erase & Wet Erase Markers
62,2020-09-04,6534.0,Dry Erase & Wet Erase Markers
63,2020-09-05,6534.0,Dry Erase & Wet Erase Markers
64,2020-09-06,4345.0,Dry Erase & Wet Erase Markers
65,2020-09-07,4345.0,Dry Erase & Wet Erase Markers
66,2020-09-08,2130.0,Dry Erase & Wet Erase Markers
67,2020-09-09,2130.0,Dry Erase & Wet Erase Markers
68,2020-09-10,2130.0,Dry Erase & Wet Erase Markers
69,2020-09-11,2130.0,Dry Erase & Wet Erase Markers
70,2020-09-12,10904.0,Dry Erase & Wet Erase Markers
71,2020-09-13,10904.0,Dry Erase & Wet Erase Markers
72,2020-09-14,10904.0,Dry Erase & Wet Erase Markers
73,2020-09-15,17185.0,Dry Erase & Wet Erase Markers
74,2020-09-16,17185.0,Dry Erase & Wet Erase Markers
75,2020-09-17,17185.0,Dry Erase & Wet Erase Markers
76,2020-09-18,17185.0,Dry Erase & Wet Erase Markers
77,2020-09-19,28010.0,Dry Erase & Wet Erase Markers
78,2020-09-20,28010.0,Dry Erase & Wet Erase Markers
79,2020-09-21,37689.0,Dry Erase & Wet Erase Markers
80,2020-09-22,37689.0,Dry Erase & Wet Erase Markers
81,2020-09-23,37689.0,Dry Erase & Wet Erase Markers
82,2020-09-24,13705.0,Dry Erase & Wet Erase Markers
83,2020-09-25,13705.0,Dry Erase & Wet Erase Markers
84,2020-09-26,13705.0,Dry Erase & Wet Erase Markers
85,2020-09-27,13705.0,Dry Erase & Wet Erase Markers
86,2020-09-28,13705.0,Dry Erase & Wet Erase Markers
87,2020-09-29,18078.0,Dry Erase & Wet Erase Markers
88,2020-09-30,18078.0,Dry Erase & Wet Erase Markers
89,2020-10-01,18078.0,Dry Erase & Wet Erase Markers
90,2020-10-02,18078.0,Dry Erase & Wet Erase Markers
91,2020-10-03,18078.0,Dry Erase & Wet Erase Markers
92,2020-10-04,18078.0,Dry Erase & Wet Erase Markers
93,2020-10-05,50409.0,Dry Erase & Wet Erase Markers
94,2020-10-06,50409.0,Dry Erase & Wet Erase Markers
95,2020-10-07,50409.0,Dry Erase & Wet Erase Markers
96,2020-10-08,50409.0,Dry Erase & Wet Erase Markers
97,2020-10-09,50409.0,Dry Erase & Wet Erase Markers
98,2020-10-10,50409.0,Dry Erase & Wet Erase Markers
99,2020-10-11,50409.0,Dry Erase & Wet Erase Markers
100,2020-10-12,50409.0,Dry Erase & Wet Erase Markers
101,2020-10-13,43989.0,Dry Erase & Wet Erase Markers
102,2020-10-14,43989.0,Dry Erase & Wet Erase Markers
103,2020-10-15,43989.0,Dry Erase & Wet Erase Markers
