,date,value,name_B07QZYH2BR
0,2020-05-27,1409.0,Stretch Film
1,2020-05-28,1451.0,Stretch Film
2,2020-05-29,1451.0,Stretch Film
3,2020-05-30,1451.0,Stretch Film
4,2020-05-31,1451.0,Stretch Film
5,2020-06-01,1451.0,Stretch Film
6,2020-06-02,1498.0,Stretch Film
7,2020-06-03,1498.0,Stretch Film
8,2020-06-04,1866.0,Stretch Film
9,2020-06-05,1658.0,Stretch Film
10,2020-06-06,1658.0,Stretch Film
11,2020-06-07,1658.0,Stretch Film
12,2020-06-08,1266.0,Stretch Film
13,2020-06-09,1551.0,Stretch Film
14,2020-06-10,1531.0,Stretch Film
15,2020-06-11,1531.0,Stretch Film
16,2020-06-12,1404.0,Stretch Film
17,2020-06-13,1404.0,Stretch Film
18,2020-06-14,2705.0,Stretch Film
19,2020-06-15,1913.0,Stretch Film
20,2020-06-16,1913.0,Stretch Film
21,2020-06-17,1913.0,Stretch Film
22,2020-06-18,1913.0,Stretch Film
23,2020-06-19,1913.0,Stretch Film
24,2020-06-20,1252.0,Stretch Film
25,2020-06-21,1370.0,Stretch Film
26,2020-06-22,1370.0,Stretch Film
27,2020-06-23,1370.0,Stretch Film
28,2020-06-24,1151.0,Stretch Film
29,2020-06-25,1151.0,Stretch Film
30,2020-06-26,1151.0,Stretch Film
31,2020-06-27,1151.0,Stretch Film
32,2020-06-28,1279.0,Stretch Film
33,2020-06-29,1283.0,Stretch Film
34,2020-06-30,1283.0,Stretch Film
35,2020-07-01,1793.0,Stretch Film
36,2020-07-02,2457.0,Stretch Film
37,2020-07-03,2457.0,Stretch Film
38,2020-07-04,1672.0,Stretch Film
39,2020-07-05,1672.0,Stretch Film
40,2020-07-06,1427.0,Stretch Film
41,2020-07-07,1427.0,Stretch Film
42,2020-07-08,2064.0,Stretch Film
43,2020-07-09,2064.0,Stretch Film
44,2020-07-10,1963.0,Stretch Film
45,2020-07-11,2096.0,Stretch Film
46,2020-07-12,2096.0,Stretch Film
47,2020-07-13,2096.0,Stretch Film
48,2020-07-14,2214.0,Stretch Film
49,2020-07-15,2214.0,Stretch Film
50,2020-07-16,2214.0,Stretch Film
51,2020-07-17,4336.0,Stretch Film
52,2020-07-18,4639.0,Stretch Film
53,2020-07-19,3947.0,Stretch Film
54,2020-07-20,3947.0,Stretch Film
55,2020-07-21,6932.0,Stretch Film
56,2020-07-22,7663.0,Stretch Film
57,2020-07-23,7663.0,Stretch Film
58,2020-07-24,8696.0,Stretch Film
59,2020-07-25,8696.0,Stretch Film
60,2020-07-26,8696.0,Stretch Film
61,2020-07-27,8696.0,Stretch Film
62,2020-07-28,7140.0,Stretch Film
63,2020-07-29,7140.0,Stretch Film
64,2020-07-30,7140.0,Stretch Film
65,2020-07-31,7140.0,Stretch Film
66,2020-08-01,7166.0,Stretch Film
67,2020-08-02,7166.0,Stretch Film
68,2020-08-03,7166.0,Stretch Film
69,2020-08-04,4330.0,Stretch Film
70,2020-08-05,4342.0,Stretch Film
71,2020-08-06,4342.0,Stretch Film
72,2020-08-07,4342.0,Stretch Film
73,2020-08-08,3932.0,Stretch Film
74,2020-08-09,3203.0,Stretch Film
75,2020-08-10,3288.0,Stretch Film
76,2020-08-11,3704.0,Stretch Film
77,2020-08-12,3704.0,Stretch Film
78,2020-08-13,4914.0,Stretch Film
79,2020-08-14,4914.0,Stretch Film
80,2020-08-15,4850.0,Stretch Film
81,2020-08-16,4850.0,Stretch Film
82,2020-08-17,4473.0,Stretch Film
83,2020-08-18,5642.0,Stretch Film
84,2020-08-19,5139.0,Stretch Film
85,2020-08-20,5139.0,Stretch Film
86,2020-08-21,7614.0,Stretch Film
87,2020-08-22,7614.0,Stretch Film
88,2020-08-23,7614.0,Stretch Film
89,2020-08-24,7614.0,Stretch Film
90,2020-08-25,6945.0,Stretch Film
91,2020-08-26,6945.0,Stretch Film
92,2020-08-27,6945.0,Stretch Film
93,2020-08-28,6548.0,Stretch Film
94,2020-08-29,6548.0,Stretch Film
95,2020-08-30,6548.0,Stretch Film
96,2020-08-31,6548.0,Stretch Film
97,2020-09-01,5997.0,Stretch Film
98,2020-09-02,6691.0,Stretch Film
99,2020-09-03,6691.0,Stretch Film
100,2020-09-04,6691.0,Stretch Film
101,2020-09-05,6691.0,Stretch Film
102,2020-09-06,4787.0,Stretch Film
103,2020-09-07,4787.0,Stretch Film
104,2020-09-08,4024.0,Stretch Film
105,2020-09-09,4024.0,Stretch Film
106,2020-09-10,4194.0,Stretch Film
107,2020-09-11,4194.0,Stretch Film
108,2020-09-12,4194.0,Stretch Film
109,2020-09-13,3078.0,Stretch Film
110,2020-09-14,3078.0,Stretch Film
111,2020-09-15,2940.0,Stretch Film
112,2020-09-16,2940.0,Stretch Film
113,2020-09-17,3428.0,Stretch Film
114,2020-09-18,2289.0,Stretch Film
115,2020-09-19,2289.0,Stretch Film
116,2020-09-20,2289.0,Stretch Film
117,2020-09-21,1946.0,Stretch Film
118,2020-09-22,1946.0,Stretch Film
119,2020-09-23,2260.0,Stretch Film
120,2020-09-24,1625.0,Stretch Film
121,2020-09-25,1625.0,Stretch Film
122,2020-09-26,2044.0,Stretch Film
123,2020-09-27,1822.0,Stretch Film
124,2020-09-28,1515.0,Stretch Film
125,2020-09-29,1601.0,Stretch Film
126,2020-09-30,1638.0,Stretch Film
127,2020-10-01,1638.0,Stretch Film
128,2020-10-02,2088.0,Stretch Film
129,2020-10-03,2088.0,Stretch Film
130,2020-10-04,2088.0,Stretch Film
131,2020-10-05,1544.0,Stretch Film
132,2020-10-06,2073.0,Stretch Film
133,2020-10-07,1651.0,Stretch Film
134,2020-10-08,1651.0,Stretch Film
135,2020-10-09,1935.0,Stretch Film
136,2020-10-10,1935.0,Stretch Film
137,2020-10-11,1935.0,Stretch Film
138,2020-10-12,1349.0,Stretch Film
139,2020-10-13,1595.0,Stretch Film
140,2020-10-14,1595.0,Stretch Film
141,2020-10-15,1595.0,Stretch Film
142,2020-10-16,2020.0,Stretch Film
143,2020-10-17,2020.0,Stretch Film
144,2020-10-18,1079.0,Stretch Film
145,2020-10-19,1079.0,Stretch Film
146,2020-10-20,1262.0,Stretch Film
147,2020-10-21,1187.0,Stretch Film
148,2020-10-22,1187.0,Stretch Film
149,2020-10-23,1187.0,Stretch Film
150,2020-10-24,1338.0,Stretch Film
151,2020-10-25,1338.0,Stretch Film
152,2020-10-26,1051.0,Stretch Film
153,2020-10-27,1206.0,Stretch Film
154,2020-10-28,1206.0,Stretch Film
155,2020-10-29,1484.0,Stretch Film
156,2020-10-30,1519.0,Stretch Film
157,2020-10-31,1519.0,Stretch Film
158,2020-11-01,1519.0,Stretch Film
159,2020-11-02,1334.0,Stretch Film
160,2020-11-03,1275.0,Stretch Film
161,2020-11-04,1552.0,Stretch Film
162,2020-11-05,1552.0,Stretch Film
163,2020-11-06,1552.0,Stretch Film
164,2020-11-07,1359.0,Stretch Film
165,2020-11-08,1359.0,Stretch Film
166,2020-11-09,1219.0,Stretch Film
167,2020-11-10,1531.0,Stretch Film
168,2020-11-11,1531.0,Stretch Film
169,2020-11-12,1836.0,Stretch Film
170,2020-11-13,2118.0,Stretch Film
171,2020-11-14,2118.0,Stretch Film
172,2020-11-15,2118.0,Stretch Film
173,2020-11-16,2078.0,Stretch Film
174,2020-11-17,2078.0,Stretch Film
175,2020-11-18,2283.0,Stretch Film
176,2020-11-19,2283.0,Stretch Film
177,2020-11-20,1936.0,Stretch Film
178,2020-11-21,1936.0,Stretch Film
179,2020-11-22,3209.0,Stretch Film
180,2020-11-23,3209.0,Stretch Film
181,2020-11-24,2405.0,Stretch Film
182,2020-11-25,2012.0,Stretch Film
183,2020-11-26,2453.0,Stretch Film
184,2020-11-27,2453.0,Stretch Film
185,2020-11-28,2453.0,Stretch Film
186,2020-11-29,4025.0,Stretch Film
187,2020-11-30,4025.0,Stretch Film
188,2020-12-01,3500.0,Stretch Film
189,2020-12-02,3500.0,Stretch Film
190,2020-12-03,3500.0,Stretch Film
191,2020-12-04,3500.0,Stretch Film
192,2020-12-05,3055.0,Stretch Film
193,2020-12-06,3055.0,Stretch Film
194,2020-12-07,3212.0,Stretch Film
195,2020-12-08,3144.0,Stretch Film
196,2020-12-09,3031.0,Stretch Film
197,2020-12-10,3178.0,Stretch Film
198,2020-12-11,3519.0,Stretch Film
