,date,value,name_B07M63DP2V
127,2019-08-13,59825.0,Kids' Bath Towels
128,2019-08-14,59825.0,Kids' Bath Towels
129,2019-08-15,59825.0,Kids' Bath Towels
130,2019-08-16,81935.0,Kids' Bath Towels
131,2019-08-17,81935.0,Kids' Bath Towels
132,2019-08-18,87791.0,Kids' Bath Towels
133,2019-08-19,87791.0,Kids' Bath Towels
134,2019-08-20,63816.0,Kids' Bath Towels
135,2019-08-21,63816.0,Kids' Bath Towels
136,2019-08-22,63816.0,Kids' Bath Towels
137,2019-08-23,63816.0,Kids' Bath Towels
138,2019-08-24,78866.0,Kids' Bath Towels
139,2019-08-25,99982.0,Kids' Bath Towels
140,2019-08-26,99982.0,Kids' Bath Towels
141,2019-08-27,99312.0,Kids' Bath Towels
142,2019-08-28,99312.0,Kids' Bath Towels
143,2019-08-29,82021.0,Kids' Bath Towels
144,2019-08-30,82021.0,Kids' Bath Towels
145,2019-08-31,65678.0,Kids' Bath Towels
146,2019-09-01,65678.0,Kids' Bath Towels
147,2019-09-02,65678.0,Kids' Bath Towels
148,2019-09-03,156786.0,Kids' Bath Towels
149,2019-09-04,156786.0,Kids' Bath Towels
150,2019-09-05,156786.0,Kids' Bath Towels
151,2019-09-06,156786.0,Kids' Bath Towels
152,2019-09-07,156786.0,Kids' Bath Towels
153,2019-09-08,156786.0,Kids' Bath Towels
154,2019-09-09,70652.0,Kids' Bath Towels
155,2019-09-10,70652.0,Kids' Bath Towels
156,2019-09-11,114385.0,Kids' Bath Towels
157,2019-09-12,114385.0,Kids' Bath Towels
158,2019-09-13,114385.0,Kids' Bath Towels
159,2019-09-14,106963.0,Kids' Bath Towels
160,2019-09-15,106963.0,Kids' Bath Towels
161,2019-09-16,156964.0,Kids' Bath Towels
162,2019-09-17,156964.0,Kids' Bath Towels
163,2019-09-18,75724.0,Kids' Bath Towels
164,2019-09-19,75724.0,Kids' Bath Towels
165,2019-09-20,108328.0,Kids' Bath Towels
166,2019-09-21,108328.0,Kids' Bath Towels
167,2019-09-22,124230.0,Kids' Bath Towels
168,2019-09-23,124230.0,Kids' Bath Towels
169,2019-09-24,94373.0,Kids' Bath Towels
170,2019-09-25,172273.0,Kids' Bath Towels
171,2019-09-26,172273.0,Kids' Bath Towels
172,2019-09-27,172273.0,Kids' Bath Towels
173,2019-09-28,126907.0,Kids' Bath Towels
174,2019-09-29,228781.0,Kids' Bath Towels
175,2019-09-30,228781.0,Kids' Bath Towels
176,2019-10-01,291785.0,Kids' Bath Towels
177,2019-10-02,291785.0,Kids' Bath Towels
178,2019-10-03,291785.0,Kids' Bath Towels
179,2019-10-04,291785.0,Kids' Bath Towels
180,2019-10-05,137970.0,Kids' Bath Towels
181,2019-10-06,137970.0,Kids' Bath Towels
182,2019-10-07,137970.0,Kids' Bath Towels
183,2019-10-08,137970.0,Kids' Bath Towels
184,2019-10-09,179222.0,Kids' Bath Towels
185,2019-10-10,179222.0,Kids' Bath Towels
186,2019-10-11,179222.0,Kids' Bath Towels
187,2019-10-12,179222.0,Kids' Bath Towels
188,2019-10-13,119785.0,Kids' Bath Towels
189,2019-10-14,119785.0,Kids' Bath Towels
190,2019-10-15,119785.0,Kids' Bath Towels
191,2019-10-16,363665.0,Kids' Bath Towels
192,2019-10-17,94492.0,Kids' Bath Towels
193,2019-10-18,94492.0,Kids' Bath Towels
194,2019-10-19,102862.0,Kids' Bath Towels
195,2019-10-20,102862.0,Kids' Bath Towels
196,2019-10-21,102862.0,Kids' Bath Towels
197,2019-10-22,132974.0,Kids' Bath Towels
198,2019-10-23,132974.0,Kids' Bath Towels
199,2019-10-24,74632.0,Kids' Bath Towels
200,2019-10-25,116204.0,Kids' Bath Towels
201,2019-10-26,116204.0,Kids' Bath Towels
202,2019-10-27,191187.0,Kids' Bath Towels
203,2019-10-28,191187.0,Kids' Bath Towels
204,2019-10-29,173054.0,Kids' Bath Towels
205,2019-10-30,173054.0,Kids' Bath Towels
206,2019-10-31,173054.0,Kids' Bath Towels
207,2019-11-01,187423.0,Kids' Bath Towels
208,2019-11-02,187423.0,Kids' Bath Towels
209,2019-11-03,250570.0,Kids' Bath Towels
210,2019-11-04,250570.0,Kids' Bath Towels
211,2019-11-05,213959.0,Kids' Bath Towels
212,2019-11-06,213959.0,Kids' Bath Towels
213,2019-11-07,213959.0,Kids' Bath Towels
214,2019-11-08,213959.0,Kids' Bath Towels
215,2019-11-09,213959.0,Kids' Bath Towels
216,2019-11-10,213959.0,Kids' Bath Towels
217,2019-11-11,213959.0,Kids' Bath Towels
218,2019-11-12,214030.0,Kids' Bath Towels
219,2019-11-13,214030.0,Kids' Bath Towels
220,2019-11-14,214030.0,Kids' Bath Towels
221,2019-11-15,214030.0,Kids' Bath Towels
222,2019-11-16,214030.0,Kids' Bath Towels
223,2019-11-17,214030.0,Kids' Bath Towels
224,2019-11-18,188181.0,Kids' Bath Towels
225,2019-11-19,188181.0,Kids' Bath Towels
226,2019-11-20,188181.0,Kids' Bath Towels
227,2019-11-21,188181.0,Kids' Bath Towels
228,2019-11-22,188181.0,Kids' Bath Towels
229,2019-11-23,188181.0,Kids' Bath Towels
230,2019-11-24,90829.0,Kids' Bath Towels
231,2019-11-25,90829.0,Kids' Bath Towels
232,2019-11-26,112372.0,Kids' Bath Towels
233,2019-11-27,112372.0,Kids' Bath Towels
234,2019-11-28,112372.0,Kids' Bath Towels
235,2019-11-29,112372.0,Kids' Bath Towels
236,2019-11-30,85431.0,Kids' Bath Towels
237,2019-12-01,102463.0,Kids' Bath Towels
238,2019-12-02,102463.0,Kids' Bath Towels
239,2019-12-03,102463.0,Kids' Bath Towels
240,2019-12-04,102463.0,Kids' Bath Towels
241,2019-12-05,102463.0,Kids' Bath Towels
242,2019-12-06,102463.0,Kids' Bath Towels
243,2019-12-07,102463.0,Kids' Bath Towels
244,2019-12-08,102463.0,Kids' Bath Towels
245,2019-12-09,109288.0,Kids' Bath Towels
246,2019-12-10,109288.0,Kids' Bath Towels
247,2019-12-11,109288.0,Kids' Bath Towels
248,2019-12-12,109288.0,Kids' Bath Towels
249,2019-12-13,80636.0,Kids' Bath Towels
250,2019-12-14,80636.0,Kids' Bath Towels
251,2019-12-15,80636.0,Kids' Bath Towels
252,2019-12-16,80636.0,Kids' Bath Towels
253,2019-12-17,80636.0,Kids' Bath Towels
254,2019-12-18,80636.0,Kids' Bath Towels
255,2019-12-19,80636.0,Kids' Bath Towels
256,2019-12-20,70200.0,Kids' Bath Towels
257,2019-12-21,70200.0,Kids' Bath Towels
258,2019-12-22,70200.0,Kids' Bath Towels
259,2019-12-23,70200.0,Kids' Bath Towels
260,2019-12-24,70200.0,Kids' Bath Towels
261,2019-12-25,70200.0,Kids' Bath Towels
262,2019-12-26,70200.0,Kids' Bath Towels
263,2019-12-27,159066.0,Kids' Bath Towels
264,2019-12-28,159066.0,Kids' Bath Towels
265,2019-12-29,159066.0,Kids' Bath Towels
266,2019-12-30,159066.0,Kids' Bath Towels
267,2019-12-31,159066.0,Kids' Bath Towels
268,2020-01-01,159066.0,Kids' Bath Towels
269,2020-01-02,159066.0,Kids' Bath Towels
270,2020-01-03,159066.0,Kids' Bath Towels
271,2020-01-04,131068.0,Kids' Bath Towels
272,2020-01-05,131068.0,Kids' Bath Towels
273,2020-01-06,131068.0,Kids' Bath Towels
274,2020-01-07,187549.0,Kids' Bath Towels
275,2020-01-08,187549.0,Kids' Bath Towels
276,2020-01-09,118698.0,Kids' Bath Towels
277,2020-01-10,118698.0,Kids' Bath Towels
278,2020-01-11,118698.0,Kids' Bath Towels
279,2020-01-12,118698.0,Kids' Bath Towels
280,2020-01-13,118698.0,Kids' Bath Towels
281,2020-01-14,64710.0,Kids' Bath Towels
282,2020-01-15,106219.0,Kids' Bath Towels
283,2020-01-16,106219.0,Kids' Bath Towels
284,2020-01-17,106219.0,Kids' Bath Towels
285,2020-01-18,232410.0,Kids' Bath Towels
286,2020-01-19,232410.0,Kids' Bath Towels
287,2020-01-20,232410.0,Kids' Bath Towels
288,2020-01-21,232410.0,Kids' Bath Towels
289,2020-01-22,232410.0,Kids' Bath Towels
290,2020-01-23,232410.0,Kids' Bath Towels
291,2020-01-24,232410.0,Kids' Bath Towels
292,2020-01-25,232410.0,Kids' Bath Towels
293,2020-01-26,232410.0,Kids' Bath Towels
294,2020-01-27,232410.0,Kids' Bath Towels
295,2020-01-28,75111.0,Kids' Bath Towels
296,2020-01-29,75111.0,Kids' Bath Towels
297,2020-01-30,75111.0,Kids' Bath Towels
298,2020-01-31,75111.0,Kids' Bath Towels
299,2020-02-01,75111.0,Kids' Bath Towels
300,2020-02-02,75111.0,Kids' Bath Towels
301,2020-02-03,75111.0,Kids' Bath Towels
302,2020-02-04,75111.0,Kids' Bath Towels
303,2020-02-05,75111.0,Kids' Bath Towels
304,2020-02-06,75111.0,Kids' Bath Towels
305,2020-02-07,75111.0,Kids' Bath Towels
306,2020-02-08,75111.0,Kids' Bath Towels
307,2020-02-09,123979.0,Kids' Bath Towels
308,2020-02-10,123979.0,Kids' Bath Towels
309,2020-02-11,123979.0,Kids' Bath Towels
310,2020-02-12,123979.0,Kids' Bath Towels
311,2020-02-13,123979.0,Kids' Bath Towels
312,2020-02-14,123979.0,Kids' Bath Towels
313,2020-02-15,123979.0,Kids' Bath Towels
314,2020-02-16,123979.0,Kids' Bath Towels
315,2020-02-17,190082.0,Kids' Bath Towels
316,2020-02-18,190082.0,Kids' Bath Towels
317,2020-02-19,190082.0,Kids' Bath Towels
318,2020-02-20,190082.0,Kids' Bath Towels
319,2020-02-21,190082.0,Kids' Bath Towels
320,2020-02-22,190082.0,Kids' Bath Towels
321,2020-02-23,282311.0,Kids' Bath Towels
322,2020-02-24,282311.0,Kids' Bath Towels
323,2020-02-25,282311.0,Kids' Bath Towels
324,2020-02-26,282311.0,Kids' Bath Towels
325,2020-02-27,282311.0,Kids' Bath Towels
326,2020-02-28,110625.0,Kids' Bath Towels
327,2020-02-29,110625.0,Kids' Bath Towels
328,2020-03-01,110625.0,Kids' Bath Towels
329,2020-03-02,110625.0,Kids' Bath Towels
330,2020-03-03,110625.0,Kids' Bath Towels
331,2020-03-04,110625.0,Kids' Bath Towels
332,2020-03-05,64997.0,Kids' Bath Towels
333,2020-03-06,64997.0,Kids' Bath Towels
334,2020-03-07,64997.0,Kids' Bath Towels
335,2020-03-08,64997.0,Kids' Bath Towels
336,2020-03-09,64997.0,Kids' Bath Towels
337,2020-03-10,64997.0,Kids' Bath Towels
338,2020-03-11,64997.0,Kids' Bath Towels
339,2020-03-12,103108.0,Kids' Bath Towels
340,2020-03-13,72865.0,Kids' Bath Towels
341,2020-03-14,72865.0,Kids' Bath Towels
342,2020-03-15,72865.0,Kids' Bath Towels
343,2020-03-16,72865.0,Kids' Bath Towels
344,2020-03-17,72865.0,Kids' Bath Towels
345,2020-03-18,72865.0,Kids' Bath Towels
346,2020-03-19,72865.0,Kids' Bath Towels
347,2020-03-20,72865.0,Kids' Bath Towels
348,2020-03-21,72865.0,Kids' Bath Towels
349,2020-03-22,72865.0,Kids' Bath Towels
350,2020-03-23,72865.0,Kids' Bath Towels
351,2020-03-24,195476.0,Kids' Bath Towels
352,2020-03-25,195476.0,Kids' Bath Towels
353,2020-03-26,195476.0,Kids' Bath Towels
354,2020-03-27,195476.0,Kids' Bath Towels
355,2020-03-28,195476.0,Kids' Bath Towels
356,2020-03-29,195476.0,Kids' Bath Towels
357,2020-03-30,195476.0,Kids' Bath Towels
358,2020-03-31,195476.0,Kids' Bath Towels
359,2020-04-01,195476.0,Kids' Bath Towels
360,2020-04-02,91920.0,Kids' Bath Towels
361,2020-04-03,97612.0,Kids' Bath Towels
362,2020-04-04,97612.0,Kids' Bath Towels
363,2020-04-05,97612.0,Kids' Bath Towels
364,2020-04-06,97612.0,Kids' Bath Towels
365,2020-04-07,97612.0,Kids' Bath Towels
366,2020-04-08,100457.0,Kids' Bath Towels
367,2020-04-09,100457.0,Kids' Bath Towels
368,2020-04-10,100457.0,Kids' Bath Towels
369,2020-04-11,100457.0,Kids' Bath Towels
370,2020-04-12,100457.0,Kids' Bath Towels
371,2020-04-13,100457.0,Kids' Bath Towels
372,2020-04-14,100457.0,Kids' Bath Towels
373,2020-04-15,100457.0,Kids' Bath Towels
374,2020-04-16,100457.0,Kids' Bath Towels
375,2020-04-17,100457.0,Kids' Bath Towels
376,2020-04-18,100457.0,Kids' Bath Towels
377,2020-04-19,100457.0,Kids' Bath Towels
378,2020-04-20,100457.0,Kids' Bath Towels
379,2020-04-21,100457.0,Kids' Bath Towels
380,2020-04-22,118723.0,Kids' Bath Towels
381,2020-04-23,118723.0,Kids' Bath Towels
382,2020-04-24,118723.0,Kids' Bath Towels
383,2020-04-25,118723.0,Kids' Bath Towels
384,2020-04-26,118723.0,Kids' Bath Towels
385,2020-04-27,223361.0,Kids' Bath Towels
386,2020-04-28,223361.0,Kids' Bath Towels
387,2020-04-29,223361.0,Kids' Bath Towels
388,2020-04-30,223361.0,Kids' Bath Towels
389,2020-05-01,223361.0,Kids' Bath Towels
390,2020-05-02,223361.0,Kids' Bath Towels
391,2020-05-03,216532.0,Kids' Bath Towels
392,2020-05-04,216532.0,Kids' Bath Towels
393,2020-05-05,216532.0,Kids' Bath Towels
394,2020-05-06,216532.0,Kids' Bath Towels
395,2020-05-07,216532.0,Kids' Bath Towels
396,2020-05-08,151555.0,Kids' Bath Towels
397,2020-05-09,151555.0,Kids' Bath Towels
398,2020-05-10,151555.0,Kids' Bath Towels
399,2020-05-11,151555.0,Kids' Bath Towels
400,2020-05-12,151555.0,Kids' Bath Towels
401,2020-05-13,151555.0,Kids' Bath Towels
402,2020-05-14,151555.0,Kids' Bath Towels
403,2020-05-15,151555.0,Kids' Bath Towels
404,2020-05-16,151555.0,Kids' Bath Towels
405,2020-05-17,151555.0,Kids' Bath Towels
406,2020-05-18,122679.0,Kids' Bath Towels
407,2020-05-19,122679.0,Kids' Bath Towels
408,2020-05-20,145679.0,Kids' Bath Towels
409,2020-05-21,145679.0,Kids' Bath Towels
410,2020-05-22,145679.0,Kids' Bath Towels
411,2020-05-23,125880.0,Kids' Bath Towels
412,2020-05-24,125880.0,Kids' Bath Towels
413,2020-05-25,57298.0,Kids' Bath Towels
414,2020-05-26,57298.0,Kids' Bath Towels
415,2020-05-27,57298.0,Kids' Bath Towels
416,2020-05-28,57298.0,Kids' Bath Towels
417,2020-05-29,57298.0,Kids' Bath Towels
418,2020-05-30,57298.0,Kids' Bath Towels
