,date,value,name_B091MC8X7H
0,2021-05-22,3226.0,Flags
1,2021-05-23,3917.0,Flags
2,2021-05-24,3917.0,Flags
3,2021-05-25,2908.0,Flags
4,2021-05-26,2908.0,Flags
5,2021-05-27,1017.0,Flags
6,2021-05-28,1017.0,Flags
7,2021-05-29,995.0,Flags
8,2021-05-30,995.0,Flags
9,2021-05-31,1036.0,Flags
10,2021-06-01,693.0,Flags
11,2021-06-02,766.0,Flags
12,2021-06-03,766.0,Flags
13,2021-06-04,1151.0,Flags
14,2021-06-05,1084.0,Flags
15,2021-06-06,1084.0,Flags
16,2021-06-07,1040.0,Flags
17,2021-06-08,1331.0,Flags
18,2021-06-09,1073.0,Flags
19,2021-06-10,1161.0,Flags
20,2021-06-11,1161.0,Flags
21,2021-06-12,1149.0,Flags
22,2021-06-13,1149.0,Flags
23,2021-06-14,1357.0,Flags
24,2021-06-15,1357.0,Flags
25,2021-06-16,1106.0,Flags
26,2021-06-17,1106.0,Flags
27,2021-06-18,1117.0,Flags
28,2021-06-19,1117.0,Flags
29,2021-06-20,1117.0,Flags
30,2021-06-21,1173.0,Flags
31,2021-06-22,1173.0,Flags
32,2021-06-23,2025.0,Flags
33,2021-06-24,2025.0,Flags
34,2021-06-25,872.0,Flags
35,2021-06-26,872.0,Flags
36,2021-06-27,519.0,Flags
37,2021-06-28,519.0,Flags
38,2021-06-29,107.0,Flags
39,2021-06-30,88.0,Flags
40,2021-07-01,88.0,Flags
41,2021-07-02,54.0,Flags
42,2021-07-03,87.0,Flags
43,2021-07-04,114.0,Flags
44,2021-07-05,100.0,Flags
45,2021-07-06,100.0,Flags
46,2021-07-07,374.0,Flags
47,2021-07-08,374.0,Flags
48,2021-07-09,333.0,Flags
