,date,value,name_B07JFJR8WG
0,2019-03-12,33462.0,All-Purpose Cleaners
1,2019-03-13,27959.0,All-Purpose Cleaners
2,2019-03-14,21618.0,All-Purpose Cleaners
3,2019-03-15,26873.0,All-Purpose Cleaners
4,2019-03-16,26873.0,All-Purpose Cleaners
5,2019-03-17,26873.0,All-Purpose Cleaners
6,2019-03-18,25150.0,All-Purpose Cleaners
7,2019-03-19,27100.0,All-Purpose Cleaners
8,2019-03-20,27100.0,All-Purpose Cleaners
9,2019-03-21,46329.0,All-Purpose Cleaners
10,2019-03-22,55911.0,All-Purpose Cleaners
11,2019-03-23,55911.0,All-Purpose Cleaners
12,2019-03-24,55911.0,All-Purpose Cleaners
13,2019-03-25,55911.0,All-Purpose Cleaners
14,2019-03-26,75019.0,All-Purpose Cleaners
15,2019-03-27,73164.0,All-Purpose Cleaners
16,2019-03-28,73164.0,All-Purpose Cleaners
17,2019-03-29,25976.0,All-Purpose Cleaners
18,2019-03-30,20215.0,All-Purpose Cleaners
19,2019-03-31,26540.0,All-Purpose Cleaners
20,2019-04-01,25619.0,All-Purpose Cleaners
21,2019-04-02,43106.0,All-Purpose Cleaners
22,2019-04-03,54570.0,All-Purpose Cleaners
23,2019-04-04,54570.0,All-Purpose Cleaners
24,2019-04-05,54570.0,All-Purpose Cleaners
25,2019-04-06,54570.0,All-Purpose Cleaners
26,2019-04-07,54570.0,All-Purpose Cleaners
27,2019-04-08,54570.0,All-Purpose Cleaners
28,2019-04-09,54570.0,All-Purpose Cleaners
29,2019-04-10,54689.0,All-Purpose Cleaners
30,2019-04-11,73386.0,All-Purpose Cleaners
31,2019-04-12,73386.0,All-Purpose Cleaners
32,2019-04-13,73386.0,All-Purpose Cleaners
33,2019-04-14,73386.0,All-Purpose Cleaners
34,2019-04-15,73386.0,All-Purpose Cleaners
35,2019-04-16,27454.0,All-Purpose Cleaners
36,2019-04-17,27454.0,All-Purpose Cleaners
37,2019-04-18,27454.0,All-Purpose Cleaners
38,2019-04-19,27454.0,All-Purpose Cleaners
39,2019-04-20,27454.0,All-Purpose Cleaners
40,2019-04-21,42983.0,All-Purpose Cleaners
41,2019-04-22,42983.0,All-Purpose Cleaners
42,2019-04-23,19324.0,All-Purpose Cleaners
43,2019-04-24,19324.0,All-Purpose Cleaners
44,2019-04-25,19324.0,All-Purpose Cleaners
45,2019-04-26,20671.0,All-Purpose Cleaners
46,2019-04-27,20671.0,All-Purpose Cleaners
47,2019-04-28,17285.0,All-Purpose Cleaners
48,2019-04-29,24733.0,All-Purpose Cleaners
49,2019-04-30,24358.0,All-Purpose Cleaners
50,2019-05-01,20761.0,All-Purpose Cleaners
51,2019-05-02,20761.0,All-Purpose Cleaners
52,2019-05-03,20761.0,All-Purpose Cleaners
53,2019-05-04,20761.0,All-Purpose Cleaners
54,2019-05-05,37216.0,All-Purpose Cleaners
55,2019-05-06,37216.0,All-Purpose Cleaners
56,2019-05-07,37216.0,All-Purpose Cleaners
57,2019-05-08,41942.0,All-Purpose Cleaners
58,2019-05-09,41942.0,All-Purpose Cleaners
59,2019-05-10,26750.0,All-Purpose Cleaners
60,2019-05-11,26750.0,All-Purpose Cleaners
61,2019-05-12,26750.0,All-Purpose Cleaners
62,2019-05-13,23768.0,All-Purpose Cleaners
