,date,value,name_B08TBJBR85
0,2021-01-26,68712.0,Posters & Prints
1,2021-01-27,68712.0,Posters & Prints
2,2021-01-28,68712.0,Posters & Prints
3,2021-01-29,68712.0,Posters & Prints
4,2021-01-30,68712.0,Posters & Prints
5,2021-01-31,68712.0,Posters & Prints
6,2021-02-01,58477.0,Posters & Prints
7,2021-02-02,57834.0,Posters & Prints
8,2021-02-03,57834.0,Posters & Prints
9,2021-02-04,104590.0,Posters & Prints
10,2021-02-05,104590.0,Posters & Prints
11,2021-02-06,104590.0,Posters & Prints
12,2021-02-07,104590.0,Posters & Prints
13,2021-02-08,104590.0,Posters & Prints
14,2021-02-09,104590.0,Posters & Prints
15,2021-02-10,104590.0,Posters & Prints
16,2021-02-11,104590.0,Posters & Prints
17,2021-02-12,104590.0,Posters & Prints
18,2021-02-13,104590.0,Posters & Prints
19,2021-02-14,104590.0,Posters & Prints
20,2021-02-15,104590.0,Posters & Prints
21,2021-02-16,50976.0,Posters & Prints
22,2021-02-17,50976.0,Posters & Prints
23,2021-02-18,50976.0,Posters & Prints
24,2021-02-19,50976.0,Posters & Prints
25,2021-02-20,33395.0,Posters & Prints
26,2021-02-21,33395.0,Posters & Prints
27,2021-02-22,33395.0,Posters & Prints
28,2021-02-23,33395.0,Posters & Prints
29,2021-02-24,33395.0,Posters & Prints
30,2021-02-25,33395.0,Posters & Prints
31,2021-02-26,42685.0,Posters & Prints
32,2021-02-27,42685.0,Posters & Prints
33,2021-02-28,42685.0,Posters & Prints
34,2021-03-01,42889.0,Posters & Prints
35,2021-03-02,49519.0,Posters & Prints
36,2021-03-03,49519.0,Posters & Prints
37,2021-03-04,49519.0,Posters & Prints
38,2021-03-05,49519.0,Posters & Prints
39,2021-03-06,38245.0,Posters & Prints
40,2021-03-07,38245.0,Posters & Prints
41,2021-03-08,38245.0,Posters & Prints
42,2021-03-09,38245.0,Posters & Prints
43,2021-03-10,54362.0,Posters & Prints
44,2021-03-11,54362.0,Posters & Prints
45,2021-03-12,54362.0,Posters & Prints
46,2021-03-13,54362.0,Posters & Prints
47,2021-03-14,54362.0,Posters & Prints
48,2021-03-15,54362.0,Posters & Prints
49,2021-03-16,53292.0,Posters & Prints
50,2021-03-17,50048.0,Posters & Prints
51,2021-03-18,50048.0,Posters & Prints
52,2021-03-19,50048.0,Posters & Prints
53,2021-03-20,50048.0,Posters & Prints
54,2021-03-21,60586.0,Posters & Prints
55,2021-03-22,60586.0,Posters & Prints
56,2021-03-23,60586.0,Posters & Prints
57,2021-03-24,60586.0,Posters & Prints
58,2021-03-25,60586.0,Posters & Prints
59,2021-03-26,60586.0,Posters & Prints
60,2021-03-27,60586.0,Posters & Prints
61,2021-03-28,60586.0,Posters & Prints
62,2021-03-29,43204.0,Posters & Prints
63,2021-03-30,43204.0,Posters & Prints
64,2021-03-31,43204.0,Posters & Prints
65,2021-04-01,66670.0,Posters & Prints
66,2021-04-02,66670.0,Posters & Prints
67,2021-04-03,66670.0,Posters & Prints
68,2021-04-04,66670.0,Posters & Prints
69,2021-04-05,66670.0,Posters & Prints
70,2021-04-06,66670.0,Posters & Prints
71,2021-04-07,66670.0,Posters & Prints
72,2021-04-08,85080.0,Posters & Prints
73,2021-04-09,85080.0,Posters & Prints
74,2021-04-10,85080.0,Posters & Prints
75,2021-04-11,85080.0,Posters & Prints
76,2021-04-12,89139.0,Posters & Prints
77,2021-04-13,89139.0,Posters & Prints
78,2021-04-14,89139.0,Posters & Prints
79,2021-04-15,89139.0,Posters & Prints
80,2021-04-16,89139.0,Posters & Prints
81,2021-04-17,89139.0,Posters & Prints
82,2021-04-18,89139.0,Posters & Prints
83,2021-04-19,114031.0,Posters & Prints
84,2021-04-20,103079.0,Posters & Prints
85,2021-04-21,103079.0,Posters & Prints
86,2021-04-22,103079.0,Posters & Prints
87,2021-04-23,103079.0,Posters & Prints
88,2021-04-24,103079.0,Posters & Prints
89,2021-04-25,103079.0,Posters & Prints
90,2021-04-26,103079.0,Posters & Prints
91,2021-04-27,103079.0,Posters & Prints
92,2021-04-28,394330.0,Posters & Prints
93,2021-04-29,394330.0,Posters & Prints
94,2021-04-30,394330.0,Posters & Prints
95,2021-05-01,394330.0,Posters & Prints
96,2021-05-02,439148.0,Posters & Prints
97,2021-05-03,439148.0,Posters & Prints
98,2021-05-04,439148.0,Posters & Prints
99,2021-05-05,439148.0,Posters & Prints
100,2021-05-06,439148.0,Posters & Prints
101,2021-05-07,439148.0,Posters & Prints
102,2021-05-08,600179.0,Posters & Prints
103,2021-05-09,600179.0,Posters & Prints
104,2021-05-10,600179.0,Posters & Prints
105,2021-05-11,600179.0,Posters & Prints
106,2021-05-12,579084.0,Posters & Prints
107,2021-05-13,579084.0,Posters & Prints
108,2021-05-14,579084.0,Posters & Prints
109,2021-05-15,579084.0,Posters & Prints
110,2021-05-16,579084.0,Posters & Prints
111,2021-05-17,579084.0,Posters & Prints
112,2021-05-18,579084.0,Posters & Prints
113,2021-05-19,579084.0,Posters & Prints
