,date,value,name_B08F2B3CX3
144,2021-02-02,68155.0,Comforter Sets
145,2021-02-03,68155.0,Comforter Sets
146,2021-02-04,68155.0,Comforter Sets
147,2021-02-05,68155.0,Comforter Sets
148,2021-02-06,60572.0,Comforter Sets
149,2021-02-07,60572.0,Comforter Sets
150,2021-02-08,60572.0,Comforter Sets
151,2021-02-09,60572.0,Comforter Sets
152,2021-02-10,60572.0,Comforter Sets
153,2021-02-11,60572.0,Comforter Sets
154,2021-02-12,60572.0,Comforter Sets
155,2021-02-13,60572.0,Comforter Sets
156,2021-02-14,62316.0,Comforter Sets
157,2021-02-15,62316.0,Comforter Sets
158,2021-02-16,69464.0,Comforter Sets
159,2021-02-17,69464.0,Comforter Sets
160,2021-02-18,69464.0,Comforter Sets
161,2021-02-19,112309.0,Comforter Sets
162,2021-02-20,112309.0,Comforter Sets
163,2021-02-21,112309.0,Comforter Sets
164,2021-02-22,112309.0,Comforter Sets
165,2021-02-23,49242.0,Comforter Sets
166,2021-02-24,49242.0,Comforter Sets
167,2021-02-25,49242.0,Comforter Sets
168,2021-02-26,56147.0,Comforter Sets
169,2021-02-27,56147.0,Comforter Sets
170,2021-02-28,56147.0,Comforter Sets
171,2021-03-01,56147.0,Comforter Sets
172,2021-03-02,45794.0,Comforter Sets
173,2021-03-03,45794.0,Comforter Sets
174,2021-03-04,45794.0,Comforter Sets
175,2021-03-05,48030.0,Comforter Sets
176,2021-03-06,48030.0,Comforter Sets
177,2021-03-07,48030.0,Comforter Sets
178,2021-03-08,48030.0,Comforter Sets
179,2021-03-09,48030.0,Comforter Sets
180,2021-03-10,48030.0,Comforter Sets
181,2021-03-11,94510.0,Comforter Sets
182,2021-03-12,94510.0,Comforter Sets
183,2021-03-13,94510.0,Comforter Sets
184,2021-03-14,94510.0,Comforter Sets
185,2021-03-15,94510.0,Comforter Sets
186,2021-03-16,94510.0,Comforter Sets
187,2021-03-17,94510.0,Comforter Sets
188,2021-03-18,38552.0,Comforter Sets
189,2021-03-19,38552.0,Comforter Sets
