,date,value,name_B08D6LSCQ7
0,2020-07-21,15539.0,Duvet Cover Sets
1,2020-07-22,15539.0,Duvet Cover Sets
2,2020-07-23,15539.0,Duvet Cover Sets
3,2020-07-24,15395.0,Duvet Cover Sets
4,2020-07-25,15395.0,Duvet Cover Sets
5,2020-07-26,12420.0,Duvet Cover Sets
6,2020-07-27,14326.0,Duvet Cover Sets
7,2020-07-28,13085.0,Duvet Cover Sets
8,2020-07-29,13085.0,Duvet Cover Sets
9,2020-07-30,10451.0,Duvet Cover Sets
10,2020-07-31,3001.0,Duvet Cover Sets
11,2020-08-01,4848.0,Duvet Cover Sets
12,2020-08-02,7641.0,Duvet Cover Sets
13,2020-08-03,7903.0,Duvet Cover Sets
14,2020-08-04,10537.0,Duvet Cover Sets
15,2020-08-05,10537.0,Duvet Cover Sets
16,2020-08-06,12037.0,Duvet Cover Sets
17,2020-08-07,12037.0,Duvet Cover Sets
18,2020-08-08,12037.0,Duvet Cover Sets
19,2020-08-09,12037.0,Duvet Cover Sets
20,2020-08-10,10318.0,Duvet Cover Sets
21,2020-08-11,12219.0,Duvet Cover Sets
22,2020-08-12,12219.0,Duvet Cover Sets
23,2020-08-13,12219.0,Duvet Cover Sets
24,2020-08-14,12219.0,Duvet Cover Sets
25,2020-08-15,11859.0,Duvet Cover Sets
26,2020-08-16,11789.0,Duvet Cover Sets
27,2020-08-17,11789.0,Duvet Cover Sets
28,2020-08-18,11789.0,Duvet Cover Sets
29,2020-08-19,15560.0,Duvet Cover Sets
30,2020-08-20,15560.0,Duvet Cover Sets
31,2020-08-21,15962.0,Duvet Cover Sets
32,2020-08-22,15958.0,Duvet Cover Sets
33,2020-08-23,15958.0,Duvet Cover Sets
34,2020-08-24,15958.0,Duvet Cover Sets
35,2020-08-25,15958.0,Duvet Cover Sets
36,2020-08-26,22248.0,Duvet Cover Sets
37,2020-08-27,22248.0,Duvet Cover Sets
38,2020-08-28,18498.0,Duvet Cover Sets
39,2020-08-29,18498.0,Duvet Cover Sets
40,2020-08-30,18498.0,Duvet Cover Sets
41,2020-08-31,18498.0,Duvet Cover Sets
42,2020-09-01,17466.0,Duvet Cover Sets
43,2020-09-02,17466.0,Duvet Cover Sets
44,2020-09-03,17466.0,Duvet Cover Sets
45,2020-09-04,17466.0,Duvet Cover Sets
46,2020-09-05,18631.0,Duvet Cover Sets
47,2020-09-06,18631.0,Duvet Cover Sets
48,2020-09-07,18631.0,Duvet Cover Sets
49,2020-09-08,21923.0,Duvet Cover Sets
50,2020-09-09,21923.0,Duvet Cover Sets
51,2020-09-10,33816.0,Duvet Cover Sets
52,2020-09-11,33816.0,Duvet Cover Sets
53,2020-09-12,33816.0,Duvet Cover Sets
