,date,value,name_B07FX4GG6S
0,2018-08-16,2752.0,Laminators
1,2018-08-17,2660.0,Laminators
2,2018-08-18,2358.0,Laminators
3,2018-08-19,2358.0,Laminators
4,2018-08-20,2317.0,Laminators
5,2018-08-21,2410.0,Laminators
6,2018-08-22,2677.0,Laminators
7,2018-08-23,2450.0,Laminators
8,2018-08-24,2318.0,Laminators
9,2018-08-25,725.0,Laminators
10,2018-08-26,168.0,Laminators
11,2018-08-27,576.0,Laminators
12,2018-08-28,1001.0,Laminators
13,2018-08-29,1164.0,Laminators
14,2018-08-30,1248.0,Laminators
15,2018-08-31,1334.0,Laminators
16,2018-09-01,1333.0,Laminators
17,2018-09-02,1771.0,Laminators
18,2018-09-03,2866.0,Laminators
19,2018-09-04,4655.0,Laminators
20,2018-09-05,9022.0,Laminators
21,2018-09-06,9022.0,Laminators
22,2018-09-07,16729.0,Laminators
23,2018-09-08,12320.0,Laminators
24,2018-09-09,8585.0,Laminators
25,2018-09-10,8585.0,Laminators
26,2018-09-11,3974.0,Laminators
27,2018-09-12,3424.0,Laminators
28,2018-09-13,2308.0,Laminators
29,2018-09-14,1491.0,Laminators
30,2018-09-15,2102.0,Laminators
31,2018-09-16,1904.0,Laminators
32,2018-09-17,1809.0,Laminators
33,2018-09-18,2020.0,Laminators
34,2018-09-19,2145.0,Laminators
35,2018-09-20,2192.0,Laminators
36,2018-09-21,1795.0,Laminators
37,2018-09-22,-1.0,Laminators
38,2018-09-23,-1.0,Laminators
39,2018-09-24,-1.0,Laminators
40,2018-09-25,-1.0,Laminators
41,2018-09-26,-1.0,Laminators
42,2018-09-27,-1.0,Laminators
43,2018-09-28,-1.0,Laminators
44,2018-09-29,-1.0,Laminators
45,2018-09-30,-1.0,Laminators
46,2018-10-01,-1.0,Laminators
47,2018-10-02,-1.0,Laminators
48,2018-10-03,-1.0,Laminators
49,2018-10-04,-1.0,Laminators
50,2018-10-05,-1.0,Laminators
51,2018-10-06,-1.0,Laminators
52,2018-10-07,-1.0,Laminators
53,2018-10-08,-1.0,Laminators
54,2018-10-09,-1.0,Laminators
55,2018-10-10,-1.0,Laminators
56,2018-10-11,-1.0,Laminators
57,2018-10-12,-1.0,Laminators
58,2018-10-13,-1.0,Laminators
59,2018-10-14,-1.0,Laminators
60,2018-10-15,-1.0,Laminators
61,2018-10-16,-1.0,Laminators
62,2018-10-17,-1.0,Laminators
63,2018-10-18,-1.0,Laminators
64,2018-10-19,-1.0,Laminators
65,2018-10-20,-1.0,Laminators
66,2018-10-21,-1.0,Laminators
67,2018-10-22,-1.0,Laminators
68,2018-10-23,-1.0,Laminators
69,2018-10-24,-1.0,Laminators
70,2018-10-25,-1.0,Laminators
71,2018-10-26,-1.0,Laminators
72,2018-10-27,-1.0,Laminators
73,2018-10-28,-1.0,Laminators
74,2018-10-29,-1.0,Laminators
75,2018-10-30,-1.0,Laminators
76,2018-10-31,-1.0,Laminators
77,2018-11-01,-1.0,Laminators
78,2018-11-02,-1.0,Laminators
79,2018-11-03,-1.0,Laminators
80,2018-11-04,-1.0,Laminators
81,2018-11-05,-1.0,Laminators
82,2018-11-06,-1.0,Laminators
83,2018-11-07,-1.0,Laminators
84,2018-11-08,-1.0,Laminators
85,2018-11-09,-1.0,Laminators
86,2018-11-10,-1.0,Laminators
87,2018-11-11,-1.0,Laminators
88,2018-11-12,-1.0,Laminators
89,2018-11-13,-1.0,Laminators
90,2018-11-14,-1.0,Laminators
91,2018-11-15,-1.0,Laminators
92,2018-11-16,-1.0,Laminators
93,2018-11-17,-1.0,Laminators
94,2018-11-18,-1.0,Laminators
95,2018-11-19,-1.0,Laminators
96,2018-11-20,-1.0,Laminators
97,2018-11-21,-1.0,Laminators
98,2018-11-22,-1.0,Laminators
99,2018-11-23,-1.0,Laminators
100,2018-11-24,-1.0,Laminators
101,2018-11-25,-1.0,Laminators
102,2018-11-26,-1.0,Laminators
103,2018-11-27,-1.0,Laminators
104,2018-11-28,-1.0,Laminators
105,2018-11-29,-1.0,Laminators
106,2018-11-30,-1.0,Laminators
107,2018-12-01,-1.0,Laminators
108,2018-12-02,-1.0,Laminators
109,2018-12-03,-1.0,Laminators
110,2018-12-04,-1.0,Laminators
111,2018-12-05,-1.0,Laminators
112,2018-12-06,-1.0,Laminators
113,2018-12-07,-1.0,Laminators
114,2018-12-08,-1.0,Laminators
115,2018-12-09,-1.0,Laminators
116,2018-12-10,-1.0,Laminators
117,2018-12-11,-1.0,Laminators
118,2018-12-12,-1.0,Laminators
119,2018-12-13,-1.0,Laminators
120,2018-12-14,-1.0,Laminators
121,2018-12-15,-1.0,Laminators
122,2018-12-16,-1.0,Laminators
123,2018-12-17,-1.0,Laminators
124,2018-12-18,-1.0,Laminators
125,2018-12-19,-1.0,Laminators
126,2018-12-20,-1.0,Laminators
127,2018-12-21,-1.0,Laminators
128,2018-12-22,-1.0,Laminators
129,2018-12-23,-1.0,Laminators
130,2018-12-24,-1.0,Laminators
131,2018-12-25,-1.0,Laminators
132,2018-12-26,-1.0,Laminators
133,2018-12-27,-1.0,Laminators
134,2018-12-28,-1.0,Laminators
135,2018-12-29,-1.0,Laminators
136,2018-12-30,-1.0,Laminators
137,2018-12-31,-1.0,Laminators
138,2019-01-01,-1.0,Laminators
139,2019-01-02,-1.0,Laminators
140,2019-01-03,-1.0,Laminators
141,2019-01-04,-1.0,Laminators
142,2019-01-05,-1.0,Laminators
143,2019-01-06,-1.0,Laminators
144,2019-01-07,-1.0,Laminators
145,2019-01-08,-1.0,Laminators
146,2019-01-09,-1.0,Laminators
147,2019-01-10,-1.0,Laminators
148,2019-01-11,-1.0,Laminators
149,2019-01-12,-1.0,Laminators
150,2019-01-13,-1.0,Laminators
151,2019-01-14,-1.0,Laminators
152,2019-01-15,-1.0,Laminators
153,2019-01-16,-1.0,Laminators
154,2019-01-17,-1.0,Laminators
155,2019-01-18,-1.0,Laminators
156,2019-01-19,-1.0,Laminators
157,2019-01-20,-1.0,Laminators
158,2019-01-21,-1.0,Laminators
159,2019-01-22,-1.0,Laminators
160,2019-01-23,-1.0,Laminators
161,2019-01-24,-1.0,Laminators
162,2019-01-25,-1.0,Laminators
163,2019-01-26,-1.0,Laminators
164,2019-01-27,-1.0,Laminators
165,2019-01-28,-1.0,Laminators
166,2019-01-29,-1.0,Laminators
167,2019-01-30,-1.0,Laminators
168,2019-01-31,-1.0,Laminators
169,2019-02-01,-1.0,Laminators
170,2019-02-02,-1.0,Laminators
171,2019-02-03,-1.0,Laminators
172,2019-02-04,-1.0,Laminators
173,2019-02-05,-1.0,Laminators
174,2019-02-06,-1.0,Laminators
175,2019-02-07,-1.0,Laminators
176,2019-02-08,-1.0,Laminators
177,2019-02-09,-1.0,Laminators
178,2019-02-10,-1.0,Laminators
179,2019-02-11,-1.0,Laminators
180,2019-02-12,-1.0,Laminators
181,2019-02-13,-1.0,Laminators
182,2019-02-14,-1.0,Laminators
183,2019-02-15,-1.0,Laminators
184,2019-02-16,-1.0,Laminators
185,2019-02-17,-1.0,Laminators
186,2019-02-18,-1.0,Laminators
187,2019-02-19,-1.0,Laminators
188,2019-02-20,-1.0,Laminators
189,2019-02-21,-1.0,Laminators
190,2019-02-22,-1.0,Laminators
191,2019-02-23,-1.0,Laminators
192,2019-02-24,-1.0,Laminators
193,2019-02-25,-1.0,Laminators
194,2019-02-26,-1.0,Laminators
195,2019-02-27,-1.0,Laminators
196,2019-02-28,-1.0,Laminators
197,2019-03-01,-1.0,Laminators
198,2019-03-02,-1.0,Laminators
199,2019-03-03,-1.0,Laminators
200,2019-03-04,-1.0,Laminators
201,2019-03-05,-1.0,Laminators
202,2019-03-06,-1.0,Laminators
203,2019-03-07,-1.0,Laminators
204,2019-03-08,-1.0,Laminators
205,2019-03-09,-1.0,Laminators
206,2019-03-10,-1.0,Laminators
207,2019-03-11,-1.0,Laminators
208,2019-03-12,-1.0,Laminators
209,2019-03-13,-1.0,Laminators
210,2019-03-14,-1.0,Laminators
211,2019-03-15,-1.0,Laminators
212,2019-03-16,-1.0,Laminators
213,2019-03-17,-1.0,Laminators
214,2019-03-18,-1.0,Laminators
215,2019-03-19,-1.0,Laminators
216,2019-03-20,-1.0,Laminators
217,2019-03-21,-1.0,Laminators
218,2019-03-22,-1.0,Laminators
219,2019-03-23,-1.0,Laminators
220,2019-03-24,-1.0,Laminators
221,2019-03-25,-1.0,Laminators
222,2019-03-26,-1.0,Laminators
223,2019-03-27,-1.0,Laminators
224,2019-03-28,-1.0,Laminators
225,2019-03-29,-1.0,Laminators
226,2019-03-30,-1.0,Laminators
227,2019-03-31,-1.0,Laminators
228,2019-04-01,-1.0,Laminators
229,2019-04-02,-1.0,Laminators
230,2019-04-03,-1.0,Laminators
231,2019-04-04,-1.0,Laminators
232,2019-04-05,-1.0,Laminators
233,2019-04-06,-1.0,Laminators
234,2019-04-07,-1.0,Laminators
235,2019-04-08,-1.0,Laminators
236,2019-04-09,-1.0,Laminators
237,2019-04-10,-1.0,Laminators
238,2019-04-11,-1.0,Laminators
239,2019-04-12,-1.0,Laminators
240,2019-04-13,-1.0,Laminators
241,2019-04-14,-1.0,Laminators
242,2019-04-15,-1.0,Laminators
243,2019-04-16,-1.0,Laminators
244,2019-04-17,-1.0,Laminators
245,2019-04-18,-1.0,Laminators
246,2019-04-19,-1.0,Laminators
247,2019-04-20,-1.0,Laminators
248,2019-04-21,-1.0,Laminators
249,2019-04-22,-1.0,Laminators
250,2019-04-23,-1.0,Laminators
251,2019-04-24,-1.0,Laminators
252,2019-04-25,-1.0,Laminators
253,2019-04-26,-1.0,Laminators
254,2019-04-27,-1.0,Laminators
255,2019-04-28,-1.0,Laminators
256,2019-04-29,-1.0,Laminators
257,2019-04-30,-1.0,Laminators
258,2019-05-01,-1.0,Laminators
259,2019-05-02,-1.0,Laminators
260,2019-05-03,-1.0,Laminators
261,2019-05-04,-1.0,Laminators
262,2019-05-05,-1.0,Laminators
263,2019-05-06,-1.0,Laminators
