,date,value,name_B083K8YJGN
0,2020-01-09,9114.0,Food Strainers
1,2020-01-10,9114.0,Food Strainers
2,2020-01-11,9114.0,Food Strainers
3,2020-01-12,7091.0,Food Strainers
4,2020-01-13,7091.0,Food Strainers
5,2020-01-14,9672.0,Food Strainers
6,2020-01-15,9672.0,Food Strainers
7,2020-01-16,10350.0,Food Strainers
8,2020-01-17,10350.0,Food Strainers
9,2020-01-18,10130.0,Food Strainers
10,2020-01-19,10130.0,Food Strainers
11,2020-01-20,9201.0,Food Strainers
12,2020-01-21,9201.0,Food Strainers
13,2020-01-22,9201.0,Food Strainers
14,2020-01-23,10902.0,Food Strainers
15,2020-01-24,10902.0,Food Strainers
16,2020-01-25,13613.0,Food Strainers
17,2020-01-26,10007.0,Food Strainers
18,2020-01-27,10007.0,Food Strainers
19,2020-01-28,10007.0,Food Strainers
20,2020-01-29,12291.0,Food Strainers
21,2020-01-30,12291.0,Food Strainers
22,2020-01-31,12291.0,Food Strainers
23,2020-02-01,13488.0,Food Strainers
24,2020-02-02,13488.0,Food Strainers
25,2020-02-03,13488.0,Food Strainers
26,2020-02-04,13488.0,Food Strainers
27,2020-02-05,10916.0,Food Strainers
28,2020-02-06,10916.0,Food Strainers
29,2020-02-07,10916.0,Food Strainers
30,2020-02-08,11935.0,Food Strainers
31,2020-02-09,10840.0,Food Strainers
32,2020-02-10,10840.0,Food Strainers
33,2020-02-11,10840.0,Food Strainers
34,2020-02-12,10840.0,Food Strainers
35,2020-02-13,10840.0,Food Strainers
36,2020-02-14,17653.0,Food Strainers
37,2020-02-15,17653.0,Food Strainers
38,2020-02-16,10155.0,Food Strainers
39,2020-02-17,11493.0,Food Strainers
40,2020-02-18,11493.0,Food Strainers
41,2020-02-19,9263.0,Food Strainers
42,2020-02-20,9263.0,Food Strainers
43,2020-02-21,14567.0,Food Strainers
44,2020-02-22,13375.0,Food Strainers
45,2020-02-23,13375.0,Food Strainers
46,2020-02-24,15100.0,Food Strainers
47,2020-02-25,15100.0,Food Strainers
48,2020-02-26,25212.0,Food Strainers
49,2020-02-27,25212.0,Food Strainers
50,2020-02-28,15586.0,Food Strainers
51,2020-02-29,15586.0,Food Strainers
52,2020-03-01,15586.0,Food Strainers
53,2020-03-02,17453.0,Food Strainers
54,2020-03-03,15901.0,Food Strainers
55,2020-03-04,12263.0,Food Strainers
56,2020-03-05,20047.0,Food Strainers
57,2020-03-06,20047.0,Food Strainers
58,2020-03-07,20047.0,Food Strainers
59,2020-03-08,20047.0,Food Strainers
60,2020-03-09,20047.0,Food Strainers
61,2020-03-10,20047.0,Food Strainers
62,2020-03-11,-1.0,Food Strainers
