,date,value,name_B08X46268B
0,2021-05-23,32602.0,Bath & Shower Grab Bars
1,2021-05-24,32602.0,Bath & Shower Grab Bars
2,2021-05-25,32602.0,Bath & Shower Grab Bars
3,2021-05-26,35597.0,Bath & Shower Grab Bars
4,2021-05-27,35597.0,Bath & Shower Grab Bars
5,2021-05-28,39738.0,Bath & Shower Grab Bars
6,2021-05-29,34926.0,Bath & Shower Grab Bars
7,2021-05-30,34926.0,Bath & Shower Grab Bars
8,2021-05-31,41066.0,Bath & Shower Grab Bars
9,2021-06-01,41066.0,Bath & Shower Grab Bars
10,2021-06-02,41066.0,Bath & Shower Grab Bars
11,2021-06-03,34083.0,Bath & Shower Grab Bars
12,2021-06-04,34083.0,Bath & Shower Grab Bars
13,2021-06-05,34083.0,Bath & Shower Grab Bars
14,2021-06-06,32541.0,Bath & Shower Grab Bars
15,2021-06-07,32541.0,Bath & Shower Grab Bars
16,2021-06-08,32541.0,Bath & Shower Grab Bars
17,2021-06-09,32541.0,Bath & Shower Grab Bars
18,2021-06-10,32541.0,Bath & Shower Grab Bars
19,2021-06-11,32541.0,Bath & Shower Grab Bars
20,2021-06-12,36363.0,Bath & Shower Grab Bars
21,2021-06-13,36363.0,Bath & Shower Grab Bars
22,2021-06-14,33031.0,Bath & Shower Grab Bars
23,2021-06-15,33031.0,Bath & Shower Grab Bars
24,2021-06-16,46131.0,Bath & Shower Grab Bars
25,2021-06-17,29838.0,Bath & Shower Grab Bars
26,2021-06-18,33746.0,Bath & Shower Grab Bars
27,2021-06-19,33746.0,Bath & Shower Grab Bars
28,2021-06-20,33746.0,Bath & Shower Grab Bars
29,2021-06-21,28278.0,Bath & Shower Grab Bars
30,2021-06-22,33151.0,Bath & Shower Grab Bars
31,2021-06-23,36532.0,Bath & Shower Grab Bars
32,2021-06-24,36532.0,Bath & Shower Grab Bars
33,2021-06-25,36532.0,Bath & Shower Grab Bars
34,2021-06-26,36333.0,Bath & Shower Grab Bars
35,2021-06-27,36333.0,Bath & Shower Grab Bars
36,2021-06-28,36333.0,Bath & Shower Grab Bars
37,2021-06-29,21195.0,Bath & Shower Grab Bars
38,2021-06-30,20671.0,Bath & Shower Grab Bars
39,2021-07-01,25145.0,Bath & Shower Grab Bars
40,2021-07-02,25145.0,Bath & Shower Grab Bars
41,2021-07-03,17373.0,Bath & Shower Grab Bars
42,2021-07-04,17373.0,Bath & Shower Grab Bars
43,2021-07-05,21357.0,Bath & Shower Grab Bars
44,2021-07-06,19769.0,Bath & Shower Grab Bars
45,2021-07-07,18548.0,Bath & Shower Grab Bars
46,2021-07-08,19359.0,Bath & Shower Grab Bars
47,2021-07-09,28751.0,Bath & Shower Grab Bars
