,date,value,name_B08LHHM5J6
0,2021-03-04,5333.0,Cloth Face Masks
1,2021-03-05,5333.0,Cloth Face Masks
2,2021-03-06,4429.0,Cloth Face Masks
3,2021-03-07,3608.0,Cloth Face Masks
4,2021-03-08,3608.0,Cloth Face Masks
5,2021-03-09,3608.0,Cloth Face Masks
6,2021-03-10,3420.0,Cloth Face Masks
7,2021-03-11,3420.0,Cloth Face Masks
8,2021-03-12,3007.0,Cloth Face Masks
9,2021-03-13,3007.0,Cloth Face Masks
10,2021-03-14,3007.0,Cloth Face Masks
11,2021-03-15,2769.0,Cloth Face Masks
12,2021-03-16,2769.0,Cloth Face Masks
13,2021-03-17,2769.0,Cloth Face Masks
14,2021-03-18,2769.0,Cloth Face Masks
15,2021-03-19,2400.0,Cloth Face Masks
16,2021-03-20,1802.0,Cloth Face Masks
17,2021-03-21,1802.0,Cloth Face Masks
18,2021-03-22,1802.0,Cloth Face Masks
19,2021-03-23,1658.0,Cloth Face Masks
20,2021-03-24,1658.0,Cloth Face Masks
21,2021-03-25,1623.0,Cloth Face Masks
22,2021-03-26,1904.0,Cloth Face Masks
23,2021-03-27,1904.0,Cloth Face Masks
24,2021-03-28,1113.0,Cloth Face Masks
25,2021-03-29,1113.0,Cloth Face Masks
26,2021-03-30,952.0,Cloth Face Masks
27,2021-03-31,952.0,Cloth Face Masks
28,2021-04-01,733.0,Cloth Face Masks
29,2021-04-02,811.0,Cloth Face Masks
30,2021-04-03,650.0,Cloth Face Masks
31,2021-04-04,650.0,Cloth Face Masks
32,2021-04-05,581.0,Cloth Face Masks
33,2021-04-06,581.0,Cloth Face Masks
34,2021-04-07,581.0,Cloth Face Masks
35,2021-04-08,488.0,Cloth Face Masks
36,2021-04-09,488.0,Cloth Face Masks
37,2021-04-10,348.0,Cloth Face Masks
38,2021-04-11,348.0,Cloth Face Masks
39,2021-04-12,380.0,Cloth Face Masks
40,2021-04-13,380.0,Cloth Face Masks
41,2021-04-14,309.0,Cloth Face Masks
42,2021-04-15,309.0,Cloth Face Masks
43,2021-04-16,404.0,Cloth Face Masks
44,2021-04-17,404.0,Cloth Face Masks
45,2021-04-18,311.0,Cloth Face Masks
46,2021-04-19,311.0,Cloth Face Masks
47,2021-04-20,347.0,Cloth Face Masks
48,2021-04-21,382.0,Cloth Face Masks
49,2021-04-22,367.0,Cloth Face Masks
50,2021-04-23,367.0,Cloth Face Masks
51,2021-04-24,463.0,Cloth Face Masks
52,2021-04-25,463.0,Cloth Face Masks
53,2021-04-26,515.0,Cloth Face Masks
54,2021-04-27,444.0,Cloth Face Masks
55,2021-04-28,444.0,Cloth Face Masks
56,2021-04-29,465.0,Cloth Face Masks
57,2021-04-30,465.0,Cloth Face Masks
58,2021-05-01,514.0,Cloth Face Masks
59,2021-05-02,514.0,Cloth Face Masks
60,2021-05-03,510.0,Cloth Face Masks
61,2021-05-04,586.0,Cloth Face Masks
62,2021-05-05,476.0,Cloth Face Masks
63,2021-05-06,486.0,Cloth Face Masks
64,2021-05-07,486.0,Cloth Face Masks
65,2021-05-08,465.0,Cloth Face Masks
66,2021-05-09,465.0,Cloth Face Masks
67,2021-05-10,401.0,Cloth Face Masks
68,2021-05-11,347.0,Cloth Face Masks
69,2021-05-12,352.0,Cloth Face Masks
70,2021-05-13,393.0,Cloth Face Masks
71,2021-05-14,393.0,Cloth Face Masks
72,2021-05-15,528.0,Cloth Face Masks
73,2021-05-16,528.0,Cloth Face Masks
74,2021-05-17,644.0,Cloth Face Masks
75,2021-05-18,850.0,Cloth Face Masks
76,2021-05-19,965.0,Cloth Face Masks
77,2021-05-20,1067.0,Cloth Face Masks
78,2021-05-21,1067.0,Cloth Face Masks
79,2021-05-22,2809.0,Cloth Face Masks
80,2021-05-23,2809.0,Cloth Face Masks
81,2021-05-24,1756.0,Cloth Face Masks
82,2021-05-25,1229.0,Cloth Face Masks
83,2021-05-26,1092.0,Cloth Face Masks
84,2021-05-27,1280.0,Cloth Face Masks
85,2021-05-28,1280.0,Cloth Face Masks
86,2021-05-29,1087.0,Cloth Face Masks
87,2021-05-30,1191.0,Cloth Face Masks
88,2021-05-31,1191.0,Cloth Face Masks
89,2021-06-01,1103.0,Cloth Face Masks
90,2021-06-02,1111.0,Cloth Face Masks
91,2021-06-03,996.0,Cloth Face Masks
92,2021-06-04,996.0,Cloth Face Masks
93,2021-06-05,1029.0,Cloth Face Masks
94,2021-06-06,1029.0,Cloth Face Masks
95,2021-06-07,1064.0,Cloth Face Masks
96,2021-06-08,1064.0,Cloth Face Masks
97,2021-06-09,1064.0,Cloth Face Masks
98,2021-06-10,1207.0,Cloth Face Masks
99,2021-06-11,986.0,Cloth Face Masks
100,2021-06-12,986.0,Cloth Face Masks
101,2021-06-13,1383.0,Cloth Face Masks
102,2021-06-14,1388.0,Cloth Face Masks
103,2021-06-15,1168.0,Cloth Face Masks
104,2021-06-16,1168.0,Cloth Face Masks
105,2021-06-17,832.0,Cloth Face Masks
106,2021-06-18,824.0,Cloth Face Masks
107,2021-06-19,824.0,Cloth Face Masks
108,2021-06-20,911.0,Cloth Face Masks
109,2021-06-21,1283.0,Cloth Face Masks
110,2021-06-22,1647.0,Cloth Face Masks
111,2021-06-23,1647.0,Cloth Face Masks
112,2021-06-24,1647.0,Cloth Face Masks
113,2021-06-25,1201.0,Cloth Face Masks
114,2021-06-26,1332.0,Cloth Face Masks
115,2021-06-27,1297.0,Cloth Face Masks
116,2021-06-28,1297.0,Cloth Face Masks
117,2021-06-29,1076.0,Cloth Face Masks
118,2021-06-30,1029.0,Cloth Face Masks
119,2021-07-01,1029.0,Cloth Face Masks
120,2021-07-02,676.0,Cloth Face Masks
121,2021-07-03,742.0,Cloth Face Masks
122,2021-07-04,742.0,Cloth Face Masks
123,2021-07-05,961.0,Cloth Face Masks
