,date,value,name_B01CV48YNM
163,2018-12-21,3547.0,Container Sets
164,2018-12-22,3179.0,Container Sets
165,2018-12-23,3179.0,Container Sets
166,2018-12-24,3179.0,Container Sets
167,2018-12-25,2385.0,Container Sets
168,2018-12-26,1955.0,Container Sets
169,2018-12-27,982.0,Container Sets
170,2018-12-28,708.0,Container Sets
171,2018-12-29,638.0,Container Sets
172,2018-12-30,638.0,Container Sets
173,2018-12-31,524.0,Container Sets
174,2019-01-01,524.0,Container Sets
175,2019-01-02,374.0,Container Sets
176,2019-01-03,268.0,Container Sets
177,2019-01-04,287.0,Container Sets
178,2019-01-05,271.0,Container Sets
179,2019-01-06,330.0,Container Sets
180,2019-01-07,330.0,Container Sets
181,2019-01-08,339.0,Container Sets
182,2019-01-09,329.0,Container Sets
183,2019-01-10,360.0,Container Sets
184,2019-01-11,369.0,Container Sets
185,2019-01-12,397.0,Container Sets
186,2019-01-13,412.0,Container Sets
187,2019-01-14,495.0,Container Sets
188,2019-01-15,371.0,Container Sets
189,2019-01-16,409.0,Container Sets
190,2019-01-17,409.0,Container Sets
191,2019-01-18,534.0,Container Sets
192,2019-01-19,568.0,Container Sets
193,2019-01-20,850.0,Container Sets
194,2019-01-21,1773.0,Container Sets
195,2019-01-22,1773.0,Container Sets
196,2019-01-23,2128.0,Container Sets
197,2019-01-24,2157.0,Container Sets
198,2019-01-25,2156.0,Container Sets
199,2019-01-26,2156.0,Container Sets
200,2019-01-27,1129.0,Container Sets
201,2019-01-28,1129.0,Container Sets
202,2019-01-29,880.0,Container Sets
203,2019-01-30,709.0,Container Sets
204,2019-01-31,670.0,Container Sets
205,2019-02-01,529.0,Container Sets
206,2019-02-02,657.0,Container Sets
207,2019-02-03,695.0,Container Sets
208,2019-02-04,628.0,Container Sets
209,2019-02-05,556.0,Container Sets
210,2019-02-06,483.0,Container Sets
211,2019-02-07,379.0,Container Sets
212,2019-02-08,287.0,Container Sets
213,2019-02-09,230.0,Container Sets
214,2019-02-10,279.0,Container Sets
215,2019-02-11,315.0,Container Sets
216,2019-02-12,360.0,Container Sets
217,2019-02-13,340.0,Container Sets
218,2019-02-14,356.0,Container Sets
219,2019-02-15,418.0,Container Sets
220,2019-02-16,327.0,Container Sets
221,2019-02-17,327.0,Container Sets
222,2019-02-18,305.0,Container Sets
223,2019-02-19,335.0,Container Sets
224,2019-02-20,335.0,Container Sets
225,2019-02-21,282.0,Container Sets
226,2019-02-22,300.0,Container Sets
227,2019-02-23,243.0,Container Sets
228,2019-02-24,243.0,Container Sets
229,2019-02-25,260.0,Container Sets
230,2019-02-26,263.0,Container Sets
231,2019-02-27,259.0,Container Sets
232,2019-02-28,241.0,Container Sets
233,2019-03-01,221.0,Container Sets
234,2019-03-02,235.0,Container Sets
235,2019-03-03,234.0,Container Sets
236,2019-03-04,171.0,Container Sets
237,2019-03-05,179.0,Container Sets
238,2019-03-06,179.0,Container Sets
239,2019-03-07,157.0,Container Sets
240,2019-03-08,150.0,Container Sets
241,2019-03-09,135.0,Container Sets
242,2019-03-10,153.0,Container Sets
243,2019-03-11,164.0,Container Sets
244,2019-03-12,108.0,Container Sets
245,2019-03-13,122.0,Container Sets
246,2019-03-14,129.0,Container Sets
247,2019-03-15,103.0,Container Sets
248,2019-03-16,109.0,Container Sets
249,2019-03-17,128.0,Container Sets
250,2019-03-18,99.0,Container Sets
251,2019-03-19,79.0,Container Sets
252,2019-03-20,100.0,Container Sets
253,2019-03-21,86.0,Container Sets
254,2019-03-22,111.0,Container Sets
255,2019-03-23,125.0,Container Sets
256,2019-03-24,157.0,Container Sets
257,2019-03-25,148.0,Container Sets
258,2019-03-26,218.0,Container Sets
259,2019-03-27,188.0,Container Sets
260,2019-03-28,154.0,Container Sets
261,2019-03-29,141.0,Container Sets
262,2019-03-30,135.0,Container Sets
263,2019-03-31,198.0,Container Sets
264,2019-04-01,155.0,Container Sets
265,2019-04-02,118.0,Container Sets
266,2019-04-03,143.0,Container Sets
267,2019-04-04,150.0,Container Sets
268,2019-04-05,135.0,Container Sets
269,2019-04-06,150.0,Container Sets
270,2019-04-07,185.0,Container Sets
271,2019-04-08,183.0,Container Sets
