,date,value,name_B08FB4FBL2
0,2020-08-11,22520.0,Countertop Soap Dispensers
1,2020-08-12,22520.0,Countertop Soap Dispensers
2,2020-08-13,20795.0,Countertop Soap Dispensers
3,2020-08-14,29966.0,Countertop Soap Dispensers
4,2020-08-15,29966.0,Countertop Soap Dispensers
5,2020-08-16,38170.0,Countertop Soap Dispensers
6,2020-08-17,38170.0,Countertop Soap Dispensers
7,2020-08-18,38170.0,Countertop Soap Dispensers
8,2020-08-19,28594.0,Countertop Soap Dispensers
9,2020-08-20,28594.0,Countertop Soap Dispensers
10,2020-08-21,19279.0,Countertop Soap Dispensers
11,2020-08-22,19279.0,Countertop Soap Dispensers
12,2020-08-23,23233.0,Countertop Soap Dispensers
13,2020-08-24,23233.0,Countertop Soap Dispensers
14,2020-08-25,23233.0,Countertop Soap Dispensers
15,2020-08-26,19345.0,Countertop Soap Dispensers
16,2020-08-27,19345.0,Countertop Soap Dispensers
17,2020-08-28,19345.0,Countertop Soap Dispensers
18,2020-08-29,18777.0,Countertop Soap Dispensers
19,2020-08-30,26649.0,Countertop Soap Dispensers
20,2020-08-31,26649.0,Countertop Soap Dispensers
21,2020-09-01,25578.0,Countertop Soap Dispensers
22,2020-09-02,30370.0,Countertop Soap Dispensers
23,2020-09-03,26012.0,Countertop Soap Dispensers
24,2020-09-04,26012.0,Countertop Soap Dispensers
25,2020-09-05,26012.0,Countertop Soap Dispensers
26,2020-09-06,14546.0,Countertop Soap Dispensers
27,2020-09-07,21256.0,Countertop Soap Dispensers
28,2020-09-08,21256.0,Countertop Soap Dispensers
29,2020-09-09,21256.0,Countertop Soap Dispensers
30,2020-09-10,22033.0,Countertop Soap Dispensers
31,2020-09-11,22033.0,Countertop Soap Dispensers
32,2020-09-12,22033.0,Countertop Soap Dispensers
33,2020-09-13,59454.0,Countertop Soap Dispensers
34,2020-09-14,59454.0,Countertop Soap Dispensers
35,2020-09-15,55680.0,Countertop Soap Dispensers
36,2020-09-16,55680.0,Countertop Soap Dispensers
37,2020-09-17,21081.0,Countertop Soap Dispensers
38,2020-09-18,20280.0,Countertop Soap Dispensers
39,2020-09-19,24826.0,Countertop Soap Dispensers
40,2020-09-20,27579.0,Countertop Soap Dispensers
41,2020-09-21,27579.0,Countertop Soap Dispensers
42,2020-09-22,21202.0,Countertop Soap Dispensers
43,2020-09-23,21202.0,Countertop Soap Dispensers
44,2020-09-24,21202.0,Countertop Soap Dispensers
45,2020-09-25,21202.0,Countertop Soap Dispensers
46,2020-09-26,31640.0,Countertop Soap Dispensers
47,2020-09-27,27214.0,Countertop Soap Dispensers
48,2020-09-28,27214.0,Countertop Soap Dispensers
49,2020-09-29,14762.0,Countertop Soap Dispensers
50,2020-09-30,14762.0,Countertop Soap Dispensers
