,date,value,name_B08JLYJPH9
0,2020-09-27,38343.0,Duvet Cover Sets
1,2020-09-28,38343.0,Duvet Cover Sets
2,2020-09-29,67327.0,Duvet Cover Sets
3,2020-09-30,78854.0,Duvet Cover Sets
4,2020-10-01,78854.0,Duvet Cover Sets
5,2020-10-02,78854.0,Duvet Cover Sets
6,2020-10-03,78854.0,Duvet Cover Sets
7,2020-10-04,78854.0,Duvet Cover Sets
8,2020-10-05,78854.0,Duvet Cover Sets
9,2020-10-06,78854.0,Duvet Cover Sets
10,2020-10-07,78854.0,Duvet Cover Sets
11,2020-10-08,48623.0,Duvet Cover Sets
12,2020-10-09,59337.0,Duvet Cover Sets
13,2020-10-10,59337.0,Duvet Cover Sets
14,2020-10-11,59337.0,Duvet Cover Sets
15,2020-10-12,59192.0,Duvet Cover Sets
16,2020-10-13,62707.0,Duvet Cover Sets
17,2020-10-14,54554.0,Duvet Cover Sets
18,2020-10-15,54554.0,Duvet Cover Sets
19,2020-10-16,52031.0,Duvet Cover Sets
20,2020-10-17,52031.0,Duvet Cover Sets
21,2020-10-18,52031.0,Duvet Cover Sets
22,2020-10-19,93501.0,Duvet Cover Sets
23,2020-10-20,93501.0,Duvet Cover Sets
24,2020-10-21,72425.0,Duvet Cover Sets
25,2020-10-22,101260.0,Duvet Cover Sets
26,2020-10-23,80801.0,Duvet Cover Sets
27,2020-10-24,80801.0,Duvet Cover Sets
28,2020-10-25,80801.0,Duvet Cover Sets
29,2020-10-26,66622.0,Duvet Cover Sets
30,2020-10-27,66622.0,Duvet Cover Sets
31,2020-10-28,66622.0,Duvet Cover Sets
32,2020-10-29,66622.0,Duvet Cover Sets
33,2020-10-30,92029.0,Duvet Cover Sets
34,2020-10-31,92029.0,Duvet Cover Sets
35,2020-11-01,92029.0,Duvet Cover Sets
36,2020-11-02,92029.0,Duvet Cover Sets
37,2020-11-03,109810.0,Duvet Cover Sets
38,2020-11-04,109810.0,Duvet Cover Sets
39,2020-11-05,89795.0,Duvet Cover Sets
40,2020-11-06,137595.0,Duvet Cover Sets
41,2020-11-07,137595.0,Duvet Cover Sets
42,2020-11-08,137595.0,Duvet Cover Sets
43,2020-11-09,137595.0,Duvet Cover Sets
44,2020-11-10,59799.0,Duvet Cover Sets
45,2020-11-11,59799.0,Duvet Cover Sets
46,2020-11-12,59799.0,Duvet Cover Sets
47,2020-11-13,59799.0,Duvet Cover Sets
48,2020-11-14,59799.0,Duvet Cover Sets
49,2020-11-15,59799.0,Duvet Cover Sets
50,2020-11-16,43542.0,Duvet Cover Sets
51,2020-11-17,43542.0,Duvet Cover Sets
52,2020-11-18,43542.0,Duvet Cover Sets
53,2020-11-19,43542.0,Duvet Cover Sets
54,2020-11-20,48675.0,Duvet Cover Sets
55,2020-11-21,51199.0,Duvet Cover Sets
56,2020-11-22,51199.0,Duvet Cover Sets
57,2020-11-23,55808.0,Duvet Cover Sets
58,2020-11-24,55808.0,Duvet Cover Sets
59,2020-11-25,72443.0,Duvet Cover Sets
60,2020-11-26,81870.0,Duvet Cover Sets
61,2020-11-27,87778.0,Duvet Cover Sets
62,2020-11-28,43016.0,Duvet Cover Sets
63,2020-11-29,43016.0,Duvet Cover Sets
64,2020-11-30,43016.0,Duvet Cover Sets
65,2020-12-01,34535.0,Duvet Cover Sets
66,2020-12-02,39648.0,Duvet Cover Sets
67,2020-12-03,58786.0,Duvet Cover Sets
68,2020-12-04,58786.0,Duvet Cover Sets
69,2020-12-05,58786.0,Duvet Cover Sets
70,2020-12-06,36211.0,Duvet Cover Sets
71,2020-12-07,34193.0,Duvet Cover Sets
72,2020-12-08,34193.0,Duvet Cover Sets
73,2020-12-09,34193.0,Duvet Cover Sets
74,2020-12-10,36039.0,Duvet Cover Sets
75,2020-12-11,36039.0,Duvet Cover Sets
76,2020-12-12,30763.0,Duvet Cover Sets
77,2020-12-13,30763.0,Duvet Cover Sets
78,2020-12-14,26796.0,Duvet Cover Sets
79,2020-12-15,26796.0,Duvet Cover Sets
80,2020-12-16,27044.0,Duvet Cover Sets
81,2020-12-17,22394.0,Duvet Cover Sets
82,2020-12-18,30281.0,Duvet Cover Sets
83,2020-12-19,24888.0,Duvet Cover Sets
84,2020-12-20,26457.0,Duvet Cover Sets
