,date,value,name_B01HMW9UT0
0,2020-03-02,-1.0,Tights
1,2020-03-03,-1.0,Tights
2,2020-03-04,-1.0,Tights
3,2020-03-05,-1.0,Tights
4,2020-03-06,-1.0,Tights
5,2020-03-07,-1.0,Tights
6,2020-03-08,-1.0,Tights
7,2020-03-09,-1.0,Tights
8,2020-03-10,-1.0,Tights
9,2020-03-11,-1.0,Tights
10,2020-03-12,-1.0,Tights
11,2020-03-13,-1.0,Tights
12,2020-03-14,-1.0,Tights
13,2020-03-15,-1.0,Tights
14,2020-03-16,-1.0,Tights
15,2020-03-17,-1.0,Tights
16,2020-03-18,-1.0,Tights
17,2020-03-19,-1.0,Tights
18,2020-03-20,-1.0,Tights
19,2020-03-21,-1.0,Tights
20,2020-03-22,-1.0,Tights
21,2020-03-23,-1.0,Tights
22,2020-03-24,-1.0,Tights
23,2020-03-25,-1.0,Tights
24,2020-03-26,-1.0,Tights
25,2020-03-27,-1.0,Tights
26,2020-03-28,-1.0,Tights
27,2020-03-29,-1.0,Tights
28,2020-03-30,-1.0,Tights
29,2020-03-31,-1.0,Tights
30,2020-04-01,-1.0,Tights
31,2020-04-02,-1.0,Tights
32,2020-04-03,-1.0,Tights
33,2020-04-04,-1.0,Tights
34,2020-04-05,-1.0,Tights
35,2020-04-06,-1.0,Tights
36,2020-04-07,-1.0,Tights
37,2020-04-08,-1.0,Tights
38,2020-04-09,-1.0,Tights
39,2020-04-10,-1.0,Tights
40,2020-04-11,-1.0,Tights
41,2020-04-12,-1.0,Tights
42,2020-04-13,-1.0,Tights
43,2020-04-14,-1.0,Tights
44,2020-04-15,-1.0,Tights
45,2020-04-16,-1.0,Tights
46,2020-04-17,-1.0,Tights
47,2020-04-18,-1.0,Tights
48,2020-04-19,-1.0,Tights
49,2020-04-20,-1.0,Tights
50,2020-04-21,-1.0,Tights
51,2020-04-22,-1.0,Tights
52,2020-04-23,-1.0,Tights
53,2020-04-24,-1.0,Tights
54,2020-04-25,-1.0,Tights
55,2020-04-26,-1.0,Tights
56,2020-04-27,-1.0,Tights
57,2020-04-28,-1.0,Tights
58,2020-04-29,-1.0,Tights
59,2020-04-30,-1.0,Tights
60,2020-05-01,-1.0,Tights
61,2020-05-02,-1.0,Tights
62,2020-05-03,-1.0,Tights
63,2020-05-04,-1.0,Tights
64,2020-05-05,-1.0,Tights
65,2020-05-06,-1.0,Tights
66,2020-05-07,-1.0,Tights
67,2020-05-08,-1.0,Tights
68,2020-05-09,-1.0,Tights
69,2020-05-10,-1.0,Tights
70,2020-05-11,-1.0,Tights
71,2020-05-12,-1.0,Tights
72,2020-05-13,-1.0,Tights
73,2020-05-14,-1.0,Tights
74,2020-05-15,-1.0,Tights
75,2020-05-16,-1.0,Tights
76,2020-05-17,-1.0,Tights
77,2020-05-18,-1.0,Tights
78,2020-05-19,-1.0,Tights
79,2020-05-20,-1.0,Tights
80,2020-05-21,-1.0,Tights
81,2020-05-22,-1.0,Tights
82,2020-05-23,-1.0,Tights
83,2020-05-24,-1.0,Tights
84,2020-05-25,-1.0,Tights
85,2020-05-26,-1.0,Tights
86,2020-05-27,-1.0,Tights
87,2020-05-28,-1.0,Tights
88,2020-05-29,24189.0,Tights
89,2020-05-30,24189.0,Tights
90,2020-05-31,24189.0,Tights
91,2020-06-01,25352.0,Tights
92,2020-06-02,23658.0,Tights
93,2020-06-03,23658.0,Tights
94,2020-06-04,23658.0,Tights
95,2020-06-05,23866.0,Tights
96,2020-06-06,23866.0,Tights
97,2020-06-07,23866.0,Tights
98,2020-06-08,23866.0,Tights
99,2020-06-09,23866.0,Tights
100,2020-06-10,23866.0,Tights
101,2020-06-11,23866.0,Tights
102,2020-06-12,23771.0,Tights
103,2020-06-13,23771.0,Tights
104,2020-06-14,23771.0,Tights
105,2020-06-15,23771.0,Tights
106,2020-06-16,30672.0,Tights
107,2020-06-17,30672.0,Tights
108,2020-06-18,30672.0,Tights
109,2020-06-19,19791.0,Tights
110,2020-06-20,19791.0,Tights
111,2020-06-21,19791.0,Tights
112,2020-06-22,19791.0,Tights
113,2020-06-23,19791.0,Tights
114,2020-06-24,19791.0,Tights
115,2020-06-25,19791.0,Tights
116,2020-06-26,19791.0,Tights
117,2020-06-27,19791.0,Tights
118,2020-06-28,19791.0,Tights
119,2020-06-29,19791.0,Tights
120,2020-06-30,19791.0,Tights
121,2020-07-01,19791.0,Tights
122,2020-07-02,21754.0,Tights
123,2020-07-03,21754.0,Tights
124,2020-07-04,21754.0,Tights
125,2020-07-05,21754.0,Tights
126,2020-07-06,21754.0,Tights
127,2020-07-07,21754.0,Tights
128,2020-07-08,21754.0,Tights
129,2020-07-09,21754.0,Tights
130,2020-07-10,18055.0,Tights
131,2020-07-11,18055.0,Tights
132,2020-07-12,21718.0,Tights
133,2020-07-13,24089.0,Tights
134,2020-07-14,24089.0,Tights
135,2020-07-15,24089.0,Tights
136,2020-07-16,18594.0,Tights
137,2020-07-17,18594.0,Tights
138,2020-07-18,15492.0,Tights
139,2020-07-19,15492.0,Tights
140,2020-07-20,15492.0,Tights
141,2020-07-21,15492.0,Tights
142,2020-07-22,15492.0,Tights
143,2020-07-23,18308.0,Tights
144,2020-07-24,18459.0,Tights
145,2020-07-25,18459.0,Tights
146,2020-07-26,18459.0,Tights
147,2020-07-27,22781.0,Tights
148,2020-07-28,18715.0,Tights
149,2020-07-29,18715.0,Tights
150,2020-07-30,15982.0,Tights
151,2020-07-31,15982.0,Tights
152,2020-08-01,15982.0,Tights
153,2020-08-02,15982.0,Tights
154,2020-08-03,16054.0,Tights
155,2020-08-04,16054.0,Tights
156,2020-08-05,16054.0,Tights
157,2020-08-06,16054.0,Tights
158,2020-08-07,15938.0,Tights
159,2020-08-08,15938.0,Tights
160,2020-08-09,12983.0,Tights
161,2020-08-10,12983.0,Tights
162,2020-08-11,12983.0,Tights
163,2020-08-12,14439.0,Tights
164,2020-08-13,14098.0,Tights
165,2020-08-14,16318.0,Tights
166,2020-08-15,14141.0,Tights
167,2020-08-16,14141.0,Tights
168,2020-08-17,16341.0,Tights
169,2020-08-18,16341.0,Tights
170,2020-08-19,19473.0,Tights
171,2020-08-20,19473.0,Tights
172,2020-08-21,19473.0,Tights
173,2020-08-22,12801.0,Tights
174,2020-08-23,12801.0,Tights
175,2020-08-24,12801.0,Tights
176,2020-08-25,15022.0,Tights
177,2020-08-26,15022.0,Tights
178,2020-08-27,13231.0,Tights
179,2020-08-28,13231.0,Tights
180,2020-08-29,17335.0,Tights
181,2020-08-30,17335.0,Tights
182,2020-08-31,17335.0,Tights
183,2020-09-01,17630.0,Tights
184,2020-09-02,15354.0,Tights
185,2020-09-03,15354.0,Tights
186,2020-09-04,15354.0,Tights
187,2020-09-05,13750.0,Tights
188,2020-09-06,13750.0,Tights
189,2020-09-07,17162.0,Tights
190,2020-09-08,17162.0,Tights
191,2020-09-09,18334.0,Tights
192,2020-09-10,16621.0,Tights
193,2020-09-11,16621.0,Tights
194,2020-09-12,13970.0,Tights
195,2020-09-13,13970.0,Tights
196,2020-09-14,15828.0,Tights
