,date,value,name_B0956KF8GS
0,2021-05-24,11793.0,Footrests
1,2021-05-25,11793.0,Footrests
2,2021-05-26,9792.0,Footrests
3,2021-05-27,11364.0,Footrests
4,2021-05-28,11364.0,Footrests
5,2021-05-29,11364.0,Footrests
6,2021-05-30,11364.0,Footrests
7,2021-05-31,12957.0,Footrests
8,2021-06-01,12957.0,Footrests
9,2021-06-02,16493.0,Footrests
10,2021-06-03,16493.0,Footrests
11,2021-06-04,12278.0,Footrests
12,2021-06-05,12598.0,Footrests
13,2021-06-06,13981.0,Footrests
14,2021-06-07,13981.0,Footrests
15,2021-06-08,12565.0,Footrests
16,2021-06-09,12565.0,Footrests
17,2021-06-10,12565.0,Footrests
18,2021-06-11,12565.0,Footrests
19,2021-06-12,9994.0,Footrests
20,2021-06-13,9994.0,Footrests
21,2021-06-14,9994.0,Footrests
22,2021-06-15,9994.0,Footrests
23,2021-06-16,11577.0,Footrests
24,2021-06-17,11577.0,Footrests
25,2021-06-18,11577.0,Footrests
26,2021-06-19,7169.0,Footrests
27,2021-06-20,7169.0,Footrests
28,2021-06-21,7169.0,Footrests
29,2021-06-22,2894.0,Footrests
30,2021-06-23,2894.0,Footrests
31,2021-06-24,2994.0,Footrests
32,2021-06-25,3538.0,Footrests
33,2021-06-26,3322.0,Footrests
34,2021-06-27,3322.0,Footrests
35,2021-06-28,4531.0,Footrests
36,2021-06-29,3379.0,Footrests
37,2021-06-30,2975.0,Footrests
38,2021-07-01,3283.0,Footrests
39,2021-07-02,3068.0,Footrests
40,2021-07-03,3068.0,Footrests
41,2021-07-04,4360.0,Footrests
42,2021-07-05,4475.0,Footrests
43,2021-07-06,4475.0,Footrests
44,2021-07-07,2881.0,Footrests
45,2021-07-08,2881.0,Footrests
46,2021-07-09,3051.0,Footrests
