,date,value,name_B07Z7PC2VD
0,2019-10-18,56875.0,Step Stools
1,2019-10-19,57001.0,Step Stools
2,2019-10-20,61388.0,Step Stools
3,2019-10-21,36631.0,Step Stools
4,2019-10-22,48089.0,Step Stools
5,2019-10-23,53617.0,Step Stools
6,2019-10-24,66536.0,Step Stools
7,2019-10-25,48755.0,Step Stools
8,2019-10-26,62889.0,Step Stools
9,2019-10-27,73096.0,Step Stools
10,2019-10-28,52574.0,Step Stools
11,2019-10-29,46518.0,Step Stools
12,2019-10-30,40149.0,Step Stools
13,2019-10-31,50375.0,Step Stools
14,2019-11-01,53729.0,Step Stools
15,2019-11-02,57020.0,Step Stools
16,2019-11-03,59622.0,Step Stools
17,2019-11-04,56912.0,Step Stools
18,2019-11-05,45554.0,Step Stools
19,2019-11-06,47228.0,Step Stools
20,2019-11-07,42095.0,Step Stools
21,2019-11-08,60746.0,Step Stools
22,2019-11-09,60746.0,Step Stools
23,2019-11-10,35503.0,Step Stools
24,2019-11-11,35067.0,Step Stools
25,2019-11-12,29624.0,Step Stools
26,2019-11-13,41555.0,Step Stools
27,2019-11-14,41555.0,Step Stools
28,2019-11-15,43057.0,Step Stools
29,2019-11-16,43057.0,Step Stools
30,2019-11-17,47778.0,Step Stools
31,2019-11-18,47778.0,Step Stools
32,2019-11-19,42557.0,Step Stools
33,2019-11-20,42557.0,Step Stools
34,2019-11-21,42557.0,Step Stools
35,2019-11-22,44948.0,Step Stools
36,2019-11-23,41126.0,Step Stools
37,2019-11-24,41126.0,Step Stools
38,2019-11-25,25865.0,Step Stools
39,2019-11-26,25865.0,Step Stools
40,2019-11-27,43486.0,Step Stools
41,2019-11-28,43486.0,Step Stools
42,2019-11-29,46844.0,Step Stools
43,2019-11-30,25254.0,Step Stools
44,2019-12-01,25254.0,Step Stools
45,2019-12-02,48429.0,Step Stools
46,2019-12-03,40628.0,Step Stools
47,2019-12-04,37988.0,Step Stools
48,2019-12-05,34399.0,Step Stools
49,2019-12-06,48250.0,Step Stools
50,2019-12-07,49771.0,Step Stools
51,2019-12-08,49771.0,Step Stools
52,2019-12-09,49771.0,Step Stools
53,2019-12-10,50228.0,Step Stools
54,2019-12-11,50707.0,Step Stools
55,2019-12-12,59897.0,Step Stools
56,2019-12-13,53849.0,Step Stools
57,2019-12-14,50620.0,Step Stools
58,2019-12-15,50620.0,Step Stools
59,2019-12-16,50620.0,Step Stools
60,2019-12-17,67065.0,Step Stools
61,2019-12-18,75693.0,Step Stools
62,2019-12-19,92666.0,Step Stools
63,2019-12-20,92666.0,Step Stools
64,2019-12-21,92666.0,Step Stools
65,2019-12-22,71352.0,Step Stools
66,2019-12-23,74019.0,Step Stools
67,2019-12-24,68771.0,Step Stools
68,2019-12-25,68771.0,Step Stools
69,2019-12-26,68771.0,Step Stools
70,2019-12-27,80221.0,Step Stools
71,2019-12-28,75715.0,Step Stools
72,2019-12-29,75715.0,Step Stools
73,2019-12-30,75715.0,Step Stools
74,2019-12-31,89968.0,Step Stools
75,2020-01-01,89968.0,Step Stools
76,2020-01-02,92387.0,Step Stools
77,2020-01-03,92387.0,Step Stools
78,2020-01-04,92387.0,Step Stools
79,2020-01-05,92387.0,Step Stools
80,2020-01-06,105850.0,Step Stools
81,2020-01-07,105850.0,Step Stools
82,2020-01-08,63472.0,Step Stools
83,2020-01-09,63472.0,Step Stools
84,2020-01-10,46561.0,Step Stools
85,2020-01-11,46561.0,Step Stools
86,2020-01-12,46561.0,Step Stools
87,2020-01-13,46561.0,Step Stools
88,2020-01-14,46561.0,Step Stools
89,2020-01-15,75045.0,Step Stools
90,2020-01-16,38532.0,Step Stools
91,2020-01-17,41360.0,Step Stools
92,2020-01-18,41360.0,Step Stools
93,2020-01-19,41360.0,Step Stools
94,2020-01-20,56359.0,Step Stools
95,2020-01-21,56359.0,Step Stools
96,2020-01-22,56359.0,Step Stools
97,2020-01-23,56359.0,Step Stools
98,2020-01-24,56359.0,Step Stools
99,2020-01-25,56359.0,Step Stools
