,date,value,name_B096FPPV99
0,2021-06-05,23276,Pond Foggers
1,2021-06-06,19160,Pond Foggers
2,2021-06-07,17705,Pond Foggers
3,2021-06-08,14395,Pond Foggers
4,2021-06-09,14978,Pond Foggers
5,2021-06-10,23984,Pond Foggers
6,2021-06-11,18962,Pond Foggers
7,2021-06-12,10759,Pond Foggers
8,2021-06-13,6781,Pond Foggers
9,2021-06-14,6517,Pond Foggers
10,2021-06-15,5065,Pond Foggers
11,2021-06-16,4999,Pond Foggers
12,2021-06-17,4100,Pond Foggers
13,2021-06-18,3378,Pond Foggers
14,2021-06-19,2895,Pond Foggers
15,2021-06-20,2961,Pond Foggers
16,2021-06-21,3176,Pond Foggers
17,2021-06-22,2702,Pond Foggers
18,2021-06-23,2501,Pond Foggers
19,2021-06-24,2651,Pond Foggers
20,2021-06-25,2970,Pond Foggers
21,2021-06-26,2947,Pond Foggers
22,2021-06-27,2923,Pond Foggers
23,2021-06-28,3588,Pond Foggers
24,2021-06-29,3459,Pond Foggers
25,2021-06-30,3708,Pond Foggers
26,2021-07-01,4971,Pond Foggers
27,2021-07-02,5424,Pond Foggers
28,2021-07-03,4657,Pond Foggers
29,2021-07-04,5156,Pond Foggers
30,2021-07-05,5865,Pond Foggers
31,2021-07-06,5361,Pond Foggers
32,2021-07-07,4537,Pond Foggers
33,2021-07-08,7075,Pond Foggers
34,2021-07-09,8153,Pond Foggers
