,date,value,name_B07ZN47WHF
107,2020-02-17,17916.0,Duvet Covers & Sets
108,2020-02-18,12887.0,Duvet Covers & Sets
109,2020-02-19,27172.0,Duvet Covers & Sets
110,2020-02-20,13720.0,Duvet Covers & Sets
111,2020-02-21,13720.0,Duvet Covers & Sets
112,2020-02-22,36994.0,Duvet Covers & Sets
113,2020-02-23,20844.0,Duvet Covers & Sets
114,2020-02-24,16669.0,Duvet Covers & Sets
115,2020-02-25,20607.0,Duvet Covers & Sets
116,2020-02-26,19802.0,Duvet Covers & Sets
117,2020-02-27,15969.0,Duvet Covers & Sets
118,2020-02-28,18447.0,Duvet Covers & Sets
119,2020-02-29,18447.0,Duvet Covers & Sets
120,2020-03-01,18447.0,Duvet Covers & Sets
121,2020-03-02,13616.0,Duvet Covers & Sets
122,2020-03-03,19486.0,Duvet Covers & Sets
123,2020-03-04,19486.0,Duvet Covers & Sets
124,2020-03-05,23670.0,Duvet Covers & Sets
125,2020-03-06,23670.0,Duvet Covers & Sets
126,2020-03-07,23670.0,Duvet Covers & Sets
127,2020-03-08,23670.0,Duvet Covers & Sets
128,2020-03-09,19181.0,Duvet Covers & Sets
129,2020-03-10,19181.0,Duvet Covers & Sets
130,2020-03-11,18404.0,Duvet Covers & Sets
131,2020-03-12,22987.0,Duvet Covers & Sets
132,2020-03-13,40253.0,Duvet Covers & Sets
133,2020-03-14,40253.0,Duvet Covers & Sets
134,2020-03-15,21625.0,Duvet Covers & Sets
135,2020-03-16,21698.0,Duvet Covers & Sets
136,2020-03-17,21296.0,Duvet Covers & Sets
137,2020-03-18,21296.0,Duvet Covers & Sets
138,2020-03-19,21296.0,Duvet Covers & Sets
139,2020-03-20,29580.0,Duvet Covers & Sets
140,2020-03-21,26781.0,Duvet Covers & Sets
141,2020-03-22,31165.0,Duvet Covers & Sets
142,2020-03-23,31291.0,Duvet Covers & Sets
143,2020-03-24,31291.0,Duvet Covers & Sets
144,2020-03-25,31291.0,Duvet Covers & Sets
145,2020-03-26,14802.0,Duvet Covers & Sets
146,2020-03-27,19272.0,Duvet Covers & Sets
147,2020-03-28,17757.0,Duvet Covers & Sets
148,2020-03-29,17757.0,Duvet Covers & Sets
149,2020-03-30,17757.0,Duvet Covers & Sets
150,2020-03-31,17757.0,Duvet Covers & Sets
151,2020-04-01,17757.0,Duvet Covers & Sets
152,2020-04-02,17757.0,Duvet Covers & Sets
