,date,value,name_B08QHZX3MV
0,2020-12-21,317756.0,Throw Pillow Covers
1,2020-12-22,317756.0,Throw Pillow Covers
2,2020-12-23,317756.0,Throw Pillow Covers
3,2020-12-24,317756.0,Throw Pillow Covers
4,2020-12-25,317756.0,Throw Pillow Covers
5,2020-12-26,317756.0,Throw Pillow Covers
6,2020-12-27,317756.0,Throw Pillow Covers
7,2020-12-28,317756.0,Throw Pillow Covers
8,2020-12-29,317756.0,Throw Pillow Covers
9,2020-12-30,317756.0,Throw Pillow Covers
10,2020-12-31,793525.0,Throw Pillow Covers
11,2021-01-01,793525.0,Throw Pillow Covers
12,2021-01-02,793525.0,Throw Pillow Covers
13,2021-01-03,793525.0,Throw Pillow Covers
14,2021-01-04,428665.0,Throw Pillow Covers
15,2021-01-05,428665.0,Throw Pillow Covers
16,2021-01-06,428665.0,Throw Pillow Covers
17,2021-01-07,428665.0,Throw Pillow Covers
18,2021-01-08,428665.0,Throw Pillow Covers
19,2021-01-09,428665.0,Throw Pillow Covers
20,2021-01-10,428665.0,Throw Pillow Covers
21,2021-01-11,616662.0,Throw Pillow Covers
22,2021-01-12,616662.0,Throw Pillow Covers
23,2021-01-13,616662.0,Throw Pillow Covers
24,2021-01-14,616662.0,Throw Pillow Covers
25,2021-01-15,616662.0,Throw Pillow Covers
26,2021-01-16,227327.0,Throw Pillow Covers
27,2021-01-17,227327.0,Throw Pillow Covers
28,2021-01-18,227327.0,Throw Pillow Covers
29,2021-01-19,227327.0,Throw Pillow Covers
30,2021-01-20,546721.0,Throw Pillow Covers
31,2021-01-21,546721.0,Throw Pillow Covers
32,2021-01-22,546721.0,Throw Pillow Covers
33,2021-01-23,546721.0,Throw Pillow Covers
34,2021-01-24,546721.0,Throw Pillow Covers
35,2021-01-25,546721.0,Throw Pillow Covers
36,2021-01-26,546721.0,Throw Pillow Covers
37,2021-01-27,546721.0,Throw Pillow Covers
38,2021-01-28,546721.0,Throw Pillow Covers
39,2021-01-29,546721.0,Throw Pillow Covers
40,2021-01-30,366787.0,Throw Pillow Covers
41,2021-01-31,366787.0,Throw Pillow Covers
42,2021-02-01,366787.0,Throw Pillow Covers
43,2021-02-02,366787.0,Throw Pillow Covers
44,2021-02-03,366787.0,Throw Pillow Covers
45,2021-02-04,366787.0,Throw Pillow Covers
46,2021-02-05,366787.0,Throw Pillow Covers
47,2021-02-06,688402.0,Throw Pillow Covers
48,2021-02-07,688402.0,Throw Pillow Covers
49,2021-02-08,688402.0,Throw Pillow Covers
50,2021-02-09,688402.0,Throw Pillow Covers
51,2021-02-10,688402.0,Throw Pillow Covers
52,2021-02-11,9021.0,Throw Pillow Covers
53,2021-02-12,9664.0,Throw Pillow Covers
54,2021-02-13,9664.0,Throw Pillow Covers
55,2021-02-14,9664.0,Throw Pillow Covers
56,2021-02-15,10856.0,Throw Pillow Covers
57,2021-02-16,8033.0,Throw Pillow Covers
58,2021-02-17,8033.0,Throw Pillow Covers
59,2021-02-18,6352.0,Throw Pillow Covers
60,2021-02-19,7046.0,Throw Pillow Covers
61,2021-02-20,8254.0,Throw Pillow Covers
62,2021-02-21,8697.0,Throw Pillow Covers
63,2021-02-22,8697.0,Throw Pillow Covers
64,2021-02-23,8697.0,Throw Pillow Covers
65,2021-02-24,8697.0,Throw Pillow Covers
66,2021-02-25,8697.0,Throw Pillow Covers
67,2021-02-26,8697.0,Throw Pillow Covers
68,2021-02-27,8899.0,Throw Pillow Covers
69,2021-02-28,7734.0,Throw Pillow Covers
70,2021-03-01,7734.0,Throw Pillow Covers
71,2021-03-02,7734.0,Throw Pillow Covers
72,2021-03-03,9620.0,Throw Pillow Covers
73,2021-03-04,10019.0,Throw Pillow Covers
74,2021-03-05,10019.0,Throw Pillow Covers
75,2021-03-06,8064.0,Throw Pillow Covers
76,2021-03-07,7576.0,Throw Pillow Covers
77,2021-03-08,8564.0,Throw Pillow Covers
78,2021-03-09,8564.0,Throw Pillow Covers
79,2021-03-10,7212.0,Throw Pillow Covers
80,2021-03-11,7212.0,Throw Pillow Covers
81,2021-03-12,7212.0,Throw Pillow Covers
82,2021-03-13,7212.0,Throw Pillow Covers
83,2021-03-14,7212.0,Throw Pillow Covers
84,2021-03-15,7212.0,Throw Pillow Covers
85,2021-03-16,6184.0,Throw Pillow Covers
86,2021-03-17,6036.0,Throw Pillow Covers
87,2021-03-18,6036.0,Throw Pillow Covers
88,2021-03-19,6036.0,Throw Pillow Covers
89,2021-03-20,6036.0,Throw Pillow Covers
90,2021-03-21,5188.0,Throw Pillow Covers
91,2021-03-22,5188.0,Throw Pillow Covers
92,2021-03-23,6603.0,Throw Pillow Covers
93,2021-03-24,6603.0,Throw Pillow Covers
94,2021-03-25,6603.0,Throw Pillow Covers
95,2021-03-26,8851.0,Throw Pillow Covers
96,2021-03-27,7464.0,Throw Pillow Covers
97,2021-03-28,8081.0,Throw Pillow Covers
98,2021-03-29,8081.0,Throw Pillow Covers
99,2021-03-30,4594.0,Throw Pillow Covers
100,2021-03-31,6280.0,Throw Pillow Covers
101,2021-04-01,6280.0,Throw Pillow Covers
102,2021-04-02,5531.0,Throw Pillow Covers
103,2021-04-03,5531.0,Throw Pillow Covers
104,2021-04-04,5016.0,Throw Pillow Covers
105,2021-04-05,5016.0,Throw Pillow Covers
106,2021-04-06,5016.0,Throw Pillow Covers
107,2021-04-07,4780.0,Throw Pillow Covers
108,2021-04-08,7109.0,Throw Pillow Covers
109,2021-04-09,8377.0,Throw Pillow Covers
110,2021-04-10,8377.0,Throw Pillow Covers
111,2021-04-11,8377.0,Throw Pillow Covers
112,2021-04-12,12198.0,Throw Pillow Covers
113,2021-04-13,12198.0,Throw Pillow Covers
114,2021-04-14,9268.0,Throw Pillow Covers
115,2021-04-15,9268.0,Throw Pillow Covers
116,2021-04-16,9268.0,Throw Pillow Covers
117,2021-04-17,8233.0,Throw Pillow Covers
118,2021-04-18,6520.0,Throw Pillow Covers
119,2021-04-19,6520.0,Throw Pillow Covers
120,2021-04-20,6520.0,Throw Pillow Covers
121,2021-04-21,9578.0,Throw Pillow Covers
122,2021-04-22,11983.0,Throw Pillow Covers
123,2021-04-23,11983.0,Throw Pillow Covers
124,2021-04-24,13281.0,Throw Pillow Covers
125,2021-04-25,7878.0,Throw Pillow Covers
126,2021-04-26,10034.0,Throw Pillow Covers
127,2021-04-27,10034.0,Throw Pillow Covers
128,2021-04-28,6729.0,Throw Pillow Covers
129,2021-04-29,6729.0,Throw Pillow Covers
130,2021-04-30,9138.0,Throw Pillow Covers
131,2021-05-01,9138.0,Throw Pillow Covers
132,2021-05-02,12659.0,Throw Pillow Covers
133,2021-05-03,9735.0,Throw Pillow Covers
134,2021-05-04,9735.0,Throw Pillow Covers
135,2021-05-05,9735.0,Throw Pillow Covers
136,2021-05-06,11187.0,Throw Pillow Covers
137,2021-05-07,11187.0,Throw Pillow Covers
138,2021-05-08,11187.0,Throw Pillow Covers
139,2021-05-09,11187.0,Throw Pillow Covers
140,2021-05-10,12866.0,Throw Pillow Covers
141,2021-05-11,7268.0,Throw Pillow Covers
142,2021-05-12,7268.0,Throw Pillow Covers
143,2021-05-13,7215.0,Throw Pillow Covers
144,2021-05-14,7215.0,Throw Pillow Covers
145,2021-05-15,7215.0,Throw Pillow Covers
146,2021-05-16,7784.0,Throw Pillow Covers
147,2021-05-17,7784.0,Throw Pillow Covers
148,2021-05-18,7784.0,Throw Pillow Covers
149,2021-05-19,7896.0,Throw Pillow Covers
150,2021-05-20,9400.0,Throw Pillow Covers
151,2021-05-21,9400.0,Throw Pillow Covers
152,2021-05-22,10871.0,Throw Pillow Covers
153,2021-05-23,10871.0,Throw Pillow Covers
154,2021-05-24,10871.0,Throw Pillow Covers
155,2021-05-25,6582.0,Throw Pillow Covers
156,2021-05-26,6913.0,Throw Pillow Covers
157,2021-05-27,6381.0,Throw Pillow Covers
158,2021-05-28,6381.0,Throw Pillow Covers
159,2021-05-29,6381.0,Throw Pillow Covers
160,2021-05-30,9191.0,Throw Pillow Covers
161,2021-05-31,7275.0,Throw Pillow Covers
162,2021-06-01,7275.0,Throw Pillow Covers
163,2021-06-02,6068.0,Throw Pillow Covers
164,2021-06-03,6693.0,Throw Pillow Covers
165,2021-06-04,6693.0,Throw Pillow Covers
166,2021-06-05,6693.0,Throw Pillow Covers
167,2021-06-06,5078.0,Throw Pillow Covers
168,2021-06-07,5078.0,Throw Pillow Covers
169,2021-06-08,8321.0,Throw Pillow Covers
170,2021-06-09,6803.0,Throw Pillow Covers
171,2021-06-10,6803.0,Throw Pillow Covers
172,2021-06-11,6340.0,Throw Pillow Covers
173,2021-06-12,6340.0,Throw Pillow Covers
174,2021-06-13,6340.0,Throw Pillow Covers
175,2021-06-14,5404.0,Throw Pillow Covers
176,2021-06-15,5404.0,Throw Pillow Covers
177,2021-06-16,6775.0,Throw Pillow Covers
178,2021-06-17,8942.0,Throw Pillow Covers
179,2021-06-18,7540.0,Throw Pillow Covers
180,2021-06-19,7540.0,Throw Pillow Covers
181,2021-06-20,6456.0,Throw Pillow Covers
182,2021-06-21,6456.0,Throw Pillow Covers
183,2021-06-22,6880.0,Throw Pillow Covers
184,2021-06-23,6880.0,Throw Pillow Covers
185,2021-06-24,7534.0,Throw Pillow Covers
186,2021-06-25,3619.0,Throw Pillow Covers
187,2021-06-26,3619.0,Throw Pillow Covers
188,2021-06-27,6095.0,Throw Pillow Covers
189,2021-06-28,6095.0,Throw Pillow Covers
190,2021-06-29,6095.0,Throw Pillow Covers
191,2021-06-30,5228.0,Throw Pillow Covers
192,2021-07-01,5770.0,Throw Pillow Covers
193,2021-07-02,6873.0,Throw Pillow Covers
194,2021-07-03,6873.0,Throw Pillow Covers
195,2021-07-04,8978.0,Throw Pillow Covers
196,2021-07-05,8978.0,Throw Pillow Covers
197,2021-07-06,6065.0,Throw Pillow Covers
198,2021-07-07,6065.0,Throw Pillow Covers
199,2021-07-08,5084.0,Throw Pillow Covers
200,2021-07-09,5084.0,Throw Pillow Covers
